row_index	column	old	new
903	Chinese_Trans	十字架，十字标记、符号、物品	十字架；十字形标记、符号、物品；（转）苦难
906	Korean_Trans	사람이나 동물의 다리, 특히 종아리	사람·동물의 다리; (해부) 종아리(무릎~발목); (비유) 다리 부분
910	Korean_Trans	정육면체 모양의 입체	정육면체; (수학) 세제곱; 주사위; 정육면체 모양의 물체
920	Korean_Trans	사람의 정신과 교양을 높이도록 기르다	교양·능력을 기르다, 계발하다; (별뜻) 경작·재배하다
925	Korean_Trans	병을 치료하다	치료하다, 병을 고치다; (비유) 치유하다
933	Korean_Trans	습관, 버릇	습관, 버릇; (사회) 관습, 풍습
936	Korean_Trans	누워 있다, （수평으로） 놓여 있다, 《전》위치하다	누워 있다; (수평으로) 놓여 있다; (이성과) 동침하다; (비유) 위치하다, 존재하다
937	Korean_Trans	정사각형；（수학） 제곱	정사각형; (수학) 제곱; (군사) 방진
945	Korean_Trans	조용하고 고요한, 평온한	조용하고 평온한; 온순한
953	Korean_Trans	다리를 저는, 절름발이인	다리를 저는, 다리·발이 불편한; (비유) 균형이 맞지 않는
981	Korean_Trans	자유롭고 구속이나 제약이 없는 상태	자유로운, 독립적인, 구속받지 않는; 한가한, 비어 있는; 널찍한
983	Chinese_Trans	（法国和意大利的）中学校	（法意等）后期中等教育学校（类似高中）
983	Korean_Trans	프랑스·이탈리아의 중학교	프랑스·이탈리아 등의 후기 중등학교(고등학교급)
984	Chinese_Trans	电梯	电梯，升降机；（海）帆桁吊索
986	Korean_Trans	나무의 단단한 부분	목재, 나무 재질; (식물) 목질부
994	Korean_Trans	글자, 문자	글자, 문자; (인쇄) 활자; 문구, 문면
