row_index	column	old	new
1508	Korean_Trans	갈비뼈, 【식물】잎맥, 【기계】리브, 보강재	갈비뼈; (식물) 잎맥; (직물) 골 조직; (기계·선박) 리브, 보강재
1511	Korean_Trans	위험을 무릅쓰고 하다, 모험을 감행하다	위험을 무릅쓰다, 모험하다; (생명·재산을) 위험에 빠뜨리다
1514	Korean_Trans	벼에서 얻는 곡물, 쌀	벼(식물); 쌀(곡립); 밥
1521	Korean_Trans	원, 동그라미, 둥근 모양	원, 동그라미, 둥근 모양; 모임, 서클
1525	Korean_Trans	리본, 좁고 긴 띠	리본, 테이프, 띠; (훈장의) 수장(綬章) 리본
1531	Korean_Trans	모래, 모래알	모래, 모래알; (의학) 요사(尿砂)
1536	Korean_Trans	샐러드	샐러드; (비유) 뒤섞인 것
1543	Korean_Trans	건강한, 병이 없는; (비유) 건전한	건강한, 병이 없는; (비유) 건전한; (음식이) 상하지 않은
1546	Korean_Trans	신성한, 거룩한	신성한, 거룩한; (비유) 존중·불가침의
1561	Korean_Trans	숨겨 둔 일, 남에게 알리지 않은 사실	비밀, 기밀; 비결, 요령
1562	Korean_Trans	사람의 성별, 남녀의 구분	성, 성별; 남성·여성 집단; 성에 관한 일(섹스)
1568	Korean_Trans	없음, ~없이	~없이
1573	Korean_Trans	일곱, 칠	일곱
1580	Korean_Trans	남을 위해 일하다, 봉사하다	섬기다, 봉사하다; 도움이 되다, 쓰이다
1586	Korean_Trans	자기 자신	자기 자신(3인칭 재귀대명사)
1589	Korean_Trans	의미하다	의미하다, 나타내다; 징후가 되다; 중요하다
1598	Korean_Trans	노동조합	노동조합; (경제) 신디케이트
