row_index	column	old	new
1402	Korean_Trans	물리적으로 깊은, 또는 사상·감정이 심오한	깊은, 심도가 있는; (사상·감정이) 심오한; (문제 등이) 심각하고 뿌리 깊은
1403	Korean_Trans	프로그램; 진행 순서·일정; (정치) 강령	프로그램; 진행 순서·일정; 학습·수업 계획; (정치) 강령; (정보) 프로그램
1411	Korean_Trans	발음하다	발음하다, 소리 내어 말하다
1412	Korean_Trans	제안하거나 제공하다	제안하다, 권하다; 제공하다, 내놓다
1413	Korean_Trans	고유한, 자기 자신의	고유한, 특유한, 본래의; 자기 자신의
1415	Korean_Trans	위험이나 피해에서 지켜 보호하다	보호하다, 지켜 주다; (윗사람이) 후원하다, 비호하다
1418	Korean_Trans	시험해 보다, 시도해 보다	시험해 보다, 사용해 보다; 시도해 보다
1420	Korean_Trans	운문이 아닌 산문	산문, 산문체
1431	Korean_Trans	점, 지점, 마침표, 요점, 【수학】점, 【인쇄】포인트	점, 지점; 마침표; 요점; (수학) 점; (인쇄) 포인트; (정보) 점(.)
1440	Korean_Trans	빛의 줄기, 광선；라디오（방송）；（수학） 반지름；바퀴살	광선, 방사선; (수학) 반지름; (기계) 바퀴살; 라디오 방송·방송국·수신기
1443	Korean_Trans	(말·자전거를) 타다	(말 등 탈것에) 타다, 올라타다
1451	Korean_Trans	보고하거나 알리다	보고하다, 알리다; 보도하다; 답신하다
1453	Korean_Trans	매혹시키다	매혹시키다, 황홀하게 하다
1460	Korean_Trans	문서나 원고를 편집하다	문서·기사를 작성·정리하다; 신문·잡지를 편집하다
1463	Korean_Trans	통치하다, 지배하다; 통제하다	통치하다, 지배하다; 통제·억제하다; (자동사) 만연하다, 기승을 부리다
1468	Korean_Trans	곧은, 직선의; 직접의, 직행의	곧은, 직선의; 수직의; 직접의, 직행의
1481	Korean_Trans	남다, 머무르다; 그대로이다	남다, 머무르다; 그대로이다, 계속 ~한 상태다
1489	Korean_Trans	논리적으로 생각하고 추리하다; (비유) 이치를 따지다	논리적으로 생각하고 추리하다; (비유) 이치를 따지다, 말꼬리를 잡다
1491	Korean_Trans	정치 체제; (기계) 작동 상태; (정보) 모드	정치 체제, 제도; (기계) 작동 상태; (정보) 모드
1494	Korean_Trans	웃다; 비웃다	웃다, 웃음 소리를 내다; 비웃다
1497	Korean_Trans	보다, 간주하다, 향하다	보다, 주목하다; 간주하다; (방향이) 향하다
