row_index	column	old	new
814	Korean_Trans	유능하고 자격을 갖춘	유능하고 자격을 갖춘; 권한·관할이 있는
817	Korean_Trans	예술 작품을 짓다, 특히 작곡하다	구성·창작하다; (음악) 작곡하다
819	Korean_Trans	공통의, 공동의	공통의, 공동의; 일반적인, 보통의
824	Korean_Trans	유죄 판결을 내리다	유죄를 선고하다; 비난하다, 단죄하다
825	Korean_Trans	조건, 필요한 요건	조건, 약정 조항; 상태, 환경
829	Korean_Trans	고백하다, 자백하다	고백하다, 자백하다; (신앙을) 고백하다; (기독교) 고해성사하다
831	Korean_Trans	신뢰하다	신뢰하다; (신뢰해) 맡기다, 위탁하다; (비밀을) 털어놓다
832	Korean_Trans	사실이나 내용을 확인하다	확인·입증하다; 승인하다, 추인하다
834	Korean_Trans	대표들이 모이는 큰 대회나 회의	대회, 회의; (정치) 의회·국회, (미) 연방의회
837	Chinese_Trans	得出结论，推断出	得出结论，推断出；作结，结束
837	Korean_Trans	결론을 내리다	결론을 내리다; 끝맺다, 마무리하다
845	Korean_Trans	고려하다	고려하다, 숙고하다; ~로 간주하다
849	Korean_Trans	변함없는, 항상 같은	변함없는, 일정한, 끊임없는; (사람이) 신념이 굳은
851	Korean_Trans	국가 통치의 기본법	헌법; (의학) 체질, 체격
852	Korean_Trans	건물을 짓거나 시설을 건설하다	건설·건축하다; 조립·구성하다
863	Korean_Trans	악기 줄, 현	줄, 끈; (음악·수학) 현; (비유) 마음의 줄(琴線)
865	Chinese_Trans	通信，函授；（交通）衔接	通信，书信往来；（交通）衔接
866	Chinese_Trans	走廊，回廊	走廊，回廊；（政）走廊地带；（交通）车道
866	Korean_Trans	건물 안의 길게 난 복도	복도, 회랑; (정치) 회랑지대; (도로) 차선
873	Korean_Trans	비용이 들다	값이 나가다, 비용이 들다; (비유) 대가를 치르게 하다
875	Korean_Trans	빗물에 생긴 질퍽한 진흙, 진창	진흙, 진창; (비유) 치욕, 더러움
878	Korean_Trans	덮다	덮다, 가리다; 보상하다, 메우다
886	Korean_Trans	상품이나 돈을 외상으로 쓰는 신용	신용, 외상거래; (회계) 대변
888	Korean_Trans	우유에서 얻는 유지, 크림	유지, 크림; (약·화장품) 크림제; (비유) 최정수
890	Korean_Trans	자라다	자라다, 성장하다; (비유) 증가·확대되다
898	Chinese_Trans	危机，恐慌	危机，重大关头；（医）急变，发作
898	Korean_Trans	위기, 중대한 고비	위기, 중대한 국면; (의학) 급변, 발작
