idx	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
1800	turo	{Ｂ}塔, やぐら, 鐘楼; 【運】（高飛び込みの）飛び込み台; 【遊】（チェスの）ルーク, （将棋の）飛車	塔，钟楼	탑, 누각
1801	tusi	{Ｂ}［自］せきをする, >>〜; せき払いをする	咳嗽，咳嗽示意	기침하다
1802	tuta	{Ｂ}全部の（全体の）, すべての	整个，全部	전체의, 전부의
1803	tuŝi	{Ｂ}［他］触れる, さわる, 接触する; （物が）接する, とどく; 手荒に扱う, 傷つける, 害を及ぼす; （軽く）言及する; 関係がある, かかわる; 感動させる, 心を打つ	碰，触；涉及；提及；打动；影响	만지다, 닿다, 언급하다, 관련되다, 감동시키다
1804	ungo	{Ｂ}【解】つめ（爪）	指甲，趾甲，爪	손톱
1805	uniformo	{Ｂ}制服, ユニフォーム	制服	제복, 유니폼
1806	unika	{Ｂ}類のない, 特異な, 独特の, 独自の; 唯一の, 一意の, =ununura	唯一，无比，无可匹敌	하나뿐인
1807	universala	{Ｂ}普遍的な, 全般的な; 全世界の, 万国の; 万能の, 汎用の; 万有の	通用，普遍，万能；全球，全世界	보편적이고 전 세계에 통용되는
1808	universitato	{Ｂ}大学, 総合大学, >>altlernejo	（综合性）大学	종합대학교
1809	unu	{Ｂ}［数詞］一; ［形］ある, 一つの; ［代］ひとり, ひとつ	一	수사 하나, 숫자 1
1810	urbo	{Ｂ}都市, 都会, 町; （行政上の）市	城市，都市	도시, 시(市)
1811	urso	{Ｂ}【動】クマ（熊）	熊属动物	곰
1812	urĝi	{Ｂ}［他］せかす, せき立てる, 督促する; ［自］差し迫る, 急を要する	紧催，敦促；急忙，紧迫	재촉하다, 급히 하도록 서두르다
1813	utila	{Ｂ}有用な, 有益な, 役に立つ; 便利な, 実用的な	有益，有利，有用	유용한, 쓸모 있는
1814	uzi	{Ｂ}［他］使う, 用いる, 使用する, 利用する	用	어떤 것을 사용하거나 이용하다
1815	vagi	{Ｂ}［自］さまよう, 放浪する; 歩き回る, うろつく, 徘徊する; 漂う	流浪，游荡，漂泊，徘徊，彷徨	목적 없이 떠돌며 배회하다
1816	vagono	{Ｂ}【鉄】車両, >>〜	车厢	기차의 객차나 화물차
1817	vakcino	{Ｂ}【薬】ワクチン	疫苗	질병 예방을 위한 백신
1818	valida	{Ｂ}【法】有効な, 効力のある, 通用する	有效，生效	법적으로 효력이 있는
1819	valizo	{Ｂ}（手に持って運べる）旅行かばん, スーツケース, 小形トランク, >>kofro	手提旅行箱	손으로 드는 여행용 가방, 여행 가방
1820	valo	{Ｂ}【地理】谷, 谷間, 渓谷; 流域, =baseno; 【建】（屋根の）谷	（山）谷，谷地	산 사이의 골짜기, 계곡
1821	valoro	{Ｂ}価値, 値打ち; 価格, 値段; 価値ある物; 【数】値（あたい）	价值；值	가치, 값어치
1822	vana	{Ｂ}実りのない, むだな; むなしい, 実質を伴わない	徒劳，枉然；虚幻	헛된, 보람 없는, 공허한
1823	vango	{Ｂ}【解】ほお; 【機】側板	面颊，脸蛋（一侧）	뺨, 볼
1824	vaporo	{Ｂ}蒸気; 湯気	汽，气体	수증기, 김
1825	varii	{Ｂ}［自］変動する, 変化する; 変異する, 異なる; （材が）くるう, ひずみが出る	连续不断地变化	계속 변하다
1826	varma	{Ｂ}暖かい, 熱い, 暑い; 熱のある; 《転》熱心な, 熱気のある	热，暖和	따뜻한
1827	varo	{Ｂ}【経】商品, 売り物, >>komercaĵo, >>artiklo	商品，货物	상품
1828	varti	{Ｂ}［他］保育する, 養育する, 育てる; 《転》（大事に）はぐくむ; （機械などを）保守する	抚养，抚育，照顾，饲养	아이·동물을 보살피고 기르다
1829	vasta	{Ｂ}広い, 広々とした; （衣服が）ゆったりした; 《転》広範な; 【声】（母音が）開いた	广大，宽广，（衣服）肥大	넓은, 광대한
1830	vato	{Ｂ}（衣類や寝具などに詰める）綿（わた）, 脱脂綿, >>〜 / 【理】ワット（仕事率・電力のSI単位，W）	棉絮；（物理）瓦特（功率单位）	솜; 와트(단위)
