row_index	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
2200	konto	{Ｏ}【商】勘定口座, 貸借勘定; 【情】アカウント	账户，账目	계좌, 계정
2201	kontrasto	{Ｏ}対照, 対比; 【写】（画像の）コントラスト	对比，反差	대조, 대비
2202	kontribui	{Ｏ}［自］寄与する, 貢献する; ［他］寄付する, 寄稿する	贡献，捐助	기여하다, 공헌하다; 기부하다, 기고하다
2203	konvencio	{Ｏ}（国家間の）協定, 取決め; 慣例, 慣習, （暗黙の）約束事; （米国の大統領候補指名の）党大会	公约，协定；惯例，约定俗成；（美）党代表大会	국가 간 협정·조약; 관례·관습; (미국 정치) 전당대회
2204	kooperativo	{Ｏ}協同組合	合作社	협동조합
2205	kopii	{Ｏ}［他］写しとる, 複写する, 模写する; 【情】コピーする, 複写する; 【写】（印画紙に）焼付ける, 焼増しする, >>printi	复制，抄写	베끼거나 복사하다
2206	kotizi	{Ｏ}［自］（会費・分担金などを）払う	缴纳会费	회비를 내다
2207	krabo	{Ｏ}【動】カニ（類）（蟹）	螃蟹	게
2208	krampo	{Ｏ}かすがい; 【化】クランプ; 【印】かっこ	括号；夹子	괄호, 집게 모양 고정쇠
2209	krizantemo	{Ｏ}【植】キク（の類）（菊）; 《般》菊	菊花	국화꽃
2210	kvereli	{Ｏ}［自］口論する（喧嘩する）, 口げんかする	争吵	말다툼하다
2211	kvitanci	{Ｂ}［他］【商】領収書を出す; 受領書を出す	开收据	영수증을 발급하다
2212	lanco	{Ｏ}槍（やり）; 銛（もり）; 【遊】（将棋の）香車	长矛，鱼叉；（将棋）香车	긴 창, 작살; (쇼기) 향차
2213	lanĉi	{Ｏ}［他］放つ, 発射する; 世に送り出す; 【海】進水させる; 【情】（プログラムを）起動する, 立ち上げる	发射；推出（新产品）；[计] 启动	발사하다; 출시하다; (정보) 프로그램을 실행하다
2214	latino	{Ｂ}【史】ラテン人（古代イタリアの一種族）	拉丁人	고대 이탈리아의 라틴인
2215	legendo	{Ｏ}伝説, 言い伝え	传说	전설, 옛이야기
2216	liberala	{Ｏ}寛大な, 偏見のない, リベラルな; 【政】自由主義の	自由主义的；宽大的	관대하고 편견이 없는, 자유주의의
2217	lingvistiko	{Ｂ}言語学, =lingvoscienco	语言学	언어학
2218	lumbo	{Ｏ}【解】腰, 腰部（背中の下部）, >>〜, >>〜	腰	허리, 요부
2219	lupeo	{Ｂ}ルーペ, 虫めがね	放大镜	돋보기
2220	magio	{Ｏ}魔術, 魔法, 呪術（じゅじゅつ）; 《転》不思議な力, 魅力	魔术，魔法，巫术；（转）神奇力量	마술, 마법, 주술; (비유) 신기한 힘
2221	magneto	{Ｏ}【理】磁石, マグネット	磁铁	자석
2222	magnetofono	{Ｏ}【電】テープレコーダー, =sonbendilo	磁带录音机	테이프 레코더, 녹음기
2223	majonezo	{Ｏ}【料】マヨネーズ	蛋黄酱	마요네즈
2224	majusklo	{Ｏ}【印】大文字, ><〜	大写字母	대문자
2225	manifestacio	{Ｏ}【政】デモ, 示威運動, 示威行進, >>parado, >>procesio	示威游行	정치적 주장 위한 시위, 데모
2226	manio	{Ｏ}熱狂（マニア）, 偏執, マニア; 奇癖; 【医】躁状態, 躁病	狂热，偏执；怪癖；（医）躁狂状态	광적인 집착, 편집; 기벽; (의학) 조증 상태
2227	manuskripto	{Ｏ}原稿; 手書き文書; 写本	手稿	손으로 쓴 원고
2228	masaĝo	{Ｏ}マッサージ	按摩	마사지
2229	masko	{Ｏ}仮面, 面（めん）, 覆面, マスク; 【写】（覆い焼きの）マスク; 《転》（いつわりの）仮面	面具，假面；口罩；（转）伪装	가면, 마스크; (비유) 가식적 모습
2230	matĉo	{Ｂ}【運】試合, >>ludo	比赛	스포츠 경기, 시합
2231	medio	{Ｏ}（自然的・社会的）環境; 【理】媒体; 【化】媒質; 【生】培地, 培養基	环境；（物理/化学）介质；（生物）培养基	환경; (물리·화학) 매질; (생물) 배지
2232	mejlo	{Ｏ}【単】マイル（国際マイル=1609m、歴史的に地域差あり）; かなりの距離	英里	거리 단위인 마일, 약 1.6킬로미터
2233	melodio	{Ｏ}【楽】旋律, 調べ, メロディー	旋律	멜로디, 선율
2234	merkato	{Ｏ}【経】市場（しじょう）, 販路; 取引, 売買, >>〜	市场	상품이 오가는 시장
2235	mesaĝo	{Ｏ}伝言, ことづて, メッセージ; お告げ, 託宣; 教書	信息，留言	메시지, 전갈
2236	mevo	{Ｏ}【鳥】カモメ（鴎）（科）	海鸥	갈매기
