row_index	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
1000	lojala	{Ｂ}忠義な, 忠実な; 誠実な, 公正な	忠诚，忠实；诚实，公正	충성스러운, 충실한; 성실하고 정직한
1001	loko	{Ｂ}場所, 所; 部分, 個所; 地方, 土地; 《転》地位, 立場	地点，场所；地方，土地；（转）地位，立场	장소, 위치; 지역, 땅; (비유) 지위, 입장
1002	longa	{Ｂ}（空間的・時間的に）長い; 【声】長音の	长	(길이·시간이) 긴
1003	loto	{Ｂ}くじ; 《転》運; =lotaĵo（くじの賞品）	抽签，签；（转）运气	복권, 제비뽑기
1004	loĝi	{Ｂ}［自］住む, 居住する; 《広》滞在する（短期の宿泊はふつう gastejo/gasti）	居住	어떤 곳에 살다, 거주하다
1005	ludi	{Ｂ}［自］遊ぶ, たわむれる, 自由に動く; ［他］（ゲームなどを）する, （必要な）動作をする; 【楽】演奏する; （役割を）演じる	玩，游戏；演奏；扮演（角色）	놀다, (게임·악기·역할을) 하다
1006	lui	{Ｂ}［他］賃借する, （料金を払って）借りる	租用，租赁	세를 내고 빌리다, 임차하다
1007	lukso	{Ｂ}ぜいたく, 豪華, 華美 / 【理】ルクス（照度の単位）	奢侈；豪华，华美；（物理）勒克斯（照度单位）	사치, 호화로움；（물리） 럭스（조도 단위）
1008	lukti	{Ｂ}［自］格闘する; 【運】レスリングをする; 《転》闘う	搏斗，角斗；奋斗	격투하다, 씨름·레슬링을 하다
1009	luli	{Ｂ}［他］（寝かしつけるために）揺する; 揺らす; 《転》なだめる	摇晃使入睡；轻轻摇动；（转）安抚	아기를 재우려고 흔들다; 흔들어 달래다
1010	lumi	{Ｂ}［自］光っている, 光る; 《転》（顔などが）輝く	发光；（转）容光焕发	스스로 빛나다
1011	lundo	{Ｂ}月曜日	星期一	월요일
1012	luno	{Ｂ}【天】月; 衛星, >>〜	月亮；（天）卫星	달; (천문) 위성
1013	lupo	{Ｂ}【動】オオカミ（狼）（種）	狼	늑대
