row_index	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
1600	sistemo	{Ｂ}体系, システム, 系統; 制度, 組織, 方式; 【理】系; 【学】単位系	体系，系统，制度	체계, 시스템; 제도, 조직, 방식
1601	situacio	{Ｂ}事態, 局面, 情勢; （社会的）位置, 立場, 状況; 【劇】場面, シチュエーション	处境，状况，局面	형편, 처지, 상황
1602	skalo	{Ｂ}尺度, 目盛, 縮尺; 《転》規模, スケール; 【楽】=gamo（音階）	尺度，刻度，比例尺；（转）规模	눈금, 척도, 축척; (비유) 규모; (음악) 음계
1603	skatolo	{Ｂ}手箱, 箱, 筒, 缶; 容器, ケース	盒，箱，匣	상자, 용기
1604	skio	{Ｂ}【運】スキー（板）	滑雪板	스키 타는 데 쓰는 판
1605	sklavo	{Ｂ}奴隷; 《転》奴隷, とりこ	奴隶；（转）受奴役者，俘虏	노예
1606	skrapi	{Ｂ}［他］削り取る, かき落とす, こそげる; きいきい鳴らす	刮，擦，刮落；（发）刺耳声	긁다, 긁어내다; (소리를) 끼익 내다
1607	skribi	{Ｂ}［他］書く, 記す; 書き表す, 記述する; 手紙を書く; 【情】書き込む	写，书写；记述；（信）写信	글을 쓰다, 적다
1608	skui	{Ｂ}［他］揺さぶる, 揺り動かす; （頭などを）振る; 《転》衝撃を与える, 動揺させる	摇撼，震动，摆动，使战栗；震动；动摇	흔들다, 휘두르다; (비유) 충격·동요를 주다
1609	skulpti	{Ｂ}［他］彫刻する, 彫る	雕塑，雕刻	조각하다
1610	sobra	{Ｂ}（飲食を）節制した, しらふの; 節度ある, 落ち着いた	饮食有度；清醒，冷静	절제 있는; 술에 취하지 않은; 차분한
1611	sociala	{Ｂ}社会的な; 社会福祉の	社会的；社会福利的	사회적인
1612	societo	{Ｂ}会, 協会, 団体, 仲間; 社交界; 会社	会，社，社团，团体	협회, 단체; 사교계; 회사
1613	socio	{Ｂ}社会, 世間; （生物）社会	社会	사회
1614	sofo	{Ｂ}ソファー, 長いす	长沙发	소파, 긴 의자
1615	soifi	{Ｂ}［自］のどが渇く; ［他］渇望する	渴；渴望	목마르다; 갈망하다
