row_index	column	old	new
704	Chinese_Trans	珍宝，首饰	珠宝首饰；（转）珍宝, 至宝
707	Chinese_Trans	书房，研究室；内阁	内阁；书房、办公室、诊室；陈列室
715	Korean_Trans	달력	달력; 역법
721	Chinese_Trans	壁炉，炉灶	壁炉，暖炉
724	Korean_Trans	운하, 수로, 【통신】채널, 【해부】관, 경로	운하, 수로; (해양) 해협·수도; (통신) 채널; (해부) 관; (비유) 전달 경로
731	Korean_Trans	머리, 두뇌, 선두, 지도자	머리, 머리부분; 두뇌; (사람·가축의 수를 세는) 머리수; 선두, 지도자
734	Korean_Trans	사랑하는, 소중한	사랑하는, 소중한; 값비싼
735	Korean_Trans	성격, 성질, 개성	성격, 성질, 개성; 특징, 풍격
748	Korean_Trans	죄수를 묶는 쇠사슬, 족쇄	쇠사슬, 수갑·족쇄; (비유) 속박
750	Korean_Trans	움푹 파인 빈 공간이나 구멍	구멍, 움푹 팬 곳, 빈 공간; (해부) 강·와; (물리) 파형의 골
752	Korean_Trans	걸쭉한 죽, 묽게 으깬 음식	죽, 퓌레 같은 걸쭉한 음식; (비유) 형편없는 음식, 걸쭉한 덩어리
758	Chinese_Trans	[连]（引起从句）	（连）…这个事实；用于引导从句
763	Chinese_Trans	仁，核；中心，核心	仁，核，芯；中心，核心；（理）原子核
773	Korean_Trans	얼마, 어느 정도의 양	얼마, 얼마나; (접속) …만큼, …하는 만큼
774	Korean_Trans	외과학	외과, 외과학; 외과 수술
776	Korean_Trans	누구, 어느 사람·어느 것	어느, 어느 쪽의 / 누구, 어느 것
779	Korean_Trans	계급, 등급; 학급; (생물 분류) 강(綱)	등급, 종류, 계급; 학급; (생물 분류) 강(綱)
787	Korean_Trans	밀가루나 진흙을 반죽하다, 주무르다	밀가루·진흙을 반죽하다, 주무르다; (비유) 성격·능력을 단련하다
790	Chinese_Trans	学院；专门学校、高等专科学校；（宗）同职能团体	学院；（英美）单科大学/高等专科学校；（法等）中等学校；（宗）同职能团体
