row_index	column	old	new
1903	Korean_Trans	이유를 나타내는 접속사	~이기 때문에, 왜냐하면
1909	Korean_Trans	독방; (생물) 세포; (벌집) 벌집 칸; (정치) 세포	독방, 작은 방; (생물) 세포; (곤충) 벌집 칸; (정치) 세포; (물리) 전자관·셀; (체스 등) 칸
1916	Korean_Trans	가까움을 나타내는 말	(지시사와 결합해) 가까움을 나타내는 말
1922	Korean_Trans	하늘, 【종교】천국	하늘, 창공; (종교) 천국
1928	Korean_Trans	각각의 것 또는 사람	각각의, 모든; 각 사람, 누구나
1938	Korean_Trans	사물이나 동물을 가리키는 대명사	그것(사물·동물); (성 구분 없는) 아이를 가리키기도 함
1942	Korean_Trans	정확하고 알맞은	정확한; 적절한; 꼭 맞는
1943	Korean_Trans	합창단, 합창대; 합창	합창단, 합창대; 합창, 합창곡; (연극) 코로스
1944	Korean_Trans	질투심이 많고 시기하는	질투하는, 시기하는; (잃지 않으려) 집착하며 지키는
1950	Korean_Trans	양, 집에서 기르는 털 많은 가축	양; (비유) 온순하고 잘 따르는 사람
1957	Korean_Trans	거품; (비유) 덧없는 것	거품, 포말; (말 등의) 거품 섞인 땀; (비유) 덧없는 것
1958	Korean_Trans	껍질; (정보) 셸(명령 해석기)	껍질, 외피, 껍데기; (해양) 선체; (정보) 셸(명령 해석기)
1971	Korean_Trans	돈이나 자원을 아껴 쓰다, 절약하다	저축하다, 아껴 쓰다, 절약하다
1979	Korean_Trans	돌, 보석, 【의학】결석	돌, 석재, 돌멩이; 보석; (의학) 결석
1983	Korean_Trans	빚지다, 의무를 지다	빚지다; 채무를 지다; 의무·은혜를 입다
1985	Korean_Trans	신발, 한 짝의 구두	신발(한 짝), 구두; (비유) 신발 모양의 것
