idx	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
1900	ĉapelo	{Ｂ}（ふちのある）帽子; （キノコの）かさ / 【情】アクサンシルコンフレックス, ハット（＾）, =cirkumflekso	有檐帽；菌盖；（符号）抑扬符（^）	테 있는 모자
1901	ĉapitro	{Ｂ}（本などの）章	章，篇，回	책의 장
1902	ĉapo	{Ｂ}（ふちのない）帽子; （ビンの）ふた, キャップ	无檐帽；各种专用帽	챙 없는 모자, 병 뚜껑
1903	ĉar	{Ｂ}［接］～だから, ～ので	因为	이유를나타내는접속사
1904	ĉarma	{Ｂ}魅力的な, 魅惑的な, かわいい	娇艳，妩媚，迷人	매력적이고 사랑스러운
1905	ĉasi	{Ｂ}［他］狩る, 狩り立てる; 《転》追い求める	打猎	사냥하다
1906	ĉe	{Ｂ}［前］～のところで	在…身边，紧挨着…	곁에, 근처에서
1907	ĉef-	{Ｂ}［接頭辞］（主要・首長を示す）	首、主、总	가장 중요하거나 우두머리
1908	ĉeko	{Ｂ}【商】小切手	银行支票	은행 수표
1909	ĉelo	{Ｂ}独居房; 【生】細胞; 【虫】（ハチの）巣穴; 【政】細胞; 【理】電子管, セル; 【遊】（チェス盤などの）ます目	小房间，囚室；蜂房，细胞；（政）基层组织（细胞）	독방; (생물) 세포; (벌집) 벌집 칸; (정치) 세포
1910	ĉemizo	{Ｂ}【服】シャツ, ワイシャツ; シュミーズ, >>tolaĵo	男衬衣；运动服；制服衫	남자용 셔츠, 와이셔츠
1911	ĉeno	{Ｂ}鎖, チェーン; 《転》連鎖; 【通】ネット局; （販売店などの）チェーン, 系列	链子，锁链，一连串；联播	쇠사슬, 사슬 모양으로 이은 것
1912	ĉerizo	{Ｂ}【果】サクランボ, >>merizo	樱桃	체리, 버찌
1913	ĉerpi	{Ｂ}［他］汲む（くむ）, くみ取る; 《転》引き出す	汲；吸取，汲取	물이나 자원을 떠서 얻다
1914	ĉesi	{Ｂ}［自］やむ, ～しなくなる	停止，中止	그만두다, 멈추다
1915	ĉevalo	{Ｂ}【動】ウマ（馬）; 【遊】（チェスの）ナイト, （将棋の）桂馬	马	말[馬]
1916	ĉi	{Ｂ}［副］（近接をあらわす）	这里；这	가까움을 나타내는 말
1917	ĉia	{Ｂ}［形］すべての, あらゆる, どんな～でも	每种的，各样的	온갖 종류의, 모든
1918	ĉial	{Ｂ}［副］あらゆる理由で	种种理由，各种缘故	모든 이유로
1919	ĉiam	{Ｂ}［副］いつも, 常に	每次；总是；永远	항상, 언제나
1920	ĉie	{Ｂ}［副］いたる所に, どこでも	到处，各处	어디에나, 모든 곳에
1921	ĉiel	{Ｂ}［副］いろいろと	用各种方法，千方百计	여러가지방법으로
1922	ĉielo	{Ｂ}空, 大空, 天, >>〜, >>firmamento; 【宗】天, 天国, >>〜	天，天空；【宗】天堂	하늘, 【종교】천국
1923	ĉies	{Ｂ}［形］各人の, みんなの, 万人の	每人的	모든 사람의 것
1924	ĉifono	{Ｂ}ぼろ, ぼろぎれ; 《転》ぼろかす, 切れっ端	破烂	낡고 찢어진 헝겊, 누더기
1925	ĉio	{Ｂ}［代］すべて（の事・物）	一切，全部	모든 것, 전부
1926	ĉiom	{Ｂ}［副］全部, すっかり	全部，所有	전부, 모두
1927	ĉirkaŭ	{Ｂ}［前］～のまわりで, ～の周囲に; （時）～のころ / {Ｂ}［副］約, およそ	环绕，在…周围，在…附近，大约	둘레에, 주위에
1928	ĉiu	{Ｂ}［形］それぞれの, 各～, どの～も, 毎～ / {Ｂ}［代］それぞれ, 各人, だれも	每个人，每个	각각의 것 또는 사람
1929	ĉokolado	{Ｂ}【菓】チョコレート; 【料】ココア（飲料）, >>〜	巧克力（糖果、饮料）	초콜릿, 코코아 음료
1930	ĉu	{Ｂ}［副］～か（疑問文を作る） / {Ｂ}［接］～かどうか	表示疑问；[〜…〜…]不管…，还是…	문장 앞에 두어 의문을 나타냄
1931	ĝardeno	{Ｂ}庭, 庭園; ～園	（花）园	정원, 뜰
1932	ĝemelo	{Ｂ}双生児, 双子（ふたご）, =dunaskito	孪生子（双胞胎）之一	쌍둥이 중 한 사람
1933	ĝemi	{Ｂ}［自］うめく, うなる, 嘆く	呻吟，悲叹	신음하거나 탄식하다
1934	ĝenerala	{Ｂ}全般の, 全体の; 一般的な, 普通の	关于全体的，全面的，总的，普遍，一般的	일반적, 전반적
1935	ĝeni	{Ｂ}［他］邪魔する, 厄介をかける, 気を使わせる	打扰，妨碍	방해하다, 귀찮게 하다
1936	ĝentila	{Ｂ}礼儀正しい, 丁寧な	彬彬有礼	예의 바른
1937	ĝermo	{Ｂ}【生】胚; 芽, 芽ばえ; 《転》兆し	胚，幼芽；萌芽，起源	식물의싹, 초기발아상태
1938	ĝi	{Ｂ}［代］それ（人以外の事物・生物）; その子（性の区別をしない幼児）	它	사물이나 동물을 가리키는 대명사
1939	ĝis	{Ｂ}［前］～まで, ～までに, ～までの / {Ｂ}［接］～するまで	到…为止	어떤 시점이나 장소에 이를 때까지
1940	ĝoji	{Ｂ}［自］喜ぶ, うれしく思う	高兴	기뻐하다
1941	ĝui	{Ｂ}［他］楽しむ, 享受する	享受，享乐；享有	즐기다
1942	ĝusta	{Ｂ}正確な; 適切な; ぴったりの	正确；恰当	정확하고 알맞은
1943	ĥoro	{Ｂ}合唱団, 合唱隊; 合唱, 合唱曲, =koruso; 【劇】コロス（古代ギリシャ演劇でそろって歌い踊る一群）	歌舞团；歌舞；歌咏队	합창단, 성가대
1944	ĵaluza	{Ｂ}嫉妬深い, ねたんでいる; （失うまいと）用心深く手放さない	猜忌，吃醋，嫉妒	질투심이 많고 시기하는
1945	ĵaŭdo	{Ｂ}木曜日	星期四	목요일
1946	ĵeti	{Ｂ}［他］投げる; 投げ出す, まき散らす; （勢いよく無造作に）押しやる, 突き出す	扔，抛，喷	물건을 팔로 힘껏 던지다
1947	ĵuri	{Ｂ}［他］（神・神聖なものにかけて）誓う, 誓約する; 宣誓する	宣誓，发誓；郑重担保	엄숙히 맹세하다
