row_index	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
1800	turo	{Ｂ}塔, やぐら, 鐘楼; 【運】（高飛び込みの）飛び込み台; 【遊】（チェスの）ルーク, （将棋の）飛車	塔，钟楼；（棋）车（国际象棋），飞车（将棋）	탑, 누각, 종탑; (체스) 룩; (쇼기) 비차; (수영) 다이빙대
1801	tusi	{Ｂ}［自］せきをする, >>〜; せき払いをする	咳嗽；清嗓子（示意）	기침하다; 헛기침하다
1802	tuta	{Ｂ}全部の（全体の）, すべての	整个，全部	전체의, 전부의
1803	tuŝi	{Ｂ}［他］触れる, さわる, 接触する; （物が）接する, とどく; 手荒に扱う, 傷つける, 害を及ぼす; （軽く）言及する; 関係がある, かかわる; 感動させる, 心を打つ	碰，触；涉及；提及；打动；影响	만지다, 닿다, 언급하다, 관련되다, 감동시키다
1804	ungo	{Ｂ}【解】つめ（爪）	指甲，趾甲，爪	손톱, 발톱
1805	uniformo	{Ｂ}制服, ユニフォーム	制服	제복, 유니폼
1806	unika	{Ｂ}類のない, 特異な, 独特の, 独自の; 唯一の, 一意の, =ununura	独特的，独一无二的；唯一的	유일한, 독특한
1807	universala	{Ｂ}普遍的な, 全般的な; 全世界の, 万国の; 万能の, 汎用の; 万有の	通用，普遍，万能；全球，全世界	보편적인; 전 세계의; 만능의, 범용의
1808	universitato	{Ｂ}大学, 総合大学, >>altlernejo	（综合性）大学	대학, 종합대학교
1809	unu	{Ｂ}［数詞］一; ［形］ある, 一つの; ［代］ひとり, ひとつ	一；一个；某一	하나; 하나의, 어떤; 한 사람, 한 개
1810	urbo	{Ｂ}都市, 都会, 町; （行政上の）市	城市，都市	도시, 시(市)
1811	urso	{Ｂ}【動】クマ（熊）	熊；（动）熊属动物	곰
1812	urĝi	{Ｂ}［他］せかす, せき立てる, 督促する; ［自］差し迫る, 急を要する	紧催，敦促；（事态）紧迫，急需	재촉하다; (일이) 급박하다, 시급하다
1813	utila	{Ｂ}有用な, 有益な, 役に立つ; 便利な, 実用的な	有益，有利，有用	유용한, 쓸모 있는
1814	uzi	{Ｂ}［他］使う, 用いる, 使用する, 利用する	使用，利用	사용하다, 이용하다
1815	vagi	{Ｂ}［自］さまよう, 放浪する; 歩き回る, うろつく, 徘徊する; 漂う	流浪，游荡，漂泊，徘徊，彷徨	목적 없이 떠돌며 배회하다
1816	vagono	{Ｂ}【鉄】車両, >>〜	车厢	철도 차량, 객차, 화차
1817	vakcino	{Ｂ}【薬】ワクチン	疫苗	백신, 예방 접종용 백신
1818	valida	{Ｂ}【法】有効な, 効力のある, 通用する	有效，生效	법적으로 효력이 있는
1819	valizo	{Ｂ}（手に持って運べる）旅行かばん, スーツケース, 小形トランク, >>kofro	手提旅行箱	손으로 드는 여행용 가방, 여행 가방
1820	valo	{Ｂ}【地理】谷, 谷間, 渓谷; 流域, =baseno; 【建】（屋根の）谷	（山）谷，谷地	산 사이의 골짜기, 계곡
1821	valoro	{Ｂ}価値, 値打ち; 価格, 値段; 価値ある物; 【数】値（あたい）	价值，值；价格；有价值之物；（数）值	가치, 값어치; 가격; (수학) 값
1822	vana	{Ｂ}実りのない, むだな; むなしい, 実質を伴わない	徒劳，枉然；虚幻	헛된, 보람 없는, 공허한
1823	vango	{Ｂ}【解】ほお; 【機】側板	面颊，脸蛋（一侧）	뺨, 볼; (기계) 측판
1824	vaporo	{Ｂ}蒸気; 湯気	蒸汽，水汽	수증기, 김
1825	varii	{Ｂ}［自］変動する, 変化する; 変異する, 異なる; （材が）くるう, ひずみが出る	变化，变动；各不相同	변하다, 달라지다
1826	varma	{Ｂ}暖かい, 熱い, 暑い; 熱のある; 《転》熱心な, 熱気のある	热，暖和	따뜻한, 더운; 열정적인
1827	varo	{Ｂ}【経】商品, 売り物, >>komercaĵo, >>artiklo	商品，货物	상품
1828	varti	{Ｂ}［他］保育する, 養育する, 育てる; 《転》（大事に）はぐくむ; （機械などを）保守する	抚养，抚育，照顾，饲养	보살피고 기르다, 양육하다; (비유) 소중히 가꾸다; (기계·설비) 관리·정비하다
1829	vasta	{Ｂ}広い, 広々とした; （衣服が）ゆったりした; 《転》広範な; 【声】（母音が）開いた	广大，宽广，（衣服）肥大	넓은, 광대한; (옷이) 헐렁한; 광범한
1830	vato	{Ｂ}（衣類や寝具などに詰める）綿（わた）, 脱脂綿, >>〜 / 【理】ワット（仕事率・電力のSI単位，W）	棉絮；（物理）瓦特（功率单位）	솜, 탈지면; (물리) 와트(W)
1831	vazo	{Ｂ}容器, うつわ, つぼ, かめ, 花びん, はち, >>〜, >>〜, >>〜 / 【解】（複合語で）脈管, =angio, >>sango〜	容器，花瓶；（解剖复合词）脉管	꽃병, 항아리, 용기, （해부·복합어）맥관
1832	vegetalo	{Ｂ}植物, =vegetaĵo	植物	식물
1833	vegetara	{Ｂ}菜食の	素食的，吃素的	채식의
1834	veki	{Ｂ}［他］目覚めさせる; 《転》呼び覚ます, 呼び起こす	唤醒	잠에서 깨우다, 각성시키다
1835	velki	{Ｂ}［自］枯れる, しおれる, しなびる; 《転》衰える, あせる	枯萎，凋谢；衰弱，衰老	꽃이나 잎이 시들다, 마르다
1836	velo	{Ｂ}【海】帆（ほ）; 【解】帆（はん）, （特に）口蓋帆, =palata 〜	帆；（解）帆（尤指软腭）	돛; (해부) 연구개(입천장의 막)
1837	vendi	{Ｂ}［他］売る, 売却する, 販売する; 《転》裏切る, 売り渡す	卖，出卖	팔다, 판매하다; (비유) 배신하다, 팔아넘기다
1838	vendredo	{Ｂ}金曜日	星期五	금요일
1839	veneno	{Ｂ}毒, 毒物, 毒薬, >>tokso; 《転》害毒	毒，毒物	생명을 해치는 독, 독약
1840	veni	{Ｂ}［自］来る, やって来る; 到着する, 行き着く; 達する	来	오다, 다가오다
1841	venki	{Ｂ}［他］勝つ, 打ち破る; 克服する, 打ち勝つ	战胜；克服	상대나 어려움을 이기다
1842	vento	{Ｂ}【気】風; 《転》空虚なもの	风；（转）空虚之物	바람; (비유) 헛된 것
1843	ventro	{Ｂ}【解】腹, 腹部; 【理】（定常波の）腹, ><〜	腹，肚子	배, 복부; (물리) 정상파의 배
1844	venĝi	{Ｂ}［他］恨みを晴らす, あだを討つ; ［自］復讐する, 報復する	替…报仇，复仇；报复	복수하다, 원수를 갚다
1845	vera	{Ｂ}本当の, 実際の; 真実の, 真の, 本物の	真，实在	참된, 진짜의
1846	verbo	{Ｂ}【Ｇ】動詞	动词	동사
1847	verda	{Ｂ}緑の, 緑色の; 草木の茂った, 青々とした; 生の, 未成熟の, 青い; 【Ｅ】エスペラントの; 【環】環境保護の	绿色的；未成熟的；（语）世界语的；环保的	녹색의, 푸른; 미숙한, 덜 익은; (에스페란토) ~의; 친환경의
1848	verko	{Ｂ}著作, 著書, 作品; 《転》しわざ, 所業	作品，著作	저작, 작품
1849	vermo	{Ｂ}（ミミズ・寄生虫などの）虫; （毛虫・いも虫など）幼虫; うじ虫	蠕虫；幼虫；蛆虫	벌레, 유충, 구더기
1850	verso	{Ｂ}【文】詩句, 詩の一行	诗行，诗句	시의 한 행, 시구
1851	verŝi	{Ｂ}［他］（液体・光を）注ぐ; 流す, こぼす	倾倒，浇；倾泻，发泄	액체를 붓거나 쏟다
1852	vespero	{Ｂ}夕方, 夕べ, 夕暮れ, 日暮れ, 宵（よい）, 晩	傍晚，黄昏，夜晚	저녁 무렵
1853	vesto	{Ｂ}服, 着物; 衣服, 衣類; 《転》衣（ころも）	服装	옷, 의복
