row_index	column	old	new
2016	Korean_Trans	몹시 싫어하다	혐오하다, 몹시 싫어하다
2017	Korean_Trans	추상적인	추상적인, 관념적인; (미술) 추상파의
2022	Korean_Trans	경보를 알리다	경보를 울리다, 경고하다; 불안·공포를 일으키다
2023	Korean_Trans	대신 선택할 수 있는 다른 방안	양자택일; 대안, 대체안
2025	Korean_Trans	성적인 사랑, 색정	성애, 색정; 연애 감정
2055	Korean_Trans	도자기 공업	도예, 도자기 제작(술·업)
2056	Korean_Trans	의식	의식, 식전; 의례
2059	Korean_Trans	국민이 권력을 가지는 정치, 민주정	민주주의, 민주정
2063	Korean_Trans	존엄, 품위	존엄, 위엄; 품위, 자존심
2064	Korean_Trans	폭약의 일종	다이너마이트, 폭약
2073	Korean_Trans	생태학; (비유) 생태 환경	생태학; 생태 환경
2079	Korean_Trans	없애다, 제거하다	제거하다, 없애다; 탈락시키다; (의학) 배출하다; (수학) 소거하다
2086	Korean_Trans	작품 속 삽화적 사건, 일화	삽화(에피소드), 일화; 사건의 한 토막
2088	Korean_Trans	수필, 에세이	수필, 에세이; 소론, 평론
2099	Korean_Trans	넓적다리, 대퇴	넓적다리, 대퇴; (해부) 대퇴골
