row_index	column	old	new
1800	Korean_Trans	탑, 누각; (체스) 룩; (쇼기) 비차	탑, 누각, 종탑; (체스) 룩; (쇼기) 비차; (수영) 다이빙대
1808	Korean_Trans	종합대학교	대학, 종합대학교
1816	Korean_Trans	기차의 객차나 화물차	철도 차량, 객차, 화차
1817	Korean_Trans	질병 예방을 위한 백신	백신, 예방 접종용 백신
1823	Korean_Trans	뺨, 볼	뺨, 볼; (기계) 측판
1828	Korean_Trans	아이·동물을 보살피고 기르다	보살피고 기르다, 양육하다; (비유) 소중히 가꾸다; (기계·설비) 관리·정비하다
1829	Korean_Trans	넓은, 광대한	넓은, 광대한; (옷이) 헐렁한; 광범한
1830	Korean_Trans	솜; 와트(단위)	솜, 탈지면; (물리) 와트(W)
1837	Korean_Trans	돈을 받고 물건을 팔다	팔다, 판매하다; (비유) 배신하다, 팔아넘기다
1843	Korean_Trans	몸의 배, 복부	배, 복부; (물리) 정상파의 배
1847	Korean_Trans	녹색, 초록색의, 미숙한, 【세】에스페란토의, 친환경적인	녹색의, 푸른; 미숙한, 덜 익은; (에스페란토) ~의; 친환경의
1864	Korean_Trans	희생자, 피해자	(종교) 제물, 희생물; 희생자, 피해자
1871	Korean_Trans	순결한, 성경험 없는	순결한, 처녀·동정의; (비유) 손대지 않은, 미개간의; 순수한
1877	Korean_Trans	사람이나 장소를 찾아가다, 방문하다	방문하다, 찾아가다; (관광·진찰·문안 등으로) 가다; (학교에) 다니다
1883	Korean_Trans	부피	체적, 용적, 용량; 덩치
