row_index	column	old	new
1210	Korean_Trans	물결, 파도	물결, 파도; 파동 모양의 물결; (물리) 파동
1219	Korean_Trans	귀	귀; 귀 모양의 것; (비유) 청각
1222	Korean_Trans	동쪽, 동양	동쪽, 동방, 동부; (프리메이슨) 지방 지부
1225	Korean_Trans	관현악단, 오케스트라	오케스트라, 관현악단; (극장) 오케스트라 피트
1240	Korean_Trans	손으로 더듬어 찾다	손으로 더듬어 찾다, 만져 보다; 쓰다듬다; (의학) 촉진하다
1242	Korean_Trans	고장으로 인한 정지; (컴퓨터) 크래시	고장으로 인한 정지; (해양) 축범(縮帆)으로 정선; (컴퓨터) 크래시
1248	Chinese_Trans	蝴蝶	蝶、蛾（鳞翅目昆虫总称）
1248	Korean_Trans	나비	나비·나방(나비목 곤충의 총칭)
1263	Korean_Trans	강렬한 열정	열정, 격정; 강한 연정, 정욕
1269	Korean_Trans	후원자	후원자, (예술가의) 보호자; (기독교) 수호성인
1271	Korean_Trans	걷다	걷다, 걸음을 옮기다
1272	Korean_Trans	가축을 들판에 풀어 기르다	가축을 들판에 풀어 기르다, 방목하다; (성서) 구원으로 이끌다
1275	Korean_Trans	종교적·도덕적 죄를 짓다	종교적·도덕적 죄를 짓다; 잘못하다; (규칙·관습을) 어기다
1278	Korean_Trans	어디에 걸려 있거나 매달려 있다	걸려 있거나 매달려 있다; 공중에 떠 있다
1279	Korean_Trans	속으로 깊이 들어가다, 침투하다	속으로 깊이 들어가다, 침투하다; 꿰뚫어 보다, 간파하다
1291	Korean_Trans	기간, 시기; (물리) 주기; (지질) 기	기간, 시기, 시대; (물리) 주기; (지질) 기; (수사) 종합문
