row_index	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
2000	-ig-	{Ｂ}［接尾辞］（他動詞・使役動詞を作る）, >>fal〜i, >>sci〜i	[后缀] 使动，使变成	사역·타동사를 만드는 접미사(…하게 하다)
2001	-il-	{Ｂ}［接尾辞］（道具・機械・薬剤などを示す）, >>tajp〜o, >>digestig〜o	[后缀] 表示工具、器具	도구, 기구, 장치, 약제를 나타내는 접미사
2002	-in-	{Ｂ}［接尾辞］（女性・雌を示す）, >>patr〜o, >>kok〜o	[后缀] 表示女性、雌性	여성·암컷을 나타내는 접미사
2003	-ind-	{Ｂ}［接尾辞］（～される価値がある）, >>am〜a, >>laŭd〜a	[后缀] 值得...	…할 가치가 있는, …할 만한
2004	-ism-	{Ｂ}［接尾辞］（主義・教義・学説などを示す）, >>marks〜o, >>budh〜o	[后缀] 表示主义、学说	주의·학설을 나타내는 접미사
2005	-ist-	{Ｂ}［接尾辞］（職業的従事者・主義者・信奉者を示す）, >>kurac〜o, >>marks〜o	[后缀] 表示从事某种职业或信仰某种主义的人	직업·신봉자를 나타내는 접미사
2006	-iĝ-	{Ｂ}［接尾辞］（自動詞を作る）, >>mov〜i, >>ŝton〜i	[后缀] 自动，变成	자동사화를 나타내는 접미사(…되다, …해지다)
2007	-obl-	{Ｂ}［接尾辞］倍数を示す	[后缀] 表示倍数	배수(몇 배)를 나타내는 접미사
2008	-on-	{Ｂ}［接尾辞］（分数を示す）, >>〜o	[后缀] 表示分数	분수를 나타내는 접미사
2009	-uj-	{Ｂ}［接尾辞］（容器・樹木・国名を示す）, >>mon〜o, >>roz〜o, >>Japan〜o	[后缀] 表示容器、树木、国家	용기, 나무, 나라를 나타내는 접미사
2010	-ul-	{Ｂ}［接尾辞］（人・動物を示す）, >>jun〜o, >>vertebr〜o	[后缀] 表示具有某种特征的人或动物	특정 성질을 가진 사람·동물을 나타내는 접미사
2011	Biblio	{Ｏ}【キ】聖書	[专] 圣经	성서
2012	Budho	{Ｂ}【仏】仏陀（ぶっだ）, 釈迦牟尼（しゃかむに）, >>Ŝakjamunio	[专] 佛陀，释迦牟尼	부처, 석가모니
2013	Islamo	{Ｏ}【宗】イスラム教	[专] 伊斯兰教	이슬람교
2014	Kristo	{Ｏ}【キ】キリスト; 救世主	[专] 基督；救世主	그리스도, 구세주
