row_index	column	old	new
2108	Korean_Trans	회사	상호, 회사
2111	Korean_Trans	형식적인, 공식적인	형식상의, 형식적인; 공식적인, 정식의; 의례적인; 명시된
2117	Korean_Trans	시간적으로 이르게, 일찍	일찍, 빠르게; 초기에
2133	Korean_Trans	어이!, 야!	어이!, 이봐!; 여보세요!; (빈정거림) 어이쿠!
2140	Korean_Trans	착각, 환상	착각, 환각; 환상, 망상
2143	Korean_Trans	책의 색인, 항목 목록；지수	색인, 목록; (가톨릭) 금서목록
2145	Korean_Trans	포함하는	포함하는, 포괄적인
2146	Korean_Trans	연구소	연구소; 학원; 학회
2148	Korean_Trans	강렬한, 격렬한	강렬한, 격렬한; 집약적인, 집중적인
2160	Korean_Trans	변덕, 변덕스러운 생각	변덕, 변덕스러움; (사태의) 급변
2168	Korean_Trans	큰 재난, 대참사	대재난, 대참사; 파국; (연극) 대단원
2173	Korean_Trans	피아노·자판 등의 키, 건	(피아노·자판 등의) 건반, 키; (정보) 키
2175	Korean_Trans	공기 조절(냉난방)을 하다	공기 조절을 하다, 냉난방하다
2180	Korean_Trans	모으다, 수집하다	모으다, 수집하다; 징수하다; 소집하다
2181	Korean_Trans	식민지, 거류지, 【생물】집락, 콜로니	식민지; 식민단·거류지; (생물) 집락, 콜로니
2192	Korean_Trans	일치하는	일치하는, 적합한
2193	Korean_Trans	조가비, 조개껍질; 조개껍질 모양 물건	조가비, 달팽이 껍질; 조개껍질 모양의 것; (해부) 갑개
