row_index	column	old	new
1604	Korean_Trans	스키 타는 데 쓰는 판	스키, 스키판
1605	Korean_Trans	노예	노예; (비유) ~의 노예, 사로잡힌 사람
1611	Korean_Trans	사회적인	사회적인; 사회복지의
1618	Korean_Trans	군인	병사, 군인
1620	Korean_Trans	연대된, 공동 책임의	연대하는, 연대의; (법) 연대책임의
1623	Korean_Trans	소리가 나다, 울리다	소리가 나다, 울리다; ~하게 들리다; (시계가) 시각을 알리다
1636	Korean_Trans	돈을 출납하다	돈을 쓰다, 지출하다; 출납하다
1639	Korean_Trans	숨을 쉬다, 호흡하다	숨 쉬다, 호흡하다; 한숨 돌리다; (비유) 풍기다, 드러내다
1640	Korean_Trans	정신, 영혼, 기풍	정신, 마음; 영혼, 정령·유령; 기풍, 기질
1644	Korean_Trans	역, 정거장; 방송국·전화국·관측소 등 시설	역, 정거장; 방송국·전화국·관측소 등 시설; 주둔지, 보양지
1650	Korean_Trans	똑바로 서 있다, 그대로 어떤 상태에 있다	서 있다; (어디에) 있다, 위치하다; (상태로) 머무르다
1659	Korean_Trans	도시의 거리	거리, 길, 도로
1663	Korean_Trans	대학생	학생(특히 대학생)
1674	Korean_Trans	질식시키다, 숨 막히게 하다	질식시키다, 숨 막히게 하다; (비유) 억누르다, (사건을) 은폐하다
1676	Korean_Trans	설탕	설탕; (화학) 당
1680	Korean_Trans	해, 태양	태양, 해; 햇빛, 양지
1688	Korean_Trans	남성용 외투, 코트	외투, 오버코트
1690	Korean_Trans	입으로 빨다	빨다, 들이마시다; 빨아내다
