row_index	column	old	new
1008	Korean_Trans	격투하다, 씨름·레슬링을 하다	격투하다, 씨름·레슬링을 하다; (비유) 투쟁하다, 맞서 싸우다
1010	Korean_Trans	스스로 빛나다	빛나다; (비유) 얼굴·표정이 환해지다, 빛을 발하다
1019	Korean_Trans	얼룩, 반점	얼룩, 반점; (비유) 오점, 흠
1024	Korean_Trans	위임, 위임장, 임기, 【상업】환어음	위임, 위임장; 위임된 직무·임기·의석; (상업) 환어음
1025	Korean_Trans	방법, 방식; 양식, 태도	방법, 방식, 유파; (복수) 예절, 풍습
1030	Korean_Trans	망토, 외투	망토, 외투; (건축) 벽난로 선반; (비유) 덮개, 가림막
1034	Korean_Trans	표시, 표지; 상표, 브랜드; (스포츠) 스타트라인; (화폐) 마르크	표시, 표지, 표식; 동전·칩; 상표, 브랜드; (스포츠) 스타트라인; (화폐) 마르크
1035	Korean_Trans	바다, 넓고 광대한 물	바다; (달 표면의) 바다; (비유) 광대한 것
1036	Korean_Trans	못을 박거나 금속을 두드리는 망치	망치, 해머; (해부) 추골(망치뼈)
1039	Korean_Trans	걷다, 걸어가다	행진하다, 전진하다; (비교적 먼 길을) 걸어가다
1049	Korean_Trans	완전히 익어 성숙한, 다 자란 상태；（어음 등이） 만기의	완전히 익은, 성숙한; (비유) 숙고된, 원숙한; (상업) 만기의
1050	Korean_Trans	음식을 씹다	씹다, 잘게 씹어 부수다; (비유) 곱씹다, 되새기다
1055	Korean_Trans	깊이 생각하다	깊이 생각하다, 묵상하다; 명상하다
1068	Korean_Trans	받을 자격이 있다	받을 만하다, 자격이 있다; (칭찬·비난을) 받을 만하다
1070	Korean_Trans	금속	금속; (화학) 금속 원소
1079	Korean_Trans	얼굴 표정, 안색	얼굴 표정, 안색; 태도, 겉모습
1080	Korean_Trans	이주하다, 떠돌아다니다	이동·이주하다, 떠돌다; (동물·새가) 계절적으로 이동하다
1086	Korean_Trans	전쟁하다	전쟁하다, 싸우다, 교전하다
1089	Chinese_Trans	最小量，最低限度	最小，最少，最低；（数）最小值、极小
1089	Korean_Trans	최소한의 수량이나 한도	최소, 최저 한도; (수학) 최소값, 극소
1097	Korean_Trans	신비, 수수께끼	신비, 불가사의; 수수께끼, 비밀; (기독교) 신비 교의
