row_index	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
1200	ok	{Ｂ}［数詞］八	八	여덟
1201	okazi	{Ｂ}［自］起こる; （行事が）催される	发生	발생하다
1202	okcidento	{Ｂ}西, 西方; 西部, ><〜	西，西方	서쪽, 서방
1203	oktobro	{Ｂ}１０月	十月	10월
1204	okulo	{Ｂ}【解】目; 目つき, まなざし, 視線	眼睛	눈, 안구
1205	okupi	{Ｂ}［他］占めている, 占有している, 占領している; =ek〜; 専念させる, 忙殺する, 従事させる	占领；占；[~o]工作，职业；[~ita]忙碌	장소·지위 등을 차지하다, 점령하다
1206	ol	{Ｂ}［接］～よりも	比	…보다
1207	oleo	{Ｂ}油, 石油, >>〜	油（统称）	기름
1208	ombrelo	{Ｂ}傘（かさ）	伞	우산
1209	ombro	{Ｂ}陰（かげ）, 日陰; 影（かげ）, 影法師; 陰影, 暗部; 《転》闇, かげり; 亡霊	阴影，影子；（转）阴霾，阴暗面	그늘, 그림자; (비유) 어두운 기운
1210	ondo	{Ｂ}波; 波状のもの; 《転》波, うねり; 【理】波	波浪，浪潮	물결, 파도
1211	oni	{Ｂ}［代］（一般・不特定の）人, 人々, 誰か	人，人们（泛指）	불특정 사람들
1212	onklo	{Ｂ}おじ（親の兄弟、親の兄弟の夫）, >>oĉjo	叔，伯，舅，姨（姑）父	삼촌, 외삼촌 등 남자 어른
1213	opinii	{Ｂ}［他］～という意見である, ～と思う, ～と考える	以为，认为	…라고 생각하다
1214	oportuna	{Ｂ}便利な, 使いやすい; 好都合な, 時宜を得た	便利，合适，适宜	편리하고 때에 알맞은
1215	oranĝo	{Ｂ}【果】オレンジ; 《般》ミカン（蜜柑）, >>mandarino	柑，橙，橘	오렌지, 귤류 과일
1216	ordinara	{Ｂ}普通の, 通常の; ありふれた, 平凡な	平常，普通	보통의, 평범한
1217	ordo	{Ｂ}順序, 順番, 序列; 秩序, 整頓; 社会秩序, 治安; 【数】次数; 【軍】隊形; 【建】オーダー, 柱式; 【生】（分類学上の）目（もく）	次序，秩序；（军）队形；（建）柱式；（生）目	순서, 질서, 【군사】대형, 【건축】주식(柱式), 【생물】목(目)
1218	ordoni	{Ｂ}［他］命じる, 命令する, 指図する	命令，吩咐	명령하다
1219	orelo	{Ｂ}耳; 耳状のもの; 【解】耳; 《転》聴覚	耳朵	귀
1220	organizi	{Ｂ}［他］組織する, 設立する; 準備する, 催す	组织	조직하다
1221	organo	{Ｂ}【解】器官, 臓器; 【機】装置; 機関紙, 機関誌; （国家・政党などの）機関, 機構	器官；机构；机关报（刊）	기관, 장기; (기계) 장치; (단체) 기관
1222	oriento	{Ｂ}東, 東方, 東部, ><〜; （フリーメーソンの）地方支部	东，东方	동쪽, 동양
1223	originalo	{Ｂ}（模写・翻訳に対して）原作, 原本, 原画	原作，原文，原型	원작, 원본
1224	origino	{Ｂ}起源, 発端, 由来; 生まれ, 素性, 血統; 【数】原点	起源；出身，来历；原点	기원, 유래; 출신, 내력; (수학) 원점
1225	orkestro	{Ｂ}【楽】オーケストラ, 管弦楽団; （劇場の）オーケストラボックス	乐队席；（管弦）乐队；正厅前座	관현악단, 오케스트라
1226	ornami	{Ｂ}［他］飾る, 装飾する	装饰，修饰，点缀	장식하다
1227	oro	{Ｂ}金, 黄金, 金貨; 【化】金; 《転》富, 金銭; （金のように）貴重なもの; 【遊】（将棋の）金将	金，黄金；金钱，财富	금, 황금; (비유) 부, 재물
1228	ortografio	{Ｂ}【Ｇ】正書法, 正字法; （個々の）綴り（つづり）	正字法；写法，拼法	철자법, 정서법
1229	oscedi	{Ｂ}［自］あくびをする	打呵欠	하품하다
1230	osto	{Ｂ}骨; 遺骨; 【料】肉付きの骨	骨，骨头	뼈
1231	ovo	{Ｂ}卵（たまご）, 鶏卵; 【生】卵（らん）, >>frajo	卵，蛋	알, 달걀
1232	pacienca	{Ｂ}我慢強い, 辛抱強い; 根気のよい	坚韧，耐心	참을성 있는, 인내심 강한
1233	paco	{Ｂ}平和; 平安, 治安; 和解; 平穏, 安らぎ	和平，平安	평화; 평안, 안녕; 화해
1234	pafi	{Ｂ}［他］撃つ, 射る, 射撃する, 射出する, 発射する	射，发射	총이나 화살 따위를 쏘다
1235	pagi	{Ｂ}［他］払う, 支払う; 《転》仕返しする; 《転》償いをする	付钱；偿还	돈을 지불하다, 값을 치르다
1236	pako	{Ｂ}包み, 荷物	包裹	짐, 꾸러미
1237	pala	{Ｂ}（顔が）青ざめた, 青白い, 血の気のない; 色の薄い, 光の弱い; 《転》生気のない	苍白，灰白，暗淡；乏味	창백한; (색·빛이) 엷은, 희미한
