row_index	column	old	new
2500	Korean_Trans	지속시키다	계속하게 하다, 지속시키다
2501	Korean_Trans	지속 기간	지속, 지속 기간
2506	Korean_Trans	고발하다	밀고하다, 고발하다
2518	Korean_Trans	모직물	라샤, 모직물
2524	Korean_Trans	사형을 집행하다	처형하다, 사형을 집행하다
2526	Korean_Trans	교묘히 빠져나가다	요령껏 빠져나가다, 벗어나다
2543	Korean_Trans	낫으로 풀을 베다	낫으로 베다, 수확하다
2575	Korean_Trans	차고, 주차장	차고, 차량 보관고, 주차장
2583	Korean_Trans	접착제	풀, 접착제, 아교
2587	Korean_Trans	삐걱거리다	삐걱거리다; (이를) 갈다
2592	Korean_Trans	근위병	근위병, 근위대
2595	Korean_Trans	항공기 격납고	격납고, 항공기 격납고
2597	Korean_Trans	얻게 하다	얻게 하다, 가지게 하다
