row_index	column	old	new
611	Chinese_Trans	大麦属植物；大麦粒	大麦；（植）大麦属植物
620	Korean_Trans	사람의 기분이나 감정 상태, 성격적 기질	기질; 기분, 기분 상태; (고의학) 체액
633	Korean_Trans	책 등에 그림을 넣어 설명하다	삽화를 넣어 설명하다; 예를 들어 설명하다
643	Korean_Trans	무관심하고 아무래도 좋은	무관심한; 중요하지 않은, 아무래도 좋은
647	Korean_Trans	관대하게 용서하다, 너그럽게 봐주다	너그럽게 용서하다, 관대하게 봐주다; 응석을 받아주다
649	Korean_Trans	어린아이, 아동	어린아이, 아동; (부모에 대한) 자녀
652	Korean_Trans	영향을 주다	영향을 주다, 감화시키다, 좌우하다
653	Korean_Trans	소식이나 정보를 알리다	알리다, 통지하다, 보고하다
656	Korean_Trans	어떤 쪽으로 기우는 성향	어떤 쪽으로 기우는, ~하기 쉬운
662	Chinese_Trans	安装，设置；使就任；（信息）安装程序	安装，设置；使就任；（信息）安装（软件）
663	Korean_Trans	남을 부추겨 행동하게 하다	부추기다, 독려하다; 선동하다
677	Chinese_Trans	内心，内在；亲密，亲切	亲密的，亲近的；私人的，内心的
679	Korean_Trans	발명하다	발명하다, 고안하다, 생각해 내다
685	Korean_Trans	빈정거리며 비꼬는 표현	반어, 빈정거림, 비꼼
686	Korean_Trans	어떤 사람, 누군가	어떤, 어느 / 누군가, 어떤 사람
693	Chinese_Trans	通用介词	用于表示时刻或在无更合适介词时使用的通用介词
696	Chinese_Trans	越	越（与des搭配构成“越…越…”）
