row_index	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
1500	rilati	{Ｂ}［自］関係する, 関連がある, かかわる; 交際する	与…有关系；涉及；（与人）交往	관련되다, 관계가 있다; (사람과) 교제하다
1501	rimarki	{Ｂ}［他］気づく, 注目する; （気がついて）言う, 指摘する	觉察，发觉；指出，提及	깨닫다, 알아차리다; 지적하다
1502	rimedo	{Ｂ}手段, 方法, 方策; （救済・回復のための）対策, 措置	手段，方法；对策，补救办法	수단, 방법, 대책
1503	rimeno	{Ｂ}（平たくて細長い）ひも, 帯, 革帯; 【機】ベルト	带子，皮带；（机械）传动带	끈, 띠, 가죽띠; (기계) 벨트
1504	rimo	{Ｂ}【文】韻, 脚韻	韵，韵脚	운, 각운
1505	ringo	{Ｂ}輪, 環; 指輪; 《転》環状のもの	环，圈；戒指	둥근 고리, 반지
1506	ripari	{Ｂ}［他］修理する, 修繕する; 《転》回復する, 償う, >>rebonigi	修理；弥补，改正	수리하다, 보수하다; (비유) 회복하다, 만회하다
1507	ripeti	{Ｂ}［他］繰り返す, 反復する; 繰り返して言う; 復唱する	重复	말이나 행동을 되풀이하다
1508	ripo	{Ｂ}【解】肋骨（ろっこつ）, あばら骨; 【植】葉脈, =nervuro; 【織】うね; 【機】リブ, 補強材; 【海】肋材	肋骨；【植】叶脉；【机】肋板，加强筋	갈비뼈, 【식물】잎맥, 【기계】리브, 보강재
1509	ripozi	{Ｂ}［自］休息する, 休憩する; 静かに横たわる, 横になって休む; （死んで）横たわる, 永眠する	休息；躺下歇息；（亡者）安息	휴식하다, 쉬다; 누워 쉬다; (사망자가) 안식하다
1510	riproĉi	{Ｂ}［他］とがめる, しかる, 非難する, >>〜, >>〜	责备，指责，谴责	꾸짖거나 탓하며 비난하다
1511	riski	{Ｂ}［他］（生命などを）危険にさらす, 賭ける; ～の危険を冒す; あえて～する	拿…冒险，冒…危险，有…危险	위험을 무릅쓰고 하다, 모험을 감행하다
1512	ritmo	{Ｂ}リズム, 律動, 周期的変動; 【楽】リズム; 【文】韻律	律动；韵律，格律；节奏	리듬, 율동; 주기적 변동; (문학) 운율
1513	rivero	{Ｂ}川, 河川; 流れ	河	강, 하천
1514	rizo	{Ｂ}【植】イネ（稲）（種）; 《般》米（粒）; 【料】米飯, ライス	稻属植物；稻粒，大米；米饭	벼에서 얻는 곡물, 쌀
1515	riĉa	{Ｂ}金持ちの, 富んだ, 裕福な; 豪華な, 高価な; 豊かな, 豊富な	富裕，丰富	부유한; 풍부한, 풍요로운
1516	robo	{Ｂ}【服】ローブ, 式服, 法服, ガウン; （女性用の）ドレス, ワンピース	长袍，礼服，法袍；（女式）连衣裙	긴 겉옷, 로브·법복·드레스류
1517	roko	{Ｂ}岩, 岩石; 岩山, 岩礁	岩石	바위, 암석
1518	rolo	{Ｂ}【劇】役割, 役; 《転》役割, 役目	角色，脚色；职责，作用，影响	역할, 임무
1519	romano	{Ｂ}小説, 長編小説, ロマン; 【史】ロマンス（中世の騎士物語） / 【史】ローマ人; ローマ市民	长篇小说；（史）骑士传奇；（史）罗马人、罗马市民	장편 소설; (역사) 로망스(기사 이야기); (역사) 로마인
1520	rompi	{Ｂ}［他］破壊する（壊す）, 割る, 折る, 破る; 断つ, 断絶する; 《転》（勇気・無関心などを）打ち破る, 打ち砕く	打破，毁坏；折断，弄破；断绝（关系）；（转）打破（常规/记录）	깨뜨리다, 부수다; 끊다, 단절하다; (비유) 틀·기록을 깨다
1521	rondo	{Ｂ}円, 円形, 輪; 仲間, 集まり, サークル（会）	圆；团体	원, 동그라미, 둥근 모양
1522	ronki	{Ｂ}［自］いびきをかく; ごうごううなる, >>grunti	打鼾，发呼噜声	코를 곤다; 큰 코고는 소리가 나다
1523	rosti	{Ｂ}［他］【料】焼く, あぶる, ローストする, 煎る; 《転》強い熱にさらす	烤，烧，烤制	고기 등을 불에 직접 구워 익히다
1524	rozo	{Ｂ}バラ（の花）; 【植】バラ（薔薇）（属）; 《転》バラの花の形をしたもの; 【建】バラ窓; （羅針盤の）方位盤; （じょうろの）散水口	蔷薇，玫瑰；（建）玫瑰窗；（罗盘）方位盘	장미; (건축) 장미창; (나침반) 방위판
1525	rubando	{Ｂ}リボン, テープ, ひも, 帯状のもの; （勲章の）綬（じゅ）	丝带，绸带，带子；佩带，绶带	리본, 좁고 긴 띠
1526	ruino	{Ｂ}廃墟, 破壊の跡; 遺跡; 《転》崩壊した状態	遗址，废墟	폐허, 유적
1527	ruli	{Ｂ}［他］転がす; （波などを）うねらせる; （音などを）ふるわせる; 【情】（プログラムを）実行する	滚动，转动；使起伏、震动；（计）运行（程序）	굴리다; (파도·소리 등을) 떨리게 하다; (정보) 프로그램을 실행하다
1528	ruza	{Ｂ}ずるい, 悪賢い, 狡猾な, 抜け目ない	狡猾，奸诈	교활한, 약삭빠른
1529	ruĝa	{Ｂ}赤い, >>skarlata, >>punca, >>roza; 《転》左翼の	红色；（转）左翼的	붉은, 빨간; (비유) 좌익의
1530	sabato	{Ｂ}土曜日; （ユダヤ教の）安息日	星期六；（犹太教）安息日	토요일; (유대교) 안식일
1531	sablo	{Ｂ}砂; 【医】尿砂	沙，砂；（医）尿砂	모래, 모래알
1532	sagaca	{Ｂ}明敏な, 賢明な, 巧妙な, 抜け目のない	有洞察力，机敏，精明	명민하고 영리한
1533	sago	{Ｂ}矢; 矢印; 【数】矢, 矢線	箭，箭头，（弓形的）高	화살; 화살표; (수학) 화선
1534	sako	{Ｂ}袋; かばん, バッグ	袋，口袋	주머니, 가방
1535	salajro	{Ｂ}給料, 給与, 賃金	工资，报酬	급여, 봉급
1536	salato	{Ｂ}【料】サラダ; 《転》ごたまぜ	色拉	샐러드
1537	saliko	{Ｂ}【植】ヤナギ（柳）（属）	柳属植物	버드나무속 식물
1538	salo	{Ｂ}塩; 【料】食塩; 【化】塩（えん）; 《転》ぴりっとした味, 機知	盐，食盐；（化）盐类；（转）机智风趣	소금, 식염; (화학) 염; (비유) 재치
1539	salono	{Ｂ}サロン, 広間, 客間; 名士の集い, 社交界; （定期的な）美術展	客厅；沙龙	살롱, 응접실, 큰 방; 사교계
1540	salti	{Ｂ}［自］跳ぶ, 跳び上がる, 跳躍する; 飛び移る, 飛びのく; 《転》飛躍する; 《転》急増する	跳，跳跃；飞快跃过；（转）骤增	뛰어오르다, 도약하다; 뛰어넘다; (비유) 급증하다
1541	saluti	{Ｂ}［他］挨拶する, 会釈する, お辞儀する, 敬礼する; 《転》敬意を表する, 歓迎する	问候，致意，打招呼；敬礼	상대에게 인사하거나 예의를 표하다
1542	sama	{Ｂ}同一の, 同じ; 同種の, 同様の	同样的，相同的	같은, 동일한
1543	sana	{Ｂ}健康な, 健やかな, 丈夫な, 元気な; 《転》健全な	健康的，健全的；（食品）未变质的	건강한, 병이 없는; (비유) 건전한
1544	sandviĉo	{Ｂ}【料】サンドイッチ	三明治，夹心面包片	샌드위치
1545	sango	{Ｂ}血, 血液; 《転》血統, 血筋; 《転》熱血, 血気; 《転》流血, 殺傷	血，血液；血统；（转）热血，血气；（转）流血，杀伤	피, 혈액; 혈통; (비유) 혈기, 유혈
1546	sankta	{Ｂ}【宗】神聖な, 聖なる; 《転》尊重すべき, 神聖不可侵の	圣的，神圣	신성한, 거룩한
1547	sapo	{Ｂ}石鹸（せっけん）	肥皂	비누
1548	sata	{Ｂ}満腹した, 食い足りた; 《転》満ち足りた	饱，满足	배부른, 먹은 만큼 찬; (비유) 만족한
1549	savi	{Ｂ}［他］救う, 救助する, 救命する; （破壊などから）守る, 保全する; 【宗】救済する	救，挽救；保护，保全	위험에서 구해내다, 목숨을 구하다; 파괴에서 지켜 보전하다
1550	saĝa	{Ｂ}賢い, 賢明な, 聡明な, 思慮深い, 利口な, >>〜, >>〜	聪明，明智，有理智的	현명하고 지혜로운, 사려 깊은
1551	saŭco	{Ｂ}【料】ソース（液状の調味料の総称）	调味汁，酱汁	소스, 액체 양념
1552	sceno	{Ｂ}【劇】場; 《転》場面, 光景, シーン; 《古》=〜ejo	舞台；场面，情景；（戏剧）场，场次	무대; 장면, 광경, 신
1553	scienco	{Ｂ}科学, 学問; ～学; 自然科学, 理科	科学，学问；自然科学	학문, 특히 자연과학
1554	scii	{Ｂ}［他］知っている, 知識がある; 心得ている, ～できる	知道，了解；懂得，会（做）	사실이나 정보를 알다; (방법·기술을) 할 줄 알다
1555	se	{Ｂ}［接］もし～なら, ～の場合	如果，假如	만약 ~라면
1556	sed	{Ｂ}［接］しかし, だが, けれども, >>〜, >>kontraŭe, >>male, >>〜	但是	그러나, 하지만
