row_index	column	old	new
2200	Korean_Trans	계좌, 계정	계좌, 계정; (상업) 계산·대차 계정
2232	Korean_Trans	거리 단위인 마일, 약 1.6킬로미터	마일(거리 단위, 약 1.6km); (비유) 꽤 먼 거리
2234	Korean_Trans	상품이 오가는 시장	시장(市); 판로; 거래·매매
2243	Korean_Trans	경제상의 독점	독점, 전매; (비유) 독차지
2246	Korean_Trans	고위자에 대한 존칭	각하·전하·폐하 등 고위자에 대한 존칭
2251	Korean_Trans	순수한, 깨끗한	순(純)의, 순수한; 깔끔한, 정돈된; (상업) 순액의
2252	Korean_Trans	어느 편에도 치우치지 않는	중립의, 어느 편에도 치우치지 않는; 공정한
2255	Korean_Trans	단편소설	단편소설, 중편소설(노벨라)
2266	Korean_Trans	갑작스러운 공포 상태	공황, 패닉; (경제) 공황
2275	Korean_Trans	야외에서 도시락을 먹는 소풍	야외 식사, 피크닉, 소풍
2278	Korean_Trans	재판에서 변호하다	재판에서 변호·변론하다; (비유) 옹호하다
2289	Korean_Trans	사상 따위를 널리 알리는 행위	선전, 보급, 프로파간다; (종교) 전도, 포교
2290	Korean_Trans	비율, 비례 관계	비율, 비례; 균형, 비례적 조화
