row_index	column	old	new
1701	Korean_Trans	가치나 수준을 평가하다	평가하다, 감정하다, 견적하다
1704	Korean_Trans	카펫, 양탄자	카펫, 양탄자; 태피스트리
1707	Korean_Trans	찻잔, 컵	찻잔, 컵; 한 컵 분량
1714	Korean_Trans	본문, 원문	본문, 원문, 텍스트; 가사
1716	Korean_Trans	음식을 담는 접시, 접시 모양의 것	접시, 평접시; 한 접시 분량의 요리; 접시 모양의 것
1719	Korean_Trans	온도	온도, 기온; 체온
1721	Korean_Trans	어떤 방향으로 기울어지는 경향	경향, 추세; 성향, 의향
1725	Korean_Trans	차, 홍차	차(음료), 차잎; (식물) 차나무
1730	Korean_Trans	지구; 땅, 지면; 토양	지구; 땅, 지면, 육지; 토양
1731	Korean_Trans	극심한 공포, 무시무시한 두려움	공포, 두려움; 위협; (비유) 공포의 대상
1748	Korean_Trans	그 사람이나 그것	그, 저; 그 사람, 그것
1755	Korean_Trans	소리의 높낮이, 어조; 색조, 톤	음(높이), 음조·어조; 색조, 톤
1762	Korean_Trans	비극	비극; 비극적 사건, 참사
1766	Korean_Trans	마음이 평온하고 고요한 상태	평온한, 차분한, 조용한
1768	Korean_Trans	무언가를 자르거나 베다	자르다, 베다; 잘라 나누다; (비유) 가로질러 나아가다
1770	Korean_Trans	훈련하다	훈련하다, 단련하다; 양성하다
1786	Korean_Trans	작은 구멍이나 뚫린 곳	구멍, 구; 동물의 굴; (골프) 홀; (비유) 결함
1791	Korean_Trans	곧바로	곧, 즉시; 바로 근처에
