row_index	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
100	anekdoto	{Ｂ}逸話, ゴシップ, 奇聞; 小話	轶事，趣闻，小故事	재미있는 짧은 일화
101	angulo	{Ｂ}角（かど）, すみ; 【数】角（かく）	角；角落	각, 모서리, 구석
102	animalo	{Ｂ}動物, ><〜	动物	동물
103	animo	{Ｂ}魂, 心; 生気; 【宗】霊	灵魂，精神	영혼, 마음
104	ankaŭ	{Ｂ}［副］～もまた	也	또한, …도
105	ankoraŭ	{Ｂ}［副］まだ; もっと	还，仍	아직, 여전히
106	anonci	{Ｂ}［他］予告する; 公告する	宣布，通告，公告	공식적으로 알리다
107	anstataŭ	{Ｂ}［前］～の代わりに / {Ｂ}［接］～する代わりに	代替；作为…的替代（介词/连词）	대신, 대체하여（전치사/접속사）
108	antaŭ	{Ｂ}［前］（時間的・空間的に）～の前に	在…前面，在…以前	공간·시간상 앞에
109	anĝelo	{Ｂ}天使	天使	천사
110	aparato	{Ｂ}装置, 機械一式; 【解】器官; 【政】機関; 【情】装置, デバイス	一套装置，仪器；（解）器官；（政）机关；（信息）装置，设备	장치, 기계; (해부) 기관; (정치) 기구; (정보) 장치, 디바이스
111	aparta	{Ｂ}別の, 別々の; 特別の	单独的，个别的，分开的；特别的	별개의, 특별한
112	apartamento	{Ｂ}アパートメント, フラット（集合住宅内の一区画）	公寓套房；公寓中的一户住宅	아파트 한 세대
113	aparteni	{Ｂ}［自］～のものである; ～に所属する	属，属于	어떤 사람이나 단체에 속하다
114	apenaŭ	{Ｂ}［副］やっと, かろうじて; ほとんど～ない / {Ｂ}［接］～するや否や	几乎不；勉强，才；刚…就…	겨우, 간신히; …하자마자
115	aperi	{Ｂ}［自］現われる, （刊行物が）出る	出现	나타나다, 출현하다
116	apetito	{Ｂ}食欲	食欲	식욕
117	aplaŭdi	{Ｂ}［他］拍手喝采（かっさい）する; 《転》称賛する	鼓掌，拍手称赞；赞同	손뼉쳐 칭찬하거나 환호하다
118	apliki	{Ｂ}［他］応用する, 適用する; 【理】（力を）作用させる	应用，实际运用；使用，采用	응용하다, 적용하다
119	apogi	{Ｂ}［他］支える, もたせかける; 《転》支持する	支撑，使倚靠；（转）支持	지탱하다, 받쳐 주다; (전) 지지하다
120	apoteko	{Ｂ}薬局	药店，药房	약국
121	aprilo	{Ｂ}４月	四月	사월
122	aprobi	{Ｂ}［他］賛成する, 同意する; 是認する, 認可する	赞成，认可	찬성하다, 동의하다; 인정하다, 승인하다
123	apud	{Ｂ}［前］～のそばに	在…近旁	옆에, 가까이에
124	araneo	{Ｂ}【動】クモ（蜘蛛）	蜘蛛	거미
125	aranĝi	{Ｂ}［他］整える, 整頓する; 手配する; 【楽】編曲する; 【劇】脚色する	整理，布置；安排；（乐）编曲；（剧）改编	정리·배열하다; 준비하다; (음악) 편곡하다; (극) 각색하다
126	arbitra	{Ｂ}任意の, 勝手気ままな	任意的，武断的	제멋대로의
127	arbo	{Ｂ}木, 樹木; 【植】高木	树	나무, 수목
128	arko	{Ｂ}弓形; 弓, =paf〜; 【数】弧; 【建】アーチ; 【理】電弧, =lum〜; 【解】弓	弧，拱形物；弓；[物] 电弧	활, 활 모양; (수학) 호; (건축) 아치; (물리) 전호
129	armeo	{Ｂ}軍隊; ～軍; 《転》大群	军队	국가의 조직된 군대
130	armi	{Ｂ}［他］武装させる; 装甲する	武装，加固	무장시키다
131	artikolo	{Ｂ}記事; 条項; 【法】（法令の）条, >>paragrafo; 【Ｇ】冠詞	冠词；文章；条款	기사; 조항; (문법) 관사
132	arto	{Ｂ}技術, ～術; 芸術; （自然に対して）人工	技艺；艺术	기술, 예술
133	arĝento	{Ｂ}銀; 【遊】（将棋の）銀将	银	은(金속)
134	asekuri	{Ｂ}［他］保険をかける	保险；担保，保障	보험에 들다
135	aserti	{Ｂ}［他］断言する, 主張する	断言，断定	단언·주장하다
136	asocio	{Ｂ}協会, 結社; 結合, 連合	协会，联合会，社团	협회
137	aspekti	{Ｂ}［自］見える	像是，貌似，显得	처럼 보이다
138	ataki	{Ｂ}［他］攻撃する; 襲う	进攻，袭击	공격하다, 습격하다
139	atendi	{Ｂ}［他］待つ; 期待する	等待；预料；期待	기다리다; 기대하다
140	atenta	{Ｂ}注意深い	注意的，留心的	주의 깊은
141	atesti	{Ｂ}［他］証言する, 証明する	证明，证实，作证	증언하다
142	atingi	{Ｂ}［他］着く, 届く, 到達する	到达，达到；做到	어떤 지점에 도달하다
143	atomo	{Ｂ}【理】原子; 【哲】アトム; 《転》微小物, 微塵	原子；（哲）原子（不可分实体）；（转）微粒	물질을 이루는 최소 단위, 원자
144	avara	{Ｂ}欲の深い, けちな	吝啬，贪婪	인색한, 욕심 많은
145	aventuro	{Ｂ}冒険; 不意の出来事	奇遇；冒险	모험, 뜻밖의 사건
146	avenuo	{Ｂ}並木道, アベニュー; 大通り	林荫大道	가로수 늘어선 큰길
147	averti	{Ｂ}［他］警告する, 注意を促す, 予告する	警告，提醒，劝阻	위험을 미리 알려 경고하다
148	avida	{Ｂ}渇望している; むさぼるような	渴望，热望	탐욕스러운, 갈망하는
149	avo	{Ｂ}祖父; おじいさん	祖父（爷爷/外公）	할아버지
150	azeno	{Ｂ}【動】ロバ; 《転》愚か者	驴；（转）笨人，蠢人	당나귀; (전) 바보
151	aĉeti	{Ｂ}［他］買う, 購入する; =〜（買収する）	买，购买；（转）收买	사다, 구입하다; (전) 매수하다
152	aĝo	{Ｂ}年齢, 歳	年龄；时代，时期	나이, 연령; 시대
153	aŭ	{Ｂ}［接］または, あるいは	或者，还是	또는, 혹은
154	aŭdi	{Ｂ}［他］聞く; 聞こえる	听见	소리를 듣다
155	aŭgusto	{Ｂ}８月	八月	팔월
156	aŭskulti	{Ｂ}［他］聴く, 耳を傾ける, 傾聴する	听，倾听	주의해서 듣다, 경청하다
157	aŭto	{Ｂ}自動車, =〜mobilo	汽车	자동차
158	aŭtobuso	{Ｂ}バス	公共汽车	버스
159	aŭtomato	{Ｂ}自動装置, 自動機械; 自動人形, ロボット	自动装置，自动机	자동장치, 자동기계
160	aŭtomobilo	{Ｂ}自動車（乗用車）, =〜	同〜（汽车）	자동차
161	aŭtoritato	{Ｂ}権威, 権限	威望；权威；当局	권위, 권한; 당국
162	aŭtoro	{Ｂ}著者, 作者	作者，著者	저자, 작가
163	aŭtuno	{Ｂ}秋	秋天	가을
164	babili	{Ｂ}［自］雑談する, おしゃべりする	聊天，闲谈	잡담하다, 수다 떨다
165	bagatelo	{Ｂ}つまらないこと, ささいなこと	小事，琐事	사소한 일
166	baki	{Ｂ}［他］（パン，肉などを）焼く, （煉瓦，陶器などを）焼き固める	烘，焙；（烤箱里）烤	빵·고기·벽돌 등을 굽다
167	balai	{Ｂ}［他］掃く; 【理】走査する	扫，清扫；（理）扫描	빗자루로 쓸어 청소하다; (물리) 주사하다
168	balanci	{Ｂ}［他］上下に揺らす	上下簸动，上下摆动	아래위로 흔들다
169	balbuti	{Ｂ}［自］どもる	口吃，结巴	말을 더듬다
170	baldaŭ	{Ｂ}［副］まもなく, やがて	不久，没多时	곧, 머지않아
171	balo	{Ｂ}舞踏会, ダンスパーティ	舞会	무도회
172	balono	{Ｂ}気球; 風船, =〜eto; 【化】球形フラスコ	气球；风船；（化）球形烧瓶	기구(열기구), 풍선; (화학) 구형 플라스크
173	baloti	{Ｂ}［自］投票する, 票決する	投票（选举）	투표하다
174	bambuo	{Ｂ}【植】タケ（竹）	竹	대나무
175	banano	{Ｂ}【果】バナナ	香蕉及各种芭蕉（果实）的总称	바나나
176	bandaĝo	{Ｂ}包帯	绷带	붕대
177	bani	{Ｂ}［他］水浴させる; （液体に）浸しておく; （水などを）浴びせかける	给…洗澡；浸泡；使沐浴	목욕시키다
178	banko	{Ｂ}銀行; 【遊】（賭博で）親元にある賭け金, 場銭（ばせん）	银行；（赌）庄家资金	은행; (도박) 판돈의 원금
179	barakti	{Ｂ}［自］もがく, じたばたする; 《転》苦闘する	挣扎；奋斗；竞争	몸부림치다, 발버둥치다
180	barbo	{Ｂ}あごひげ, ほおひげ	胡子	수염, 턱수염
181	barelo	{Ｂ}樽（たる）	桶，酒桶	불룩한 통
182	baro	{Ｂ}障害; =baraĵo / 【理】バール（圧力の単位，bar）, >>paskalo	障碍；（物理）巴（压力单位）	장애물, 방해가 되는 것；（물리） 바（기압 단위）
183	bastono	{Ｂ}棒, 杖（つえ）	棒；指挥棒，权杖	막대기, 지팡이
184	batali	{Ｂ}［自］戦う	战斗，斗争	싸우다
185	bati	{Ｂ}［他］打つ, たたく, 殴る	打，击，敲；（心脏）跳动，拍打	세게 때리다, 치다; (심장) 뛰다
186	bazaro	{Ｂ}市場（いちば）, 市（いち）, マーケット, >>〜	市场，集市，商场，交易会	시장, 장터, 마켓
187	bazo	{Ｂ}土台, 基礎, 礎石; 《転》基盤, 根拠; 【生】基部; 【化】塩基; 【数】基数; 【数】基底; 【数】底辺; 【軍】基地	基础，根基；（化）碱；（数）基数，底边；基地	기초, 토대；（화학） 염기；（수학） 기수, 밑변；기지
188	bebo	{Ｂ}赤ん坊, =infaneto, >>suĉinfano	婴儿	아기, 갓난아이
189	bedaŭri	{Ｂ}［他］残念に思う, 惜しむ	痛惜，惋惜	유감스러워하다
190	beko	{Ｂ}くちばし	鸟嘴	새부리
191	bela	{Ｂ}美しい, きれいな; 立派な, すばらしい; （天気が）晴れた	美丽，漂亮；美好；（天气）晴朗的	아름답다, 예쁘다; 훌륭하다; (날씨가) 맑다
192	bendo	{Ｂ}ひも, テープ, 帯, バンド; 【建】帯飾り（車のタイヤは通常 pneŭo）	带；带子；频带，波段	끈·띠·테이프; (통신) 주파수 대역
193	beni	{Ｂ}［他］祝福する	祝福；祈福，赐福	축복하다
194	benko	{Ｂ}ベンチ	长凳，长椅	벤치
195	benzino	{Ｂ}ガソリン; 【化】ベンジン	挥发油，汽油	휘발유, 가솔린
196	bero	{Ｂ}（イチゴ・ブドウなど汁気の多い）実; 【植】液果	浆果	딸기·포도 같은 즙많은 열매
197	besto	{Ｂ}（人間を除く）動物, 獣, >>〜	（不含人）动物；兽	사람을 제외한 동물
198	bezoni	{Ｂ}［他］必要とする, >>necesi	需要	…을 필요로 하다
199	biblioteko	{Ｂ}図書館, 図書室; 蔵書; 【情】ライブラリ	图书馆；（计）程序库	도서관；（컴퓨터） 라이브러리
