row_index	column	old	new
2324	Korean_Trans	대강 그리다	스케치하다, 밑그림을 그리다; 개요를 제시하다
2331	Korean_Trans	도장이나 소인을 찍다	도장·소인을 찍다; 각인하다, 새기다; (비유) 깊이 새기다
2334	Korean_Trans	가게나 창고에 쌓아 둔 재고품	재고, 스톡; 비축, 저장품
2348	Korean_Trans	전술	전술; (비유) 책략, 수법
2352	Korean_Trans	적합하다	적합하다, 어울리다; 쓸모가 있다
2354	Korean_Trans	과학공업기술, 테크놀로지	공업기술, 기술학, 테크놀로지
2358	Korean_Trans	학문·기술 분야의 전문 용어	전문용어, 술어
2361	Korean_Trans	논제, 명제; (학위) 논문(참)	논제, 명제; (정치) 테제; (학술) 논문
2385	Korean_Trans	기꺼이 스스로 원해서	기꺼이, 자진해서, 흔쾌히
2386	Korean_Trans	육체적 쾌락	관능, 육욕, 쾌락
2388	Korean_Trans	동물을 전시하는 공원	동물원
