PhraseID	TopicName_EN	SubtopicName_EN	Esperanto	日本語	中文	한국어	Русский язык	English
1856	Travel	Giving Directions	Daŭrigu rekten preter kelkaj semaforoj	いくつかの信号をそのまま直進してください。	直行，经过几个红绿灯。	신호등을 지나 계속 직진하세요.	Продолжайте идти прямо мимо светофоров.	Continue straight on past some traffic lights.
1857	Travel	Giving Directions	Vi iras laŭ la malĝusta vojo	そっちじゃありません。	你走错方向了。	잘못된 방향으로 가고 있어요.	Вы идёте неправильной дорогой.	You're going the wrong way.
1858	Travel	Giving Directions	Vi prefere veturu per tramo	路面電車に乗ったほうがいいですよ。	你最好坐电车。	트램을 타는 게 좋겠어요.	Вам лучше поехать на трамвае.	You'd better take the tram.
1859	Travel	Giving Directions	Uzu la subpasejon	地下歩道をご利用ください。	请走地下通道。	지하보도를 이용하세요.	Воспользуйтесь подземным переходом.	Use the pedestrian subway.
1860	Travel	Giving Directions	Sekvu la indikilojn al la urbocentro	市内中心部の案内標識に従って進んでください。	请按照指示牌前往市中心。	도심 방향 표지판을 따라가세요.	Следуйте указателям, ведущим в центр города.	Follow the signs for the city centre.
1861	Travel	Giving Directions	Pardonu, mi ne konas la urbon	すみません、その町については知りません。	抱歉，我不认识这个城镇。	죄송하지만, 그 마을에 대해서는 잘 모르겠어요.	Извините, я не знаю города.	Sorry, I don't know the town.
1862	Travel	Giving Directions	Pardonu, mi ne estas de ĉi tie	すみません、私はこの辺の者ではありません。	不好意思，我不是本地人。	죄송하지만 저는 이 근처 사람이 아니에요.	Извините, я не отсюда.	Sorry, I'm not from around here.
1863	Travel	At the Tourist Office	Mi estas eksterlandano	私は外国人です。	我是外国人。	저는 외국인입니다.	Я иностранец.	I'm a foreigner.
1864	Travel	At the Tourist Office	Ĉu estas moteloj ĉi tie?	モーテルはありますか？	附近有汽车旅馆吗？	여기 모텔이 있나요?	Здесь есть мотели?	Are there any motels?
1865	Travel	At the Tourist Office	Kie estas la urbocentro?	市の中心部はどこですか？	市中心在哪里？	도심이 어디에 있나요?	Где находится центр города?	Where's the city centre?
1866	Travel	At the Tourist Office	Ĉu vi havas mapon?	地図をお持ちですか？	你有地图吗？	지도 있으신가요?	У вас есть карта?	Have you got a map?
1867	Travel	At the Tourist Office	Mi volas viziti vidindaĵojn	観光に行きたいです。	我想去观光。	관광을 하고 싶어요.	Я хочу посмотреть достопримечательности.	I want to go sightseeing.
1868	Travel	At the Tourist Office	Kie mi povas lui aŭton?	どこでレンタカーを借りられますか？	我在哪里可以租车？	어디에서 차량을 렌트할 수 있나요?	Где можно арендовать машину?	Where can I hire a car?
1869	Travel	At the Tourist Office	Kie staras la aŭtobusoj?	バスはどこですか？	公交车在哪里？	버스는 어디에 있나요?	Где стоят автобусы?	Where are the buses?
1870	Travel	At the Tourist Office	Kie estas la parko?	公園はどこですか。	公园在哪里？	공원은 어디에 있나요?	Где находится парк?	Where is the park?
1871	Travel	At the Tourist Office	Kie estas la muzeo?	博物館はどこですか？	博物馆在哪里？	박물관이 어디에 있나요?	Где находится музей?	Where is the museum?
1872	Travel	At the Tourist Office	Kie estas la katedralo?	大聖堂はどこですか？	大教堂在哪里？	대성당이 어디에 있나요?	Где находится собор?	Where's the cathedral?
1873	Travel	At the Tourist Office	Kie estas la merkato?	市場はどこですか？	市场在哪里？	시장 어디에 있나요?	Где находится рынок?	Where's the market?
1874	Travel	At the Tourist Office	Ĉu estas aŭtobuso al la urbo?	町へ行くバスはありますか？	有去市区的公交车吗？	시내로 가는 버스가 있나요?	Есть автобус, который идёт в город?	Is there a bus into town?
1875	Travel	At the Tourist Office	Ĉu estas drinkejo en la urbo?	この町にパブはありますか？	镇上有酒吧吗？	이 마을에 술집이 있나요?	В этом городе есть бар?	Is there a pub in the town?
1876	Travel	At the Tourist Office	Ĉu estas teatro en ĉi tiu urbo?	この町に劇場はありますか？	这个镇上有剧院吗？	이 town에 극장이 있나요?	В этом городе есть театр?	Is there a theatre in this town?
1877	Travel	At the Tourist Office	Kie estas la turista informejo?	観光案内所はどこですか。	请问旅游信息中心在哪里？	관광 안내소가 어디에 있나요?	Где находится туристическое бюро?	Where is the tourist information office?
1878	Travel	At the Tourist Office	Ĉu vi scias la numeron por voki taksion?	タクシーを呼ぶ電話番号をご存じですか？	你知道打车要拨打什么电话吗？	택시를 부르려면 전화할 수 있는 번호를 알고 계신가요?	Вы знаете номер, по которому можно заказать такси?	Do you know the number to call a taxi?
1879	Travel	At the Tourist Office	Ĉu vi havas broŝurojn?	パンフレットはございますか？	您有宣传册吗？	혹시 안내 책자 있으신가요?	У вас есть какие-нибудь брошюры?	Have you got any brochures?
1880	Travel	At the Tourist Office	Ni bezonas ie resti	どこか泊まる場所が必要です。	我们需要找个地方住。	우리가 머물 곳이 필요해요.	Нам надо где-то остановиться.	We need somewhere to stay.
1881	Travel	At the Tourist Office	Kie estas la plej proksima hotelo?	一番近いホテルはどこですか。	最近的酒店在哪里？	가장 가까운 호텔이 어디에 있나요?	Где ближайший отель?	Where is the nearest hotel?
1882	Travel	At the Tourist Office	Ĉu mi povas rezervi hotelĉambron ĉi tie?	こちらでホテルの予約はできますか？	我可以在这里预订酒店房间吗？	여기에서 호텔 객실을 예약할 수 있나요?	Могу ли я забронировать здесь номер?	Can I book a hotel room here?
1883	Travel	At the Tourist Office	Kiom da steloj ĝi havas?	星はいくつありますか？	它有多少颗星？	별이 몇 개나 있나요?	Сколько у него звёзд?	How many stars has it got?
1884	Travel	At the Tourist Office	Kie estas la flughaveno?	空港はどこですか？	机场在哪里？	공항이 어디에 있나요?	Где находится аэропорт?	Where's the airport?
1885	Travel	At the Tourist Office	Kie estas la artgalerio?	画廊はどこですか？	画廊在哪里？	미술 갤러리는 어디에 있나요?	Где находится картинная галерея?	Where's the art gallery?
