row	batch	esperanto	flags	score_zh	score_ko	Japanese_Trans	Chinese_Trans	Korean_Trans
2094	2001-2100	faktoro	scope_zh:8|scope_ko:8	8	8	{Ｏ}要因, 因子, ファクター; 【数】因数; 【理】因子, 率; 【商】仲買人, 代理業者	因素，要素；[数] 因子	요인, 요소; (수학) 인수
2160	2101-2200	kancero	scope_ko:8	7	8	{Ｏ}【病】がん（癌）, >>tumoro; 【植】腫瘍（しゅよう）; 【動】イチョウガニ（属）	[医] 癌；[天] 巨蟹座	악성 종양, 암
2249	2201-2300	negativa	scope_zh:9|scope_ko:11	9	11	{Ｏ}消極的な; 否定的な; 【電】陰の; 【理】負の, Ｓ極の; 【数】負の; >>〜, ><〜	消极的；否定的；负的	부정적인, 소극적인
2263	2201-2300	operacio	scope_zh:11|scope_ko:11	11	11	{Ｂ}【医】手術; 【商】操作; 【数】【情】演算; 【軍】=operaco（作戦）	手术；操作；运算	수술; 조작, 운용; 연산
2264	2201-2300	opozicio	scope_zh:8|scope_ko:9	8	9	{Ｂ}（政治上の）反対, 対立; 【政】反対派, 野党; 【天】衝（しょう）; 【理】逆位相	反对；反对派	정치적 반대, 야당
2270	2201-2300	paralela	scope_zh:9|scope_ko:9	9	9	{Ｂ}【数】平行の; 並列の, 平行する; 【電】並列の; 【情】パラレルの, >>seria	平行的	평행한, 나란한
2284	2201-2300	pozitiva	scope_zh:13|scope_ko:11	13	11	{Ｏ}積極的な, 建設的な, 実際的な, 現実的な, 確実な; 肯定的な; 実証的な; 【電】陽の; 【理】正の, Ｎ極の; 【数】正の; 【写】ポジの; >>〜, ><〜	积极的；肯定的；正的	긍정적인, 【전기】양의, 【수학】양수의
2313	2301-2400	rubo	scope_zh:8|scope_ko:8	8	8	{Ｏ}瓦礫, 残骸; がらくた, くず; 【地質】岩屑（がんせつ）; 【環】=rubaĵo（廃棄物）; 《転》がらくた, 無価値なもの	垃圾，废料	쓰레기, 파편 따위의 버려진 것
2320	2301-2400	simbolo	scope_zh:8|scope_ko:8	8	8	{Ｏ}象徴, シンボル, >>emblemo; 【化】【数】記号; 【カ】信経	象征，符号	어떤 개념을 드러내는 표시, 상징
2323	2301-2400	skeleto	scope_zh:8|scope_ko:8	8	8	{Ｏ}【解】骨格, 骸骨; 【生】外骨格; （建物などの）骨組み; 《転》骨子, 概略; 《転》やせこけた人	骨骼	몸의 뼈대가 되는 구조, 해골
2362	2301-2400	tezo	scope_zh:9|scope_ko:9	9	9	{Ｏ}主張, 説; 【論】命題, 定立, 提題; 【政】テーゼ; 【学】=disertacio（学位論文）	论题，论点	논리나 철학에서의 명제
