PhraseID	TopicName_EN	SubtopicName_EN	Esperanto	English	日本語	中文	한국어	Русский язык
2656	Hotel	Booking a Room	Ĉu vi havas liberajn ĉambrojn?	Have you got any rooms available?	空いているお部屋はありますか？	请问还有空房吗？	빈 객실이 있나요?	У вас есть свободные номера?
2657	Hotel	Booking a Room	Pardonu, nuntempe ni ne havas liberajn ĉambrojn	Sorry, currently we've got no rooms.	申し訳ありませんが、ただいま空室がございません。	很抱歉，目前我们没有空房。	죄송하지만 현재 이용 가능한 객실이 없습니다.	Извините, в настоящий момент номеров нет.
2658	Hotel	Booking a Room	Ĉu estas alia hotelo proksime?	Is there another hotel nearby?	近くに他のホテルはありますか？	附近还有其他酒店吗？	근처에 다른 호텔이 있나요?	Здесь неподалёку есть другой отель?
2659	Hotel	Booking a Room	Mi ŝatus ĉambron kun balkono	I'd like a room with a balcony.	バルコニー付きの部屋をお願いします。	我想要一间带阳台的房间。	발코니가 있는 객실로 부탁드려요.	Я бы хотела номер с балконом.
2660	Hotel	Booking a Room	Mi prenos ĉi tiun ĉambron por unu tago	I'll take this room for a day.	この部屋を一日借ります。	我要这间房住一天。	이 방을 하루 동안 사용할게요.	Я возьму этот номер на день.
2661	Hotel	Booking a Room	Kiom kostas por nokto?	What's the price per night?	1泊あたりの料金はいくらですか？	每晚多少钱？	1박 요금이 얼마인가요?	Сколько стоит ночь?
2662	Hotel	Booking a Room	Kiom kostas por semajno?	How much per week?	1週間あたりいくらですか？	每周多少钱？	일주일에 얼마인가요?	Сколько стоит в неделю?
2663	Hotel	Booking a Room	Mi ŝatus pli malmultekostan ĉambron	I'd like a cheaper room.	もっと安い部屋にしていただけますか。	我想要一间更便宜的房间。	더 저렴한 방으로 부탁드려요.	Я бы хотела номер подешевле.
2664	Hotel	Booking a Room	Kiom vi ŝatus pagi?	How much would you like to pay?	いくらお支払いをご希望ですか？	您想支付多少？	얼마를 지불하시겠습니까?	Сколько вы хотите заплатить?
2665	Hotel	Booking a Room	Ĉu estas io pli trankvila?	Is there anything quieter?	これより静かなものはありますか？	还有更安静的吗？	이보다 더 조용한 것이 있나요?	Есть что-нибудь потише?
2666	Hotel	Booking a Room	Ĉu vi havas ion pli grandan?	Have you got anything bigger?	もう少し大きいものはありますか？	有更大一点的吗？	더 큰 사이즈가 있나요?	У вас есть что-нибудь побольше?
2667	Hotel	Booking a Room	Mi ŝatus rezervi ĉambron por kvar noktoj	I would like to book a room for four nights.	4泊でお部屋を予約したいのですが。	我想预订一个房间，住四晚。	네, 4박 동안 객실을 예약하고 싶습니다.	Я бы хотел забронировать номер на четыре ночи.
2668	Hotel	Booking a Room	Ĉu estus eble rezervi la ĉambron por alia dato?	Would it be possible to book the room for another date?	別の日程でお部屋を予約することは可能でしょうか。	可以改期预订这个房间吗？	다른 날짜로 방을 예약할 수 있을까요?	Было бы возможно забронировать номер на другую дату?
2669	Hotel	Booking a Room	Ĉu vi ŝatus, ke mi metu vin sur nian atendoliston?	Would you like me to put you on our waiting list?	ウェイティングリストにお名前をお載せしましょうか？	需要我把您加入我们的等候名单吗？	대기자 명단에 올려드릴까요?	Вы бы хотели, чтобы я поставил вас на лист ожидания?
2670	Hotel	Booking a Room	Mi konfirmis la rezervon en Riado	I confirmed the reservation in Riyadh.	リヤドでの予約を確認しました。	我已经确认了利雅得的预订。	리야드에서 예약을 확인했습니다.	Я подтвердил бронирование в Эр-Рияде.
2671	Hotel	Booking a Room	Mi ŝatus nuligi mian rezervon	I'd like to cancel my reservation.	予約をキャンセルしたいのですが。	我想取消我的预订。	예약을 취소하고 싶어요.	Я бы хотела отменить своё бронирование.
