PhraseID	TopicName_EN	SubtopicName_EN	Esperanto	English	日本語	中文	한국어	Русский язык
456	General Conversation	Making Yourself Understood	Parolu kun mi en la mandarena ĉina lingvo	Speak with me in Mandarin Chinese.	中国語で話してください。	请用中文和我交流。	저와 중국어로 대화해 주세요.	Говорите со мной на мандаринском диалекте китайского.
457	General Conversation	Making Yourself Understood	Vi ne havas akcenton	You haven't got an accent.	なまりが全くないですね。	你没有口音。	당신은 억양이 없네요.	У тебя нет акцента.
458	General Conversation	Making Yourself Understood	Pardonu? Kion vi diris?	Pardon? What did you say?	すみません、今なんとおっしゃいましたか？	不好意思，你刚才说什么？	죄송해요, 뭐라고 말씀하셨나요?	Извините? Что вы сказали?
459	General Conversation	Making Yourself Understood	Kion signifas tiu vorto angle?	What does that word mean in English?	その単語は英語でどういう意味ですか？	那个词用英语是什么意思？	그 단어는 영어로 무슨 뜻인가요?	Что означает это слово на английском?
460	General Conversation	Making Yourself Understood	Kiel oni skribas tion?	How do you spell that?	どのように綴りますか？	这个怎么拼写？	그거 어떻게 철자해요?	Как это пишется?
461	General Conversation	Making Yourself Understood	Kiel oni diras tion ĉeĥe?	How do you say it in Czech?	チェコ語で何と言いますか？	用捷克语怎么说？	체코어로 어떻게 말하나요?	Как это по-чешски?
462	General Conversation	Making Yourself Understood	Kiel tio nomiĝas pole?	What is that called in Polish?	それはポーランド語で何と言いますか？	这个用波兰语怎么说？	그것을 폴란드어로 뭐라고 하나요?	Как это называется по-польски?
463	General Conversation	Making Yourself Understood	Ĉu mi ĝuste ĝin prononcas?	Am I pronouncing it correctly?	発音は合っていますか？	我发音正确吗？	제가 발음을 제대로 하고 있나요?	Я правильно её произношу?
464	General Conversation	Making Yourself Understood	Kiel oni povas traduki tion?	How can that be translated?	それはどのように訳せますか？	这要怎么翻译？	그것을 어떻게 번역할 수 있나요?	Как это можно перевести?
465	General Conversation	Making Yourself Understood	Vi parolas tro rapide	You are speaking too fast.	少し話すのが早いです。	你说得太快了。	말씀이 너무 빠르세요.	Вы говорите слишком быстро.
466	General Conversation	Making Yourself Understood	Kion mi diru?	What should I say?	何て言えばいいんだろう？	我该说什么？	무슨 말을 해야 할까요?	Что я должен сказать?
467	General Conversation	Agreeing & Disagreeing	Mi konsentas kun vi	I agree with you.	あなたに同意します。	我同意你的看法。	저도 동의합니다.	Я согласна с тобой.
468	General Conversation	Agreeing & Disagreeing	Mi malkonsentas	I disagree.	私はそうは思いません。	我不同意。	동의하지 않습니다.	Я не согласен.
469	General Conversation	Agreeing & Disagreeing	Vi pravas	You are right.	おっしゃる通りです。	你说得对。	맞아요.	Ты права.
470	General Conversation	Agreeing & Disagreeing	Tio estas vera	That's true.	その通りです。	确实如此。	맞아요.	Это правда.
471	General Conversation	Agreeing & Disagreeing	Ĉu vi ne konsentas?	Don't you agree?	そう思いませんか？	你不觉得吗？	동의하지 않으세요?	Разве ты не согласна?
472	General Conversation	Agreeing & Disagreeing	Mi tute konsentas	I entirely agree.	全く同感です。	我完全同意。	전적으로 동의합니다.	Я полностью согласна.
473	General Conversation	Agreeing & Disagreeing	Vi tiel pravas	You are so right.	本当にその通りですね。	你说得太对了。	정말 맞는 말이에요.	Ты так права.
474	General Conversation	Agreeing & Disagreeing	Ĉu vi ne pensas tiel?	Don't you think so?	そう思いませんか？	你不觉得吗？	그렇지 않나요?	Разве ты так не думаешь?
475	General Conversation	Agreeing & Disagreeing	Ho, certe ne!	Oh, surely not!	まさか、そんなことないでしょう！	哦，怎么会呢！	아, 설마요!	О, конечно нет!
476	General Conversation	Agreeing & Disagreeing	Mi ne konsentas kun via opinio	I don't agree with your opinion.	あなたの意見には賛成できません。	我不同意你的看法。	저는 당신의 의견에 동의하지 않습니다.	Я не согласна с вашим мнением.
477	General Conversation	Agreeing & Disagreeing	Ĉu mi povas demandi, ĉu vi konsentas?	Can I ask if you agree?	ご賛同いただけますか？	我可以问问你是否同意吗？	동의하시는지 여쭤봐도 될까요?	Могу я спросить, согласна ли ты?
478	General Conversation	Agreeing & Disagreeing	Fakte, ankaŭ mi tiel pensas	Actually, I think the same.	実は、私も同じ考えです。	其实我也这么想。	저도 사실 같은 생각이에요.	Вообще-то, я тоже так думаю.
479	General Conversation	Agreeing & Disagreeing	Ĉu vi konsentas, ke tio estas mensogo?	Do you agree that it is a lie?	それが嘘だということに同意しますか？	你同意这是谎言吗？	그것이 거짓말이라는 데 동의하시나요?	Ты согласна, что это ложь?
480	General Conversation	Agreeing & Disagreeing	Ho ne, mi ne konsentas	Oh, I don't agree.	いえ、私はそうは思いません。	哦，我不同意。	아, 저는 동의하지 않아요.	О нет, я не согласна.
481	General Conversation	Agreeing & Disagreeing	Mi timas, ke ne	I'm afraid not.	申し訳ありませんが、できません。	恐怕不行。	죄송하지만 어렵겠습니다.	Боюсь, что нет.
482	General Conversation	Agreeing & Disagreeing	Mi tute ne estas konvinkita	I'm not at all convinced.	まったく納得できません。	我一点也不信。	저는 전혀 확신이 들지 않아요.	Я абсолютно не убеждён.
483	General Conversation	Agreeing & Disagreeing	Mi komprenas lian vidpunkton	I can see his point.	彼の言いたいことは分かります。	我能理解他的观点。	그의 말이 이해돼요.	Я понимаю его точку зрения.
484	General Conversation	Agreeing & Disagreeing	Tio ne estas la sama afero	That's not the same thing.	それは同じことではありません。	那不是一回事。	그건 같은 게 아니에요.	Это не то же самое.
485	General Conversation	Agreeing & Disagreeing	Jes, ĉi tio estas bonega filmo	Yes, this is a great film.	はい、これは素晴らしい映画です。	是的，这是一部很棒的电影。	네, 정말 훌륭한 영화예요.	Да, это отличный фильм.
486	General Conversation	Agreeing & Disagreeing	Tio estas ĝuste mia vidpunkto	That's exactly my point of view.	まさに私の考えと同じです。	这正是我的观点。	저도 바로 그렇게 생각해요.	Это в точности соответствует моей точке зрения.
487	General Conversation	Agreeing & Disagreeing	Ankaŭ mi tiel pensis	That's what I was thinking, too.	私も同じことを考えていました。	我也是这么想的。	저도 그렇게 생각하고 있었어요.	Я тоже об этом думала.
488	General Conversation	Agreeing & Disagreeing	Jes, ĉio estas en plena ordo	Yes, that's quite in order.	はい、それで問題ありません。	是的，这完全没问题。	네, 그렇게 하셔도 괜찮아요.	Да, всё в полном порядке.
489	General Conversation	Agreeing & Disagreeing	Mi ne pensas, ke iu ajn malkonsentus	I don't think anyone would disagree.	誰も異論はないと思います。	我想这点大家都会同意。	아무도 이견이 없을 것 같아요.	Не думаю, что кто-нибудь не согласился бы.
490	General Conversation	Agreeing & Disagreeing	Mi ne povas kontraŭdiri tion	I can't argue with that.	それには異論はありません。	这我无可反驳。	그 말에는 반박할 수 없어요.	Я не могу с этим поспорить.
491	General Conversation	Agreeing & Disagreeing	Mi vidas nenian malhelpon	I can't see any objection.	特に異論はありません。	我没有任何异议。	저는 아무런 이의가 없습니다.	Я не вижу каких-либо препятствий.
492	General Conversation	Agreeing & Disagreeing	Mi ne povas diri, ke mi kunhavas vian vidpunkton	I can't say that I share your view.	あなたのご意見には賛同しかねます。	我不能说我同意你的看法。	저는 당신의 의견에 동의한다고 말할 수는 없어요.	Не могу сказать, что я разделяю вашу точку зрения.
