PhraseID	TopicName_EN	SubtopicName_EN	Esperanto	English	日本語	中文	한국어	Русский язык
2556	Other Transport	Taxi	Mi ŝatus eliri ĉi tie, mi petas	I'd like to get off here, please.	ここで降ろしていただけますか。	我想在这里下车，谢谢。	여기서 내릴게요.	Я бы хотел выйти здесь, пожалуйста.
2557	Other Transport	Taxi	Ĉu vi povus konduki min al la urbocentro?	Could you take me to the city centre?	市の中心部まで連れて行っていただけますか？	你能带我去市中心吗？	시내로 데려다 주실 수 있나요?	Не могли бы вы отвезти меня в центр города?
2558	Other Transport	Taxi	Ĉu vi povus veni preni min ĉi tie je la sesa?	Could you pick me up here at six o'clock?	6時にここまで迎えに来てくれますか？	你能六点来这里接我吗？	여섯 시에 여기로 저를 데리러 와주실 수 있나요?	Не могли бы вы забрать меня отсюда в шесть часов?
2559	Other Transport	Taxi	Kiom kostas veturi al la flughaveno?	How much will it cost to go to the airport?	空港まで行くのにいくらかかりますか？	去机场大概要多少钱？	공항까지 가는 데 비용이 얼마나 들까요?	Сколько стоит доехать до аэропорта?
2560	Other Transport	Taxi	Vi diris, ke tio kostos 50 aŭstraliajn dolarojn	You said it would cost 50 Australian dollars.	50オーストラリアドルかかるとおっしゃっていましたよね。	你说过这要花费50澳元。	50호주 달러가 든다고 하셨잖아요.	Вы сказали, что будет стоить 50 австралийских долларов.
2561	Other Transport	Taxi	Bonvolu ŝalti la taksometron	Please switch the meter on.	メーターの電源を入れてください。	请把计价器打开。	계량기를 켜 주세요.	Пожалуйста, включите таксометр.
2562	Other Transport	Taxi	Bonvolu halti ĉe la angulo	Please stop at the corner.	角で止まってください。	请在路口停车。	모퉁이에서 멈춰 주세요.	Пожалуйста, остановите на углу.
2563	Other Transport	Taxi	Estas nokta krompago	There's a night-time surcharge.	深夜料金がかかります。	夜间会收取附加费。	야간 할증이 있습니다.	Есть доплата за вызов в ночное время.
2564	Other Transport	Taxi	Ĉu vi kontraŭas, se mi malfermos la fenestron?	Do you mind if I open the window?	窓を開けてもよろしいですか？	你介意我把窗户打开吗？	창문을 열어도 괜찮을까요?	Вы не против, если я открою окно?
2565	Other Transport	Taxi	Ĉu vi povus atendi ĉi tie momenton?	Could you wait here for a moment?	少々こちらでお待ちいただけますか。	您能在这里稍等一下吗？	잠시만 여기에서 기다려 주시겠어요?	Не могли бы вы подождать здесь минутку?
2566	Other Transport	Taxi	Ĉu ni povus halti ĉe bankaŭtomato?	Could we stop at a cash machine?	ATMに寄ってもいいですか？	我们可以在自动取款机停一下吗？	현금자동입출금기에 잠깐 들를 수 있을까요?	Мы могли бы остановиться у банкомата?
2567	Other Transport	Ship	Savringo	Lifebelt	救命浮環	救生圈	구명환	Спасательный круг
2568	Other Transport	Ship	Savboato	Lifeboat	救命ボート	救生艇	구명보트	Спасательная шлюпка
2569	Other Transport	Ship	Mi marmalsanas	I'm seasick.	船酔いしました。	我晕船了。	저는 멀미가 나요.	У меня морская болезнь.
2570	Other Transport	Ship	Kie estas la kajo?	Where is the dock?	桟橋はどこですか？	码头在哪里？	부두가 어디에 있나요?	Где пристань?
