PhraseID	TopicName_EN	SubtopicName_EN	Esperanto	English	日本語	中文	한국어	Русский язык
4256	Services	At the Bank	Elprenu la karton	Remove card	カードをお取りください。	请取卡。	카드를 빼 주세요.	Заберите карту
4257	Services	At the Bank	Mia karto ne funkcias	My card doesn't work.	カードが使えません。	我的卡不能用。	제 카드가 작동하지 않아요.	Моя карта не работает.
4258	Services	At the Bank	Mi ŝatus aĉeti eŭrojn	I'd like to buy some euros.	ユーロをいくらか購入したいのですが。	我想买一些欧元。	유로화를 좀 사고 싶어요.	Я бы хотел купить евро.
4259	Services	At the Bank	Kie estas la plej proksima banko?	Where's the nearest bank?	一番近い銀行はどこですか。	最近的银行在哪里？	가장 가까운 은행이 어디에 있나요?	Где находится ближайший банк?
4260	Services	At the Bank	Kiam malfermiĝas la banko?	When does the bank open?	銀行は何時に開きますか。	银行几点开门？	은행은 언제 문을 여나요?	Когда открывается банк?
4261	Services	At the Bank	Mia karto estis ŝtelita	My card was stolen.	カードを盗まれました。	我的卡被盗了。	제 카드가 도난당했어요.	Мою карту украли.
4262	Services	At the Bank	Mi havas mian legitimilon	I've got my ID card.	身分証明書を持っています。	我有身份证。	신분증을 가지고 있어요.	У меня есть удостоверение личности.
4263	Services	At the Bank	Bonvolu plenigi ĉi tiun formularon	Please fill in this form.	この用紙にご記入ください。	请填写这份表格。	이 양식을 작성해 주세요.	Пожалуйста, заполните эту форму.
4264	Services	At the Bank	Kie mi subskribu?	Where do I sign?	どこに署名すればよろしいですか？	我在哪里签字？	어디에 서명하면 되나요?	Где мне расписаться?
4265	Services	At the Bank	Kie mi povas ŝanĝi monon?	Where can I change money?	両替はどこでできますか？	请问哪里可以兑换货币？	어디에서 환전할 수 있나요?	Где я могу обменять деньги?
4266	Services	At the Bank	Kia estas la kurzo?	What's the exchange rate?	為替レートはいくらですか？	汇率是多少？	환율이 어떻게 되나요?	Какой курс?
4267	Services	At the Bank	Kia estas la provizio?	What is the commission?	手数料はいくらですか？	佣金是多少？	수수료가 얼마인가요?	Какая комиссия?
4268	Services	At the Bank	Per dekoj, mi petas	In tens, please.	10単位の紙幣でお願いします。	请给我面额为10的纸币。	10단위 지폐로 주세요.	Десятками, пожалуйста.
4269	Services	At the Bank	Ĉu vi ŝatus kvitancon?	Would you like a receipt?	レシートはご入用ですか？	需要小票吗？	영수증 필요하신가요?	Вы бы хотели получить чек?
4270	Services	At the Bank	Ĉi tio estas falsa monbileto	This is a fake note.	これは偽札です。	这是一张假钞。	이것은 위조 지폐입니다.	Это фальшивая купюра.
4271	Services	At the Bank	Kie estas la bankaŭtomato?	Where's the cash machine?	ATMはどこですか？	自动取款机在哪里？	현금인출기가 어디에 있나요?	Где банкомат?
4272	Services	At the Bank	La bankaŭtomato estas tie	The cash machine is over there.	ATMはあちらにあります。	取款机在那边。	현금 인출기는 저쪽에 있어요.	Банкомат вон там.
4273	Services	At the Bank	Via kontantmono estas kalkulata	Your cash is being counted.	ただいま現金を数えています。	正在清点您的现金。	고객님의 현금을 세고 있습니다.	Идёт подсчёт банкнот.
4274	Services	At the Bank	Ĝis kioma horo la banko estas malfermita?	How late is the bank open?	銀行は何時まで開いていますか。	银行营业到几点？	은행은 몇 시까지 영업하나요?	До которого часа открыт банк?
4275	Services	At the Bank	Atendu malantaŭ la flava linio	Wait behind the yellow line.	黄色い線の後ろでお待ちください。	请在黄线后等候。	노란선 뒤에서 기다려 주세요.	Ждите за жёлтой линией.
4276	Services	At the Bank	Ĉu vi povus diri al mi mian saldon, mi petas?	Could you tell me my balance, please?	残高を教えていただけますか。	请问您能帮我查一下我的余额吗？	제 잔액을 알려주실 수 있나요?	Не могли бы вы сказать мой баланс счёта, пожалуйста?
