PhraseID	TopicName_EN	SubtopicName_EN	Esperanto	English	日本語	中文	한국어	Русский язык
256	Basic Sentences	Thanks	Mi vere ne scias kiel danki vin pro via subteno	I really don't know how to thank you for your support.	あなたのご支援に、どう感謝してよいかわかりません。	我真的不知道该如何感谢你的支持。	당신의 지원에 어떻게 감사드려야 할지 모르겠어요.	Я правда не знаю, как поблагодарить тебя за твою поддержку.
257	Basic Sentences	Thanks	Mi ŝatus danki vin ankaŭ nome de mia edzo	I would like to thank you on behalf of my husband too.	夫の分もあわせてお礼申し上げます。	我也想代表我丈夫向您表示感谢。	남편을 대신해서도 감사의 말씀을 전하고 싶어요.	Я бы также хотела поблагодарить вас от имени моего мужа.
258	Basic Sentences	Thanks	Estas honoro por mi ricevi ĉi tiun premion	I'm honoured to receive this award.	このような賞をいただき、大変光栄です。	很荣幸获得这个奖项。	이 상을 받게 되어 영광입니다.	Для меня честь получить эту награду.
259	Basic Sentences	Apologies	Pardonu min	I'm sorry.	申し訳ありません。	对不起。	죄송합니다.	Прости меня.
260	Basic Sentences	Apologies	Ĉio estas en ordo	That's all right.	大丈夫です。	没关系。	괜찮아요.	Всё в порядке.
261	Basic Sentences	Apologies	Pardonu!	Excuse me.	失礼します。	不好意思。	실례합니다.	Извините!
262	Basic Sentences	Apologies	Neniu problemo	No problem.	問題ありません。	没问题。	문제없어요.	Никаких проблем.
263	Basic Sentences	Apologies	Bonvolu pardoni min	Please forgive me.	どうかお許しください。	请原谅我。	용서해 주세요.	Пожалуйста, прости меня.
264	Basic Sentences	Apologies	Nenio grava!	Never mind!	気にしないで！	没关系！	신경 쓰지 마세요!	Ничего страшного!
265	Basic Sentences	Apologies	Pardonu, mi malfruas	Sorry I'm late.	遅れてしまい、申し訳ありません。	对不起，我来晚了。	늦어서 죄송해요.	Прости, я опаздываю.
266	Basic Sentences	Apologies	Pardonu, ke mi ĝenas vin	Sorry to bother you.	お忙しいところ失礼いたします。	不好意思打扰了。	불편을 드려 죄송합니다.	Извини, что беспокою.
267	Basic Sentences	Apologies	Ne zorgu, mi petas	Please don't worry.	どうかご心配なさらないでください。	请别担心。	걱정하지 마세요.	Пожалуйста, не волнуйся.
268	Basic Sentences	Apologies	Ne ofendiĝu	No offence.	気を悪くしないでください。	无意冒犯。	기분 나쁘게 들리지 않았으면 해요.	Не обижайтесь.
269	Basic Sentences	Apologies	Pardonu min	I apologise.	申し訳ありません。	对不起。	죄송합니다.	Прости.
270	Basic Sentences	Apologies	Nu, ni forgesu pri tio	Well, let's forget it.	まあ、もうその話はやめましょう。	算了吧。	음, 그냥 잊어버립시다.	Ну, давай забудем об этом.
271	Basic Sentences	Apologies	Pardonu pro la prokrasto	Sorry for the delay.	お待たせして申し訳ありません。	抱歉回复晚了。	늦어서 죄송합니다.	Извините за задержку.
272	Basic Sentences	Apologies	Pardonu, mi ne havas tempon	Sorry, I don't have time.	ごめんなさい、時間がありません。	对不起，我没有时间。	죄송하지만 시간이 없어요.	Извините, у меня нет времени.
273	Basic Sentences	Apologies	Pardonu, mi ne povas plu paroli	Sorry, I can't talk any longer.	ごめん、もうこれ以上話せないんだ。	抱歉，我不能再聊了。	죄송하지만 더 이상 대화할 수 없을 것 같아요.	Извините, я не могу больше говорить.
274	Basic Sentences	Apologies	Pardonu, nenio plu restas	Sorry, there is nothing left.	申し訳ありませんが、もう残っていません。	抱歉，已经没有剩下的了。	죄송하지만, 남아 있는 것이 없습니다.	Извини, больше ничего не осталось.
275	Basic Sentences	Apologies	Ĉu mi ĝenas vin?	Am I disturbing you?	お邪魔していませんか？	我打扰到你了吗？	제가 방해하고 있나요?	Я вам не помешаю?
276	Basic Sentences	Apologies	Mi ne tion celis	I didn't mean that.	そんなつもりじゃなかったんです。	我不是那个意思。	그런 뜻이 아니었어요.	Я не то имела в виду.
277	Basic Sentences	Apologies	Tio estas mia kulpo	That's my fault.	それは私のせいです。	这是我的错。	그건 제 잘못이에요.	Это моя вина.
278	Basic Sentences	Apologies	Mi petas pardonon	I beg your pardon.	申し訳ありません。	请您原谅。	실례합니다.	Прошу прощения.
279	Basic Sentences	Apologies	Ĉu mi povas ĝeni vin momenton?	May I bother you for a moment?	少しお時間をいただいてもよろしいでしょうか。	能打扰您一下吗？	잠시 시간 좀 내주실 수 있을까요?	Могу я вас на секунду побеспокоить?
280	Basic Sentences	Apologies	Pardonu, sed mi devas nun foriri	Sorry, but I've got to dash now.	ごめん、もう行かなきゃ。	不好意思，我现在得赶紧走了。	죄송하지만 이제 가봐야겠어요.	Прости, но сейчас мне нужно бежать.
281	Basic Sentences	Apologies	Pardonu, mi hazarde aŭdis vian konversacion	Sorry, I overheard your conversation.	申し訳ありません、お話が聞こえてしまいました。	不好意思，我无意中听到了你们的谈话。	죄송해요, 우연히 대화를 듣게 됐어요.	Извините, я случайно услышала ваш разговор.
282	Basic Sentences	Apologies	Ne estas kialo pardonpeti	There's no reason to apologise.	謝る必要はありません。	没必要道歉。	사과하실 필요 없어요.	Нет причин извиняться.
283	Basic Sentences	Apologies	Mi scias, ke vi estas ĉagrenita	I know you're upset.	あなたが怒っているのは分かっています。	我知道你很难过。	당신이 화가 난 걸 알아요.	Я знаю, ты расстроен.
284	Basic Sentences	Apologies	Mi bedaŭras, ke mi diris tion	I regret saying this.	こんなことを言ってしまって後悔しています。	我很后悔说了这句话。	이 말을 해서 후회해요.	Я сожалею, что сказал это.
285	Basic Sentences	Apologies	Estis senzorge de mia flanko	It was careless of me.	私の不注意でした。	是我太粗心了。	제가 부주의했어요.	Это было неосторожно с моей стороны.
286	Basic Sentences	Apologies	Mi timas, ke mi ne povas resti plu longe	I'm afraid I can't stay any longer.	申し訳ありませんが、これ以上は滞在できません。	恐怕我不能再待下去了。	더 이상 머무를 수 없을 것 같아요.	Боюсь, я не могу задержаться на подольше.
287	Basic Sentences	Apologies	Pardonu, sed ĝi estas la lasta	I'm sorry, but it is the last one.	申し訳ありませんが、これが最後です。	很抱歉，但这已经是最后一个了。	죄송하지만, 이번이 마지막입니다.	Извините, но это последний.
288	Basic Sentences	Apologies	Pardonu, ke mi devigis vin atendi	I am sorry to have kept you waiting.	お待たせして申し訳ありません。	抱歉让您久等了。	기다리게 해서 죄송합니다.	Извините, что заставила вас ждать.
