PhraseID	TopicName_EN	SubtopicName_EN	Esperanto	English	日本語	中文	한국어	Русский язык
556	General Conversation	Asking for & Giving Information	Kial vi diris tion?	Why did you say that?	どうしてそんなことを言ったのですか？	你为什么这么说？	왜 그렇게 말씀하셨나요?	Почему ты это сказал?
557	General Conversation	Asking for & Giving Information	Kial mi ne pensis pri tio?	Why didn't I think of that?	どうしてそれに気づかなかったんだろう？	我怎么没想到呢？	왜 나는 그 생각을 못 했을까?	Почему я об этом не подумал?
558	General Conversation	Asking for & Giving Information	Ĉu iu povas diri al mi la veron?	Can anyone tell me the truth?	誰か本当のことを教えてくれませんか？	谁能告诉我真相？	누구라도 진실을 말해줄 수 있나요?	Кто-нибудь может сказать мне правду?
559	General Conversation	Asking for & Giving Information	Kiam komenciĝas la cirkaj spektakloj?	When does the circus begin?	サーカスはいつ始まりますか？	马戏团什么时候开始？	서커스는 언제 시작하나요?	Когда начинаются цирковые представления?
560	General Conversation	Asking for & Giving Information	Ĉu vi scias, kiu inventis la radon?	Do you know who invented the wheel?	車輪を発明したのが誰かご存知ですか？	你知道是谁发明了轮子吗？	바퀴를 누가 발명했는지 알고 계신가요?	Ты знаешь, кто изобрёл колесо?
561	General Conversation	Expressing Feelings	Mi estas feliĉa	I'm happy.	うれしいです。	我很开心。	저는 행복해요.	Я счастлива.
562	General Conversation	Expressing Feelings	Mi estas trista	I'm sad.	悲しいです。	我很难过。	저는 슬퍼요.	Мне грустно.
563	General Conversation	Expressing Feelings	Mi estas malstreĉita	I'm relaxed.	リラックスしています。	我很放松。	저는 편안해요.	Я расслаблена.
564	General Conversation	Expressing Feelings	Mi estas laca	I'm tired.	疲れた。	我累了。	피곤해요.	Я устал.
565	General Conversation	Expressing Feelings	Mi malsatas	I am hungry.	お腹がすきました。	我饿了。	배가 고파요.	Я голодна.
566	General Conversation	Expressing Feelings	Mi soifas	I'm thirsty.	喉が渇いた。	我渴了。	목이 말라요.	Я хочу пить.
567	General Conversation	Expressing Feelings	Mi estas trankvila	I'm calm.	落ち着いています。	我很冷静。	저는 침착해요.	Я спокоен.
568	General Conversation	Expressing Feelings	Mi enuas	I'm bored.	退屈だな。	我觉得有点无聊。	심심해요.	Мне скучно.
569	General Conversation	Expressing Feelings	Mi estas optimisma	I'm optimistic.	私は楽観的です。	我很乐观。	저는 낙관적이에요.	Я оптимистична.
570	General Conversation	Expressing Feelings	Mi rezignas	I give up.	もう諦めます。	我放弃了。	포기할게요.	Я сдаюсь.
571	General Conversation	Expressing Feelings	Mi fartas bone	I feel fine.	元気です。	我感觉很好。	저는 괜찮아요.	Я чувствую себя хорошо.
572	General Conversation	Expressing Feelings	Al mi estas egale	I don't care.	気にしないよ。	我无所谓。	신경 쓰지 않아요.	Мне всё равно.
573	General Conversation	Expressing Feelings	Ho mia Dio!	Oh my God!	なんてこと！	天哪！	세상에!	О Боже мой!
574	General Conversation	Expressing Feelings	Kia domaĝo!	What a pity!	なんて残念なんでしょう。	太可惜了！	정말 안타깝네요!	Какая жалость!
575	General Conversation	Expressing Feelings	Mi estas surprizita	I'm surprised.	驚きました。	我很惊讶。	놀랐어요.	Я удивлён.
576	General Conversation	Expressing Feelings	Mi timas	I'm scared.	怖いです。	我害怕。	무서워요.	Я напугана.
577	General Conversation	Expressing Feelings	Mi estas ekscitita	I'm excited.	楽しみです。	我很期待。	기대돼요.	Я взволнован.
578	General Conversation	Expressing Feelings	Mi maltrankvilas	I'm worried.	心配しています。	我有点担心。	걱정돼요.	Я обеспокоен.
579	General Conversation	Expressing Feelings	Mi koleras	I'm angry.	腹が立っている。	我很生气。	화가 나요.	Я зол.
580	General Conversation	Expressing Feelings	Mi ne certas	I'm not sure.	よくわかりません。	我不太确定。	잘 모르겠어요.	Я не уверен.
581	General Conversation	Expressing Feelings	Mi hontas	I'm ashamed.	本当に恥ずかしいです。	我感到很羞愧。	창피해요.	Мне стыдно.
582	General Conversation	Expressing Feelings	Mi malamas vin	I hate you.	あなたのことが大嫌いです。	我讨厌你。	당신이 싫어요.	Я тебя ненавижу.
583	General Conversation	Expressing Feelings	Mia amiko estas ŝokita	My friend is shocked.	友人はとても驚いています。	我的朋友很震惊。	제 친구가 충격을 받았어요.	Мой друг шокирован.
584	General Conversation	Expressing Feelings	Ĉu vi ne ŝatas Laŭran?	Don't you like Laura?	ローラのこと、好きじゃないの？	你不喜欢劳拉吗？	로라를 좋아하지 않으세요?	Разве тебе не нравится Лаура?
585	General Conversation	Expressing Feelings	Jes, ŝi plaĉas al mi	Yes, I like her.	はい、彼女のことが好きです。	是的，我喜欢她。	네, 저는 그녀를 좋아해요.	Да, она мне нравится.
586	General Conversation	Expressing Feelings	Ni tiom fieras pri vi!	We're so proud of you!	あなたのことを本当に誇りに思います。	我们为你感到骄傲！	정말 자랑스러워요!	Мы так тобой гордимся!
587	General Conversation	Expressing Feelings	Kial vi ploras?	Why are you crying?	どうして泣いているの？	你怎么哭了？	왜 울고 있어요?	Почему ты плачешь?
588	General Conversation	Expressing Feelings	Mi bedaŭras tion aŭdi	Sorry to hear that.	それはお気の毒です。	很抱歉听到这个消息。	안타깝네요.	Жаль это слышать.
589	General Conversation	Expressing Feelings	Kia surprizo!	What a surprise!	なんて驚きなんだ！	真没想到！	정말 놀랍네요!	Вот так сюрприз!
590	General Conversation	Expressing Feelings	Kia malŝanco!	Bad luck!	運が悪かったね。	真倒霉！	운이 안 좋네요!	Вот не везёт!
591	General Conversation	Expressing Feelings	Mi estas motivita	I'm motivated.	やる気があります。	我很有动力。	저는 의욕이 넘쳐요.	Я вдохновлена.
592	General Conversation	Expressing Feelings	Mi estas elĉerpita	I'm exhausted.	もうくたくたです。	我累坏了。	정말 지쳤어요.	Я измождена.
593	General Conversation	Expressing Feelings	Mi estas konfuzita	I'm confused.	混乱しています。	我有点困惑。	혼란스러워요.	Я в замешательстве.
594	General Conversation	Expressing Feelings	Mi sentas min ĝenata	I'm embarrassed.	気恥ずかしいです。	我很尴尬。	창피해요.	Я стесняюсь.
595	General Conversation	Expressing Feelings	Mi estas nervoza	I am nervous.	緊張しています。	我有点紧张。	긴장돼요.	Я нервничаю.
596	General Conversation	Expressing Feelings	Mi estas en malbona humoro	I'm in a bad mood.	機嫌が悪いです。	我心情不好。	기분이 안 좋아요.	Я в плохом настроении.
