PhraseID	TopicName_EN	SubtopicName_EN	Esperanto	日本語	中文	한국어	Русский язык	English
2456	Other Transport	At the Train Station	Mi ŝatus pensiulan unudirektan bileton al Milano	ミラノまでのシニア用片道切符をお願いします。	我想要一张去米兰的老年人单程票。	밀라노행 노인 편도 승차권 한 장 주세요.	Я бы хотел пенсионный билет в один конец до Милана.	I'd like a senior citizens' single to Milan.
2457	Other Transport	At the Train Station	Mi ŝatus unuaklasan revenbileton al Talino	タリンまでの往復ファーストクラスをお願いします。	我想要一张去塔林的头等舱往返票。	탈린까지 일등석 왕복표로 부탁합니다.	Я бы хотела билет первого класса туда и обратно до Таллина.	I'd like a first class return to Tallinn.
2458	Other Transport	At the Train Station	Kiom longe validas revenbileto?	往復切符の有効期間はどれくらいですか。	往返票的有效期是多久？	왕복 티켓의 유효 기간은 얼마나 되나요?	Сколько времени действует билет туда и обратно?	How long is a return ticket good for?
2459	Other Transport	At the Train Station	Ĉu ĉi tio estas eksprestrajno aŭ loktrajno?	これは急行ですか、それとも各駅停車ですか？	这是快车还是普通车？	이 열차는 급행인가요, 아니면 일반 열차인가요?	Это экспресс или электричка?	Is this an express or a local train?
2460	Other Transport	At the Train Station	Ĉu la trajno faras iujn haltojn survoje?	途中で停車しますか？	这趟火车中途会停站吗？	기차가 가는 도중에 정차하는 역이 있나요?	Поезд делает какие-нибудь остановки по пути?	Does the train make any stops on the way?
2461	Other Transport	At the Train Station	Ĉu ĉi tiu estas la ĝusta kajo por Tajpeo?	台北にはこのプラットフォームで合っていますか？	这是台北的正确平台吗？	여기가 타이베이에 적합한 플랫폼인가요?	Это правильная платформа до Тайбэя?	Is this the right platform for Taipei?
2462	Other Transport	At the Train Station	Kajo 11 por la 10:22 al Varsovio	10時22分発ワルシャワ行きは11番ホームです。	开往华沙的10点22分列车，请在11号站台候车。	10시 22분 바르샤바행은 11번 플랫폼에서 출발합니다.	Платформа 11, поезд в 10:22 до Варшавы.	Platform 11 for 10.22 to Warsaw.
2463	Other Transport	At the Train Station	Mi ŝatus vojaĝkarton, mi petas	旅行用のカードをお願いします。	我想办一张交通卡。	여행 카드를 하나 주세요.	Я бы хотела проездной билет, пожалуйста.	I'd like a travel card, please.
2464	Other Transport	At the Train Station	Mi ŝatus meti 10 funtojn sur ĝin	そのカードに10ポンドチャージしたいです。	我想往卡里充10英镑。	그 카드에 10파운드를 충전하고 싶어요.	Я бы хотел положить на него 10 фунтов.	I'd like to put 10 pounds on it.
2465	Other Transport	At the Train Station	Mi ŝatus renovigi mian abonbileton, mi petas	シーズンチケットの更新をお願いします。	我想续订我的季票。	시즌권을 갱신하고 싶어요.	Я бы хотела продлить абонемент, пожалуйста.	I'd like to renew my season ticket, please.
2466	Other Transport	At the Train Station	Mi ne kontraŭas vojaĝi per trajno ĉiutage	毎日電車で通うのは気になりません。	我不介意每天坐火车出行。	저는 매일 기차로 이동하는 것이 괜찮아요.	Я не против ездить на поезде каждый день.	I don't mind travelling by train every day.
