Batch	StartID	EndID	Rows	Status	NewFixPhraseIDs	NewFixCells	Notes
1	156	255	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch01 re-audit); context-allowable variants retained
2	256	355	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch02 re-audit); context-allowable variants retained
3	356	455	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch03 re-audit); context-allowable variants retained
4	456	555	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch04 re-audit); context-allowable variants retained
5	556	655	100	DONE_PASS14_MANUAL	1	1	new in pass14(batch05 manual): PhraseID 637 JA role-reversal fixed (my-position alignment)
6	656	755	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch06 re-audit); context-allowable variants retained
7	756	855	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch07 re-audit); context-allowable variants retained
8	856	955	100	DONE_PASS14_MANUAL	1	1	new in pass14(batch08 manual): PhraseID 930 ZH elder-brother narrowing fixed
9	956	1055	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch09 re-audit); context-allowable variants retained
10	1056	1155	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch10 re-audit); context-allowable variants retained
11	1156	1255	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch11 re-audit); context-allowable variants retained
12	1256	1355	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch12 re-audit); context-allowable variants retained
13	1356	1455	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch13 re-audit); context-allowable variants retained
14	1456	1555	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch14 re-audit); context-allowable variants retained
15	1556	1655	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch15 re-audit); context-allowable variants retained
16	1656	1755	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch16 re-audit); context-allowable variants retained
17	1756	1855	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch17 re-audit); context-allowable variants retained
18	1856	1955	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch18 re-audit); context-allowable variants retained
19	1956	2055	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch19 re-audit); context-allowable variants retained
20	2056	2155	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch20 re-audit); context-allowable variants retained
21	2156	2255	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch21 re-audit); context-allowable variants retained
22	2256	2355	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch22 re-audit); context-allowable variants retained
23	2356	2455	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch23 re-audit); context-allowable variants retained
24	2456	2555	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch24 re-audit); context-allowable variants retained
25	2556	2655	100	DONE_PASS14_MANUAL	0	0	no clear semantic mismatch in pass14(batch25 re-audit); context-allowable variants retained
