PhraseID	TopicName_EN	SubtopicName_EN	Esperanto	日本語	中文	한국어	Русский язык	English
2056	Plane	Luggage	Mi havas unu manbagaĝon	手荷物が一つあります。	我有一件随身行李。	기내 수하물 한 개만 가지고 있습니다.	У меня одно место ручной клади.	I have got one piece of hand luggage.
2057	Plane	Luggage	Ĉu mi devas enregistri ĉi tion, aŭ ĉu mi povas kunporti ĝin?	これは預ける必要がありますか？それとも持ち込めますか？	这个需要托运还是可以随身携带？	이것을 맡겨야 하나요, 아니면 가지고 갈 수 있나요?	Мне нужно сдать её в багаж, или я могу взять её с собой?	Do I need to check this in or can I take it with me?
2058	Plane	Luggage	Ĝi estas tro granda por manbagaĝo	それは手荷物としては大きすぎます。	这个太大了，不能作为手提行李。	그것은 기내 반입 수하물로는 너무 큽니다.	Он слишком большой для ручной клади.	That's too large for a piece of hand luggage.
2059	Plane	Luggage	Kiom kostas la troa bagaĝo?	超過手荷物料金はいくらですか。	超重行李费是多少？	초과 수하물 요금이 얼마인가요?	Сколько нужно заплатить за перевес багажа?	How much is the excess luggage charge?
2060	Plane	Luggage	La kroma pago por troa bagaĝo estas 30 pundoj	超過手荷物料金として30ポンドがかかります。	超重行李需支付30英镑费用。	초과 수하물 요금은 30파운드입니다.	За перевес багажа доплата составляет 30 фунтов.	There's an excess luggage charge of 30 pounds.
2061	Plane	Luggage	Mi ne ricevis la bagaĝetikedon kiam mi registriĝis	チェックインの際にバッグタグを受け取りませんでした。	我办理值机时没有收到行李牌。	체크인할 때 가방 태그를 받지 못했어요.	Я не получил багажную бирку, когда регистрировался.	I didn't receive the bag tag when I checked in.
2062	Plane	Luggage	Ĝi estas fragila. Bonvolu porti ĝin singarde	壊れやすいので、運ぶ際はご注意ください。	它很易碎，请小心搬运。	깨지기 쉬우니 운반하실 때 조심해 주세요.	Это хрупкое. Пожалуйста, переносите осторожно.	It's fragile. Please be careful carrying it.
2063	Plane	Luggage	Viaj valizoj estos en la bagaĝ-ricevejo	お荷物は手荷物受取所にございます。	您的行李将在行李提取区。	고객님의 짐은 수하물 찾는 곳에 있습니다.	Ваши чемоданы будут в зале получения багажа.	Your bags will be in the baggage reclaim area.
2064	Plane	Luggage	Mia bagaĝo estas difektita kaj kelkaj aferoj mankas	荷物が壊れていて、いくつかの物がなくなっています。	我的行李坏了，而且有些东西丢了。	제 짐이 파손됐고 일부 물건이 없어졌어요.	Мой багаж повреждён, и некоторых вещей не хватает.	My luggage is broken and some things are missing.
2065	Plane	Luggage	Ĉu iu havis aliron al viaj valizoj dume?	この間にどなたかがお荷物に触れたり、中身にアクセスしたりしたことはありますか？	这段时间有人接触过您的行李吗？	그동안 다른 사람이 귀하의 가방에 접근한 적이 있습니까?	У кого-нибудь был доступ к вашим чемоданам за это время?	Has anyone had access to your bags in the meantime?
