Batch	StartID	EndID	Rows	Status	NewFixPhraseIDs	NewFixCells	Notes
1	156	255	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch01 re-audit); context-allowable variants retained
2	256	355	100	DONE_PASS13_MANUAL	1	1	new in pass13(batch02 manual): PhraseID 283 KO upset-vs-angry alignment
3	356	455	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch03 re-audit); context-allowable variants retained
4	456	555	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch04 re-audit); context-allowable variants retained
5	556	655	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch05 re-audit); context-allowable variants retained
6	656	755	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch06 re-audit); context-allowable variants retained
7	756	855	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch07 re-audit); context-allowable variants retained
8	856	955	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch08 re-audit); context-allowable variants retained
9	956	1055	100	DONE_PASS13_MANUAL	1	1	new in pass13(batch09 manual): PhraseID 986 KO age-neutral brother alignment
10	1056	1155	100	DONE_PASS13_MANUAL	2	2	new in pass13(batch10 manual): PhraseID 1059 KO brother age-neutral, PhraseID 1104 KO walking-vs-mountain-climbing alignment
11	1156	1255	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch11 re-audit); context-allowable variants retained
12	1256	1355	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch12 re-audit); context-allowable variants retained
13	1356	1455	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch13 re-audit); context-allowable variants retained
14	1456	1555	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch14 re-audit); context-allowable variants retained
15	1556	1655	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch15 re-audit); context-allowable variants retained
16	1656	1755	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch16 re-audit); context-allowable variants retained
17	1756	1855	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch17 re-audit); context-allowable variants retained
18	1856	1955	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch18 re-audit); context-allowable variants retained
19	1956	2055	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch19 re-audit); context-allowable variants retained
20	2056	2155	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch20 re-audit); context-allowable variants retained
21	2156	2255	100	DONE_PASS13_MANUAL	1	3	new in pass13(batch21 manual): PhraseID 2224 JA/ZH/KO wiper-operation alignment
22	2256	2355	100	DONE_PASS13_MANUAL	1	1	new in pass13(batch22 manual): PhraseID 2320 JA start-vs-move alignment
23	2356	2455	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch23 re-audit); context-allowable variants retained
24	2456	2555	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch24 re-audit); context-allowable variants retained
25	2556	2655	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch25 re-audit); context-allowable variants retained
26	2656	2755	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch26 re-audit); context-allowable variants retained
27	2756	2855	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch27 re-audit); context-allowable variants retained
28	2856	2955	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch28 re-audit); context-allowable variants retained
29	2956	3055	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch29 re-audit); context-allowable variants retained
30	3056	3155	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch30 re-audit); context-allowable variants retained
31	3156	3255	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch31 re-audit); context-allowable variants retained
32	3256	3355	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch32 re-audit); context-allowable variants retained
33	3356	3455	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch33 re-audit); context-allowable variants retained
34	3456	3555	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch34 re-audit); context-allowable variants retained
35	3556	3655	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch35 re-audit); context-allowable variants retained
36	3656	3755	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch36 re-audit); context-allowable variants retained
37	3756	3855	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch37 re-audit); context-allowable variants retained
38	3856	3955	100	DONE_PASS13_MANUAL	1	1	new in pass13(batch38 manual): PhraseID 3955 JA empty-vs-unsatisfied alignment
39	3956	4055	100	DONE_PASS13_MANUAL	1	1	new in pass13(batch39 manual): PhraseID 4049 JA sporty-vs-good-at-sports alignment
40	4056	4155	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch40 re-audit); context-allowable variants retained
41	4156	4255	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch41 re-audit); context-allowable variants retained
42	4256	4355	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch42 re-audit); context-allowable variants retained
43	4356	4455	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch43 re-audit); context-allowable variants retained
44	4456	4555	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch44 re-audit); context-allowable variants retained
45	4556	4655	100	DONE_PASS13_MANUAL	0	0	no clear semantic mismatch in pass13(batch45 re-audit); context-allowable variants retained
