Batch	PhraseID	TopicName_EN	SubtopicName_EN	Esperanto	Русский язык	Column	Old	New	Decision	Reason
2	322	Basic Sentences	Short Questions & Answers	Ne	Нет.	中文	不行。	不是。	FIX	EO/RU mean plain negation (No). ZH "不行" adds prohibition/inability nuance (not allowed/cannot).
2	324	Basic Sentences	Short Questions & Answers	Kio?	Что?	한국어	네?	뭐요?	FIX	EO/RU mean "What?"; KO "네?" corresponds more to "Pardon?/Yes?" than content question "what".
3	362	Basic Sentences	Short Questions & Answers	Ĉu vi certas?	Ты уверен?	日本語	本当に大丈夫ですか？	確かですか？	FIX	EO/EN/RU mean certainty check (Are you sure?); JA was shifted to condition/well-being check (Are you really okay?).
3	392	Basic Sentences	Congratulations	Gratulon pro via novnaskito	Поздравляю с новорождённым.	中文	恭喜你喜得贵子。	恭喜你喜获新生宝宝。	FIX	EO/EN indicate neutral newborn; ZH used male-specific wording (贵子), narrowing meaning.
4	387	Basic Sentences	Congratulations	Feliĉan Patrintagon!	С Днём матери!	한국어	어버이날 축하드려요!	어머니의 날 축하드려요!	FIX	EO/EN/RU specify Mother's Day; KO used Parents' Day (어버이날), expanding recipient scope.
5	598	General Conversation	Expressing Feelings	Mi sentas min perdita	Я растеряна.	한국어	길을 잃은 것 같아요.	혼란스럽고 막막해요.	FIX	EO/RU indicate emotional state (feeling lost/confused). KO was literal physical lost-way meaning.
9	965	Making Friends	Age, Nationality & Religion	Ĉu via frato estas pli aĝa ol vi?	Твой брат старше тебя?	日本語	あなたのお兄さんはあなたより年上ですか？	あなたの兄弟はあなたより年上ですか？	FIX	EO/RU ask whether brother is older; JA used lexical "older brother" (お兄さん), making the question tautological.
9	965	Making Friends	Age, Nationality & Religion	Ĉu via frato estas pli aĝa ol vi?	Твой брат старше тебя?	中文	你哥哥比你大吗？	你兄弟比你年长吗？	FIX	EO/RU ask whether brother is older; ZH used lexical "older brother" (哥哥), making the question tautological.
11	1235	Dating	On a Date	Mi enamiĝis al vi	Я в тебя влюблён.	日本語	あなたのことが好きです。	あなたに恋しています。	FIX	EO/RU mean "to be in love / fall in love"; JA old wording was weaker ("I like you") and under-translated intensity.
13	1431	Education	Student Life	Kiel mi povas plenigi la bibliotekan formularon?	Как мне заполнить библиотечный формуляр?	日本語	図書館の利用カードはどのように記入すればよいですか。	図書館の申込書はどのように記入すればよいですか。	FIX	EO/RU indicate a form (formularo/formulyar), not a card itself; JA shifted the object to library card.
