row	batch	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
901	901-1000	krom	{Ｂ}［前］～のほかは（～を除いて）; ～のほかにも（～を含めて）	除了	어떤 대상을 제외하고
902	901-1000	krono	{Ｂ}冠, 王冠; （栄誉の印としての）花冠, 栄冠; 王権, 王位; 冠状のもの / 【貨】クローネ（デンマーク・スウェーデンなどの通貨）	花冠，冕，王冠；冠状物；（货币）克朗	왕관；（화폐） 크로네
903	901-1000	kroĉi	{Ｂ}［他］掛ける, ひっ掛ける; 強くつかむ	（用钩）悬挂；抓住，固定	갈고리로 걸다, 매달다
904	901-1000	kruco	{Ｂ}【宗】十字架; はりつけ台; 十字形のもの; 《転》苦難	十字架，十字标记、符号、物品	십자가
905	901-1000	kruda	{Ｂ}生の, 未加工の; 粗野な, 荒々しい	生的，天然，未加工的，粗鲁	익히지 않은 날것의, 가공 전의
906	901-1000	kruela	{Ｂ}残酷な, むごい; 厳しい, 悲惨な	残忍，残暴；惨痛，悲惨	잔인한, 무자비한
907	901-1000	kruro	{Ｂ}（人・動物の）脚, 足（全体）; 【解】すね, 脚（膝から足首まで）, >>〜; 《転》脚部	小腿；腿	사람이나 동물의 다리, 특히 종아리
908	901-1000	krusto	{Ｂ}（パン菓子などの）硬い皮, 外皮; （一般に）物の硬い表面, 殻; （傷の）かさぶた	硬外皮，甲壳，外壳	딱딱하게 굳은 겉껍질, 껍데기
909	901-1000	kruta	{Ｂ}切り立った, 険しい	险峻，陡峭	가파르고 험한
910	901-1000	kruĉo	{Ｂ}（取っ手のついた）水差し, ポット, やかん	壶	손잡이 달린 물주전자
911	901-1000	kubo	{Ｂ}【数】立方体; 【数】立方; サイコロ, =ĵet〜; 立方形の物	立方体；（菜）丁；立方	정육면체 모양의 입체
912	901-1000	kubuto	{Ｂ}【解】ひじ; 《転》曲がり角, 屈曲部; 【機】エルボ（管）, Ｌ字継手	肘；弯头，弯管接头	팔꿈치; 굽은 부분; (기계) 엘보관
913	901-1000	kudri	{Ｂ}［他］縫う, 縫い合わせる	缝	꿰매다, 바느질하다
914	901-1000	kuglo	{Ｂ}弾丸, たま, 小銃弾	子弹，枪弹	총의 탄환, 총알
915	901-1000	kuiri	{Ｂ}［他］（加熱して）料理する, 調理する	煮，烧，烹调	가열해 조리하다
916	901-1000	kuko	{Ｂ}【菓】焼き菓子, ケーキ, パイなどのケーキ類	糕点	케이크, 파이 등의 구운 과자
917	901-1000	kukumo	{Ｂ}【植】キュウリ（種）; キュウリの果実	黄瓜；（尤指）黄瓜果实	오이, 오이 열매
918	901-1000	kukurbo	{Ｂ}【植】カボチャ（属）	南瓜属植物（南瓜、西葫芦等）	호박속 식물
919	901-1000	kulero	{Ｂ}【料】さじ, スプーン	汤匙	숟가락, 스푼
920	901-1000	kulpa	{Ｂ}罪のある, 過ちを犯した	有罪的，犯罪的	죄 있는, 잘못 있는
921	901-1000	kulturi	{Ｂ}［他］（才能などを）育てる; （人を）啓発する, 開化する; =kultivi（耕作する・栽培する）	耕种，栽培；培养	사람의 정신과 교양을 높이도록 기르다
922	901-1000	kun	{Ｂ}［前］～と共に, ～と一緒に; ～と, ～に対して; ～を連れて, ～を持って; ～と同時に, ～しながら	和…一起	함께, 같이; 동반·동시에 있음을 나타내는 말
923	901-1000	kuniklo	{Ｂ}【動】カイウサギ, イエウサギ（家兎）, >>〜	家兔	집에서 기르는 토끼
924	901-1000	kupono	{Ｂ}クーポン（券）, 切符の半券; 【経】利札（りさつ）	息票；联单	쿠폰, 반권, 【경제】이표
925	901-1000	kupro	{Ｂ}【化】銅（原子番号29の金属元素）	铜	금속 원소 구리
926	901-1000	kuraci	{Ｂ}［他］治療する, 治す; 《転》癒やす	治疗	병을 치료하다
927	901-1000	kuraĝa	{Ｂ}勇気ある, 勇敢な, 度胸のある, 元気な	勇敢	용감한, 씩씩한
928	901-1000	kurbo	{Ｂ}曲線, カーブ; 【学】（グラフの）曲線	曲线	곡선, 커브
929	901-1000	kuri	{Ｂ}［自］走る, 駆ける; 急いで行く; （水などが）流れる	跑	달리다, 빠르게 뛰어 움직이다
930	901-1000	kurioza	{Ｂ}珍しい, 奇妙な, 好奇心をそそる	稀奇，离奇，令人惊奇	진기하고 이상한
931	901-1000	kurso	{Ｂ}講座, 講習会, 課程; コース, 道順, 路線	课程，讲习班；航线	강좌나 강습 따위의 교육 과정
932	901-1000	kurteno	{Ｂ}カーテン, （劇場の）幕	帏，帐，幔，帘	커튼, 막
933	901-1000	kuseno	{Ｂ}クッション, 座布団	垫子，坐垫，靠垫	쿠션, 방석
934	901-1000	kutimo	{Ｂ}（個人の）習慣, 癖（くせ）; （社会の）習わし, 慣習	习惯，习俗	습관, 버릇
935	901-1000	kuvo	{Ｂ}桶（おけ）, たらい	盆，桶，缸	통, 대야
936	901-1000	kuzo	{Ｂ}いとこ（男）	堂（表）兄弟姐妹，表亲	남자 사촌
937	901-1000	kuŝi	{Ｂ}［自］横たわっている, （水平に）置かれている; （異性と）寝る; 《転》位置する, 存在する, ある	躺；（水平地）放置；位于，处于	누워 있다, （수평으로） 놓여 있다, 《전》위치하다
938	901-1000	kvadrato	{Ｂ}【数】正方形; 【数】平方, 二乗; 【軍】方陣	正方形；平方	정사각형；（수학） 제곱
939	901-1000	kvalito	{Ｂ}質, 品質, ><〜; 特性, 特質	特质，性质，质量，资质	사물이나 사람의 특성
940	901-1000	kvankam	{Ｂ}［接］（～だ）けれども, とはいえ, にもかかわらず	虽然，尽管	비록 …일지라도
941	901-1000	kvanto	{Ｂ}量, 数量, ><〜	量，数量	양, 수량
942	901-1000	kvar	{Ｂ}［数詞］四	四	넷
943	901-1000	kvartalo	{Ｂ}市区, 区画, 街区, 地区, >>urboparto	行政区，居民区，地区	도시의 한 구역, 동네
944	901-1000	kvazaŭ	{Ｂ}［副］まるで～のように, あたかも / {Ｂ}［接］まるで～のように	好象，仿佛	마치 …인 것처럼, 거의 비슷하게
945	901-1000	kverko	{Ｂ}【植】ナラ（楢）, カシ（樫）, オーク; 【植】コナラ属	栎属植物（栎树，橡树）	참나무, 오크나무
946	901-1000	kvieta	{Ｂ}静かな, おだやかな, おとなしい, >>〜	平静，寂静；安详；温和	조용하고 고요한, 평온한
947	901-1000	kvin	{Ｂ}［数詞］五	五	다섯
948	901-1000	la	{Ｂ}［定冠詞］（既知のもの・種全体を示す）	[定冠词]	정관사
949	901-1000	labori	{Ｂ}［自］働く, 労働する, 仕事する, 勤める; 勉強する; 精を出す; （機械が）作動する	工作，劳动	일하다, 노동하다
950	901-1000	laca	{Ｂ}疲れた, くたびれた; 《転》飽き飽きした	疲劳，累；厌倦	피곤하고 지친 상태
951	901-1000	lado	{Ｂ}金属の薄板, 金属板; ブリキ, トタン	金属薄板，金属片，铁片，铁皮	얇은 금속판, 철판
952	901-1000	lago	{Ｂ}湖	湖	호수
953	901-1000	lakto	{Ｂ}乳, 牛乳; 乳状の液	奶，乳汁	젖, 우유
954	901-1000	lama	{Ｂ}足（脚）の不自由な, びっこの; 《転》釣り合いの取れていない	跛，瘸	다리를 저는, 절름발이인
955	901-1000	lampo	{Ｂ}ランプ; 灯火; 電灯	灯	램프
956	901-1000	lando	{Ｂ}国, 国土; 地方, 地域; 祖国, 郷土	国家，国土	나라, 국토
957	901-1000	lango	{Ｂ}【解】舌; 【料】（牛などの）舌肉, タン; 舌状のもの; 《転》話しぶり, 弁舌	舌头；（食）舌肉；（转）口才	혀; (식용) 혀고기; (비유) 말솜씨
958	901-1000	lano	{Ｂ}羊毛, ウール, （ヤギなどの）柔毛; 毛糸; 羊毛状のもの	毛，毛绒，毛织物	양털, 양모
959	901-1000	lardo	{Ｂ}【料】豚の脂身, ラード; （古）ベーコン, >>bekono / >>porkograso	猪脂肪，猪油；（旧）培根	돼지 비계, 라드
960	901-1000	larmo	{Ｂ}涙; （液体の）一滴; しずく	眼泪	눈물
961	901-1000	larĝa	{Ｂ}幅の広い; 幅のある; 大幅な, ゆったりした	宽，宽阔	폭이 넓은, 너른
962	901-1000	lasi	{Ｂ}［他］（物を）放置する, 置いて去る, 手放す; （人を）放す, ほうっておく; ～するに任せる	留下，丢下，让，听任	그대로 내버려 두다, 방치하다
963	901-1000	lasta	{Ｂ}最後の, 最終の, 後者の; 最近の, 最新の, 直前の, この前の; 最下位の, 最低の	最后；最近	마지막의, 최후의
964	901-1000	lavi	{Ｂ}［他］洗う, 洗濯する, 洗浄する, 洗い落とす; 清める	洗	물로 씻거나 빨래하다
965	901-1000	laŭ	{Ｂ}［前］～に沿って, ～に従って, ～によって	沿着；按照	기준이나 원칙에 따라
966	901-1000	laŭdi	{Ｂ}［他］ほめる, たたえる, 称賛する	称赞，赞扬	칭찬하다
967	901-1000	laŭta	{Ｂ}大声の, 声高な, 高く響く, 騒がしい; 《転》派手な, 目立つ	大声，响亮	소리가 큰, 시끄러운
968	901-1000	leciono	{Ｂ}授業, けいこ, レッスン; 学課, 課業; （教科書の）課; 教訓, 戒め	课，功课	학교에서 듣는 수업이나 강의
