row	batch	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
1001	1001-1100	lojala	{Ｂ}忠義な, 忠実な; 誠実な, 公正な	忠诚，正直诚实	충성스럽고 성실한
1002	1001-1100	loko	{Ｂ}場所, 所; 部分, 個所; 地方, 土地; 《転》地位, 立場	地点，处所	장소, 사람이나 사물이 있는 곳
1003	1001-1100	longa	{Ｂ}（空間的・時間的に）長い; 【声】長音の	长	(길이·시간이) 긴
1004	1001-1100	loto	{Ｂ}くじ; 《転》運; =lotaĵo（くじの賞品）	签，阄	복권, 제비뽑기
1005	1001-1100	loĝi	{Ｂ}［自］住む, 居住する; 《広》滞在する（短期の宿泊はふつう gastejo/gasti）	居住	어떤 곳에 살다, 거주하다
1006	1001-1100	ludi	{Ｂ}［自］遊ぶ, たわむれる, 自由に動く; ［他］（ゲームなどを）する, （必要な）動作をする; 【楽】演奏する; （役割を）演じる	玩，游戏；演奏	놀다, (게임·악기·역할을) 하다
1007	1001-1100	lui	{Ｂ}［他］賃借する, （料金を払って）借りる	租用，租赁	세를 내고 빌리다, 임차하다
1008	1001-1100	lukso	{Ｂ}ぜいたく, 豪華, 華美 / 【理】ルクス（照度の単位）	奢侈；华丽，繁茂；（物理）勒克斯（照度单位）	사치, 호화로움；（물리） 럭스（조도 단위）
1009	1001-1100	lukti	{Ｂ}［自］格闘する; 【運】レスリングをする; 《転》闘う	搏斗，角斗；奋斗	격투하다, 씨름·레슬링을 하다
1010	1001-1100	luli	{Ｂ}［他］（寝かしつけるために）揺する; 揺らす; 《転》なだめる	摇孩子入睡；轻轻摆动（摇动）	아기를재우려고흔들다
1011	1001-1100	lumi	{Ｂ}［自］光っている, 光る; 《転》（顔などが）輝く	发光	스스로 빛나다
1012	1001-1100	lundo	{Ｂ}月曜日	星期一	월요일
1013	1001-1100	luno	{Ｂ}【天】月; 衛星, >>〜	月亮	지구를 도는 유일한 위성
1014	1001-1100	lupo	{Ｂ}【動】オオカミ（狼）（種）	狼	늑대
1015	1001-1100	magazeno	{Ｂ}（商品などの）倉庫; 大商店, 百貨店; （銃の）弾倉, （カメラの）マガジン	仓库，堆栈；百货公司	상품을 보관하는 창고
1016	1001-1100	maizo	{Ｂ}【植】トウモロコシ（種）; トウモロコシの実	玉米	옥수수(식물과 열매)
1017	1001-1100	majo	{Ｂ}５月	五月	5월
1018	1001-1100	majstro	{Ｂ}巨匠, 大家; 【史】（ギルドの）親方; （敬称）大先生	师傅；专家，大师	어떤 분야의 대가, 거장
1019	1001-1100	maksimumo	{Ｂ}最大限, 最大量, 最高度, 最高値, 極限; 【数】最大, 極大, ><〜	最大量，最大数，最大限度	가능한 한도 가운데 가장 큼
1020	1001-1100	makulo	{Ｂ}しみ, よごれ; 斑点, 斑紋, ぶち; 《転》汚点	污点，瑕疵；斑点	얼룩, 반점
1021	1001-1100	mal-	{Ｂ}［接頭辞］（正反対・逆を示す）	反	정반대를 나타내는 접두사
1022	1001-1100	malgraŭ	{Ｂ}［前］～にもかかわらず, ～に反して	不管，不顾，无视	…에도 불구하고
1023	1001-1100	malica	{Ｂ}悪意の, 意地悪な, 邪悪な, 腹黒い	恶毒，恶意；邪恶，居心叵测	악의 있고 심술궂은
1024	1001-1100	mamo	{Ｂ}【解】乳房, ちぶさ	乳房	유방
1025	1001-1100	mandato	{Ｂ}委任; 委任状; （委任された）職務, 議席, 任期; 【商】為替	委托，委任，委托权；委任书；汇票，付款通知	위임, 위임장, 임기, 【상업】환어음
1026	1001-1100	maniero	{Ｂ}やり方, 仕方, 様式, 流儀	方法，作风；[~oj]礼貌，风俗	방법, 방식
1027	1001-1100	maniko	{Ｂ}【服】そで（袖）, たもと; 風見用吹流し	袖，袖口	옷의 소매
1028	1001-1100	manipuli	{Ｂ}［他］操作する, 操縦する, 扱う; 《転》あやつる	使用，操作，操纵	조종하다, 사람을 교묘히 다루다
1029	1001-1100	manki	{Ｂ}［自］欠けている, 不足している	缺少	부족하다, 모자라다
1030	1001-1100	mano	{Ｂ}手; 《転》筆跡; 【遊】（トランプの）持ち札	手	손, 손바닥
1031	1001-1100	mantelo	{Ｂ}【服】マント, 外套, コート, ケープ; 【建】マントルピース; 《転》覆い隠すもの	披风，斗篷；外套	망토, 외투
1032	1001-1100	manĝi	{Ｂ}［他］食べる; （虫が）食う; 常食とする; 《転》腐食する, むしばむ; 《転》むさぼる	吃	음식을 먹다
1033	1001-1100	mapo	{Ｂ}地図; 【数】写像	地图	지도
1034	1001-1100	mardo	{Ｂ}火曜日	星期二	화요일
1035	1001-1100	marko	{Ｂ}しるし（印）, 標識, マーク, 目印; コイン, チップ; 【商】商標, ブランド; 【運】スタートライン / 【貨】マルク（ドイツ）, =100 pfenigoj	记号；商标；（货币）马克	표시나 구분을 위해 쓰이는 기호, 표지；（화폐） 마르크
1036	1001-1100	maro	{Ｂ}海; （月面の）海; 《転》広大なもの	海	바다, 넓고 광대한 물
1037	1001-1100	martelo	{Ｂ}金槌（かなづち）, ハンマー, 槌（つち）; 【解】（中耳の）槌骨（つちこつ）, =maleo	锤子，榔头	못을 박거나 금속을 두드리는 망치
1038	1001-1100	marto	{Ｂ}３月	三月	3월
