row_index	column	before	after
500	Korean_Trans	견고한, 튼튼한	견고한, 튼튼한; (신체가) 건장한
502	Chinese_Trans	掘土，翻地；挖掘	掘，挖，发掘；（转）深挖（问题）
502	Korean_Trans	땅을 파다, 발굴하다	땅을 파다, 발굴하다; (비유) 문제를 파고들다
503	Korean_Trans	기둥, 말뚝, 표지말뚝	기둥, 말뚝; 표지주, 전봇대
505	Chinese_Trans	粉碎，打碎；摧毁，消灭	打碎，砸碎；（转）击溃，打垮
505	Korean_Trans	산산이 부수다	산산이 부수다; (비유) 격파하다, 짓밟다
509	Korean_Trans	문장, 【음악】악절, 프레이즈	문장; (비유) 미사여구; (음악) 악구, 프레이즈
513	Korean_Trans	신선한	신선한, 생생한; 새것의, 최신의
519	Korean_Trans	혹한, 얼 정도의 추위	혹한, 얼 정도의 추위; (비유) 섬뜩함, 냉랭함
536	Korean_Trans	보증하다, 책임지다	보증하다, 책임지다; 보호하다, 지키다
539	Korean_Trans	집이나 가게, 호텔 등에 오는 손님	손님, 내객; (호텔·식당 등의) 고객
540	Korean_Trans	신문, 잡지	신문, 잡지, 정기 간행물
544	Korean_Trans	공통 조상을 가진 종족이나 부족	종족, 씨족, 부족; 민족
551	Korean_Trans	칼, 검	칼, 검; (비유) 무력·권위의 상징
553	Korean_Trans	둥근 공 모양의 구체, 공	구체, 공; (당구·볼링) 공; (기계) 강구
554	Korean_Trans	삼키다	삼키다, 들이켜다; (비유) 탐욕스럽게 받아들이다
557	Korean_Trans	우아한, 품위 있는	우아한, 품위 있는; 날씬한
562	Korean_Trans	큰, 위대한	큰, 거대한, 강대한; 위대한
569	Korean_Trans	곡물	곡물, 곡식 알; 종자
573	Korean_Trans	땅, 토양	땅, 토양; 지반·바닥; (비유) 기초, 토대
581	Korean_Trans	대형 홀, 넓은 실내 공간	홀, 대강당; 시장의 큰 지붕 건물
590	Korean_Trans	방이나 건물을 덥게 하다	불을 때다; 방을 덥히다(난방하다)
593	Chinese_Trans	帮助	帮助，援助；有助于
593	Korean_Trans	돕다, 도와주다	돕다, 도와주다; 도움이 되다
595	Korean_Trans	풀, 목초	풀; 목초, 잔디; (식물) 초본
598	Korean_Trans	영웅, 이야기의 주인공	영웅; 이야기의 주인공; (신화) 반신
