idx	Esperanto	Column	Old	New	Reason
1316	pizo	Chinese_Trans	豌豆属植物	豌豆；（植）豌豆属植物	一般義（豆）を補完。
1326	plaĉi	Chinese_Trans	讨…喜欢	使…喜欢；讨…欢心	不自然表現を自然化。
1328	plekti	Chinese_Trans	编，编织，编造	编，编织，编结	誤解を招く語（编造）を是正。
1330	plendi	Chinese_Trans	诉苦，抱怨，告状	诉苦，抱怨，发牢骚；（法）提起民事诉讼	法的義を補完。
1330	plendi	Korean_Trans	불평하다, 불만을 털어놓다	불평하다, 불만을 호소하다; (법) 민사소송을 제기하다	法的義を補完。
1340	pluvo	Chinese_Trans	雨	雨；（转）如雨般落下之物	転義を補完。
1340	pluvo	Korean_Trans	하늘에서 내리는 비	비; (비유) 빗발치듯 쏟아지는 것	転義を補完。
1347	polvo	Chinese_Trans	灰尘，尘土	灰尘，尘土；粉末，微粒	粉末義を補完。
1347	polvo	Korean_Trans	먼지, 티끌	먼지, 티끌; 분말, 미세 입자	粉末義を補完。
1348	pomo	Chinese_Trans	苹果	苹果；（转）苹果形的东西	転義を補完。
1348	pomo	Korean_Trans	사과	사과; (비유) 사과 모양의 것	転義を補完。
1349	ponto	Chinese_Trans	桥；【海】驾驶台；【乐】琴马	桥；【海】驾驶台；【乐】琴马；（转）桥梁，纽带	転義を補完。
1349	ponto	Korean_Trans	다리, 【해운】선교, 【음악】줄받침	다리; 【해운】선교; 【음악】줄받침; (비유) 가교	転義を補完。
1350	popolo	Chinese_Trans	人民，平民	人民，国民；民众，平民	語義不足（国民）を補完。
1352	por	Chinese_Trans	为，为了，给	为，为了；给；对/对于；赞成	対応・賛成義を補完。
1352	por	Korean_Trans	목적이나 이익을 위한, ~에게 유리한	…을 위해; …에 대해/대응하여; …에 찬성하여	前置詞用法を補完。
1353	porcio	Chinese_Trans	一份	一份；分配额；（餐）一人份	語義不足（分け前/割当）を補完。
1353	porcio	Korean_Trans	몫, (음식의) 1인분	몫, 할당량; (음식) 1인분	語義不足（割当）を補完。
1356	porti	Chinese_Trans	携带；搬运，载	拿着，携带；搬运，运送；穿戴；承担（责任）；怀有（感情）	主要語義を補完。
1356	porti	Korean_Trans	운반하다, 지니다	운반하다, 지니다; 입고/착용하다; (책임 등을) 지다; (마음에) 품다	主要語義を補完。
1361	postuli	Chinese_Trans	要求	要求，请求；（事情）需要	「必要とする」義を補完。
1361	postuli	Korean_Trans	요구하다	요구하다; (사태가) 필요로 하다	「必要とする」義を補完。
1364	povi	Chinese_Trans	能；可以	能，能够；可以（许可）；也许，可能	可能・許可・推量を補完。
1364	povi	Korean_Trans	…할 수 있다, …할 능력이 있다	…할 수 있다; …해도 된다; …일지도 모른다	可能・許可・推量を補完。
1365	pozicio	Chinese_Trans	位置，姿势，阵地，社会地位	位置，立场，地位；姿势；（军）阵地	語義配置を自然化。
1365	pozicio	Korean_Trans	위치, 입장	위치, 입장, 지위; 자세; (군사) 진지	語義不足を補完。
1366	poŝo	Korean_Trans	옷에 붙은 호주머니	호주머니, 주머니; (비유) 지갑, 주머니 사정	転義を補完。
1369	praktiko	Chinese_Trans	实践，实际	实践，实行；实际运用	不明瞭語を自然化。
1380	preta	Chinese_Trans	准备好的	准备好的；随时可应对的；乐意…的	語義不足（即応/意欲）を補完。
1380	preta	Korean_Trans	준비가 된, 채비를 마친	준비가 된, 채비를 마친; 즉각 대응할 수 있는; 기꺼이 …할	語義不足（即応/意欲）を補完。
1382	pretendi	Korean_Trans	주장하다, 요구하다	요구하다, 주장하다; 자칭하다, 자부하다	自称義を補完。
1383	preter	Chinese_Trans	从…旁经过	从…旁经过；擦身而过，不停留	素通り義を補完。
1389	principo	Chinese_Trans	本原，起源；原理，原则	本原，起源；原理，原则；主义，行动方针	主義/方針義を補完。
1389	principo	Korean_Trans	원리, 원칙	원리, 원칙; 주의, 행동 방침	主義/方針義を補完。
1392	privata	Korean_Trans	사적인, 개인의	사적인, 개인의; 비공식의; 사유의	語義不足（非公式/私有）を補完。
1393	pro	Chinese_Trans	由于，因为	由于，因为；为了；作为…的代价/交换	交換・代価義を補完。
1393	pro	Korean_Trans	원인·이유를 나타냄	…때문에; …을 위해; …의 대가로/맞바꾸어	交換・代価義を補完。
