row_index	Esperanto	column	before	after
2010	-ul-	Chinese_Trans	[后缀] 表示具有某种特征的人或物	[后缀] 表示具有某种特征的人或动物
2019	agordi	Korean_Trans	조율하다; (무선) 동조하다; (컴퓨터) 설정하다; (기분을) 맞추다	조율하다; (무선) 동조하다; (컴퓨터) 설정하다; (기분·분위기를) 조성하다
2047	biskvito	Korean_Trans	비스킷, 쿠키, 건빵; 소성(素燒) 도자기	비스킷, 쿠키, 건빵; 초벌구이 도자기(비스크)
2052	burokrato	Chinese_Trans	官僚	官僚；（转）官僚主义者，墨守成规的官员
2052	burokrato	Korean_Trans	관료, 정부 관리	관료, 관리; (비유) 관료주의자, 융통성 없는 관리
2057	damaĝi	Korean_Trans	손해를 끼치다	손상시키다, 피해를 주다
2058	daŭri	Korean_Trans	계속되다, 오랫동안 지속하다	지속되다, 계속되다, 오래가다
2063	digno	Chinese_Trans	尊严，威严	尊严，威严；品位，自尊心
2066	diplomato	Chinese_Trans	外交官	外交官；（转）善于周旋的人
2066	diplomato	Korean_Trans	외교관	외교관; (비유) 외교 수완이 좋은 사람
2070	domaĝo	Korean_Trans	안타까운, 유감스러운 일	안타까운 일, 유감스러운 일
2072	drinki	Chinese_Trans	酗酒，痛饮	喝酒；酗酒，痛饮
2072	drinki	Korean_Trans	술을 많이 마시다, 과음하다	술을 마시다; 과음하다, 술에 빠지다
2073	ekologio	Korean_Trans	생태계와 환경을 연구하는 학문	생태학; (비유) 생태 환경
2075	ekskluziva	Chinese_Trans	排他的，独占的	排他的，独占的；除外的，不相容的
2075	ekskluziva	Korean_Trans	배타적인, 독점적인	배타적인, 독점적인; 제외한, 양립할 수 없는
2076	ekspreso	Chinese_Trans	快车；快递	快车；速递；急使
2084	enketo	Korean_Trans	조사, 설문조사	조사, 설문조사; 신문, 심문
