row	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
101	anekdoto	{Ｂ}逸話, ゴシップ, 奇聞; 小話	轶事，趣闻，小故事	재미있는 짧은 일화
102	angulo	{Ｂ}角（かど）, すみ; 【数】角（かく）	角；角落	모서리, 구석
103	animalo	{Ｂ}動物, ><〜	动物	동물
104	animo	{Ｂ}魂, 心; 生気; 【宗】霊	灵魂，精神	영혼, 마음
105	ankaŭ	{Ｂ}［副］～もまた	也	또한, …도
106	ankoraŭ	{Ｂ}［副］まだ; もっと	还，仍	아직, 여전히
107	anonci	{Ｂ}［他］予告する; 公告する	宣布，通告，公告	공식적으로 알리다
108	anstataŭ	{Ｂ}［前］～の代わりに / {Ｂ}［接］～する代わりに	代替（介词/连词）	대신, 대체하여（전치사/접속사）
109	antaŭ	{Ｂ}［前］（時間的・空間的に）～の前に	在…前面，在…以前	공간·시간상 앞에
110	anĝelo	{Ｂ}天使	安琪儿，天使	천사
111	aparato	{Ｂ}装置, 機械一式; 【解】器官; 【政】機関; 【情】装置, デバイス	一套装置，仪器；（解）器官；（政）机关	장치, 기계；（해부） 기관；（정치） 기구
112	aparta	{Ｂ}別の, 別々の; 特別の	单独的，个别的，分开的；特别的	별개의, 특별한
113	apartamento	{Ｂ}アパートメント, フラット（集合住宅内の一区画）	成套房间	아파트 한 세대
114	aparteni	{Ｂ}［自］～のものである; ～に所属する	属，属于	어떤 사람이나 단체에 속하다
115	apenaŭ	{Ｂ}［副］やっと, かろうじて; ほとんど～ない / {Ｂ}［接］～するや否や	至多；几乎不；刚…就…	겨우, 간신히
116	aperi	{Ｂ}［自］現われる, （刊行物が）出る	出现	나타나다, 출현하다
117	apetito	{Ｂ}食欲	食欲	식욕
118	aplaŭdi	{Ｂ}［他］拍手喝采（かっさい）する; 《転》称賛する	鼓掌，拍手称赞；赞同	손뼉쳐 칭찬하거나 환호하다
119	apliki	{Ｂ}［他］応用する, 適用する; 【理】（力を）作用させる	应用，实际运用；使用，采用	응용하다, 적용하다
120	apogi	{Ｂ}［他］支える, もたせかける; 《転》支持する	支撑着	지탱하다, 받쳐주다
121	apoteko	{Ｂ}薬局	药店，药房	약국
122	aprilo	{Ｂ}４月	四月	사월
123	aprobi	{Ｂ}［他］賛成する, 同意する; 是認する, 認可する	赞成，认可	찬성하고인정하며승인하다
124	apud	{Ｂ}［前］～のそばに	在…近旁	옆에, 가까이에
125	araneo	{Ｂ}【動】クモ（蜘蛛）	蜘蛛属动物	거미
126	aranĝi	{Ｂ}［他］整える, 整頓する; 手配する; 【楽】編曲する; 【劇】脚色する	整理，布置；安排	정리하고 필요한 준비를 하다
127	arbitra	{Ｂ}任意の, 勝手気ままな	任性，专横	제멋대로의
128	arbo	{Ｂ}木, 樹木; 【植】高木	树	나무, 수목
129	arko	{Ｂ}弓形; 弓, =paf〜; 【数】弧; 【建】アーチ; 【理】電弧, =lum〜; 【解】弓	弧，拱形物；弓；[物] 电弧	활, 활 모양; (수학) 호; (건축) 아치; (물리) 전호
130	armeo	{Ｂ}軍隊; ～軍; 《転》大群	军队	국가의 조직된 군대
131	armi	{Ｂ}［他］武装させる; 装甲する	武装，加固	무장시키다
132	artikolo	{Ｂ}記事; 条項; 【法】（法令の）条, >>paragrafo; 【Ｇ】冠詞	冠词；文章；条款	기사; 조항; (문법) 관사
133	arto	{Ｂ}技術, ～術; 芸術; （自然に対して）人工	技艺；艺术	예술
134	arĝento	{Ｂ}銀; 【遊】（将棋の）銀将	银	은(金속)
135	asekuri	{Ｂ}［他］保険をかける	保险；担保，保障	보험에 들다
136	aserti	{Ｂ}［他］断言する, 主張する	断言，断定	단언·주장하다
137	asocio	{Ｂ}協会, 結社; 結合, 連合	协会，联合会，社团	협회
138	aspekti	{Ｂ}［自］見える	像是，貌似，显得	처럼 보이다
139	ataki	{Ｂ}［他］攻撃する; 襲う	进攻，袭击	공격하다, 습격하다
140	atendi	{Ｂ}［他］待つ; 期待する	等待；预料；期待	기다리다
141	atenta	{Ｂ}注意深い	注意的，留心的	주의깊은
142	atesti	{Ｂ}［他］証言する, 証明する	证明，证实，作证	증언하다
143	atingi	{Ｂ}［他］着く, 届く, 到達する	到达，达到；做到	어떤 지점에 도달하다
144	atomo	{Ｂ}【理】原子; 【哲】アトム; 《転》微小物, 微塵	原子	물질을 이루는 최소 단위, 원자
145	avara	{Ｂ}欲の深い, けちな	吝啬，贪婪	인색한, 욕심 많은
146	aventuro	{Ｂ}冒険; 不意の出来事	奇遇；冒险	모험, 뜻밖의 사건
147	avenuo	{Ｂ}並木道, アベニュー; 大通り	林荫大道	가로수 늘어선 큰길
148	averti	{Ｂ}［他］警告する, 注意を促す, 予告する	警告，提醒，劝阻	위험을 미리 알려 경고하다
149	avida	{Ｂ}渇望している; むさぼるような	渴望，热望	탐욕스러운, 갈망하는
150	avo	{Ｂ}祖父; おじいさん	（外）祖父	할아버지
151	azeno	{Ｂ}【動】ロバ; 《転》愚か者	驴	당나귀
152	aĉeti	{Ｂ}［他］買う, 購入する; =〜（買収する）	买	사다, 구입하다
153	aĝo	{Ｂ}年齢, 歳	年龄；时代，时期	나이, 연령
154	aŭ	{Ｂ}［接］または, あるいは	或者，还是	또는, 혹은
155	aŭdi	{Ｂ}［他］聞く; 聞こえる	听见	소리를 듣다
156	aŭgusto	{Ｂ}８月	八月	팔월
157	aŭskulti	{Ｂ}［他］聴く, 耳を傾ける, 傾聴する	听	주의해서 듣다, 경청하다
158	aŭto	{Ｂ}自動車, =〜mobilo	汽车	자동차
159	aŭtobuso	{Ｂ}バス	公共汽车	버스
