row	esperanto	column	verdict	status	before	after
901	krom	Chinese_Trans	optional_medium	applied	除了	除了…以外；此外，还有
901	krom	Korean_Trans	optional_medium	applied	어떤 대상을 제외하고	…을 제외하고; …외에도, 게다가
902	krono	Korean_Trans	optional_low	applied	왕관；（화폐） 크로네	왕관, 화관; 왕권, 왕위; (화폐) 크로네
903	kroĉi	Korean_Trans	optional_low	applied	갈고리로 걸다, 매달다	걸다, 매달다; 갈고리로 고정하다; 꽉 붙잡다
904	kruco	Korean_Trans	optional_medium	applied	십자가	십자가; 십자형의 것; (비유) 고난
905	kruda	Korean_Trans	optional_low	applied	익히지 않은 날것의, 가공 전의	날것의, 미가공의; 거친, 조야한
908	krusto	Korean_Trans	optional_low	applied	딱딱하게 굳은 겉껍질, 껍데기	딱딱한 껍질, 표면; (상처의) 딱지
921	kulturi	Korean_Trans	optional_low	applied	사람의 정신과 교양을 높이도록 기르다	교양·재능을 기르다; 계몽하다; (=kultivi) 재배하다
924	kupono	Chinese_Trans	optional_low	applied	息票；联单	优惠券，票券存根；（经）息票
931	kurso	Korean_Trans	optional_medium	applied	강좌나 강습 따위의 교육 과정	강좌, 강습, 과정; 코스, 노선, 항로
939	kvalito	Korean_Trans	optional_low	applied	사물이나 사람의 특성	질, 품질; 특성, 자질
949	labori	Chinese_Trans	optional_low	applied	工作，劳动	工作，劳动；学习；（机器）运转
949	labori	Korean_Trans	optional_low	applied	일하다, 노동하다	일하다, 노동하다; 공부하다; (기계가) 작동하다
950	laca	Korean_Trans	optional_low	applied	피곤하고 지친 상태	피곤하고 지친; (비유) 싫증 난
953	lakto	Korean_Trans	optional_low	applied	젖, 우유	젖, 우유; 유액(젖빛 액체)
963	lasta	Chinese_Trans	optional_low	applied	最后；最近	最后的；最近的；（排名）最末的
963	lasta	Korean_Trans	optional_low	applied	마지막의, 최후의	마지막의, 최종의; 최근의; 최하위의
965	laŭ	Korean_Trans	optional_medium	applied	기준이나 원칙에 따라	…을 따라; …에 따라; …에 의하여
967	laŭta	Korean_Trans	optional_low	applied	소리가 큰, 시끄러운	소리가 큰, 시끄러운; (비유) 요란한, 눈에 띄는
968	leciono	Korean_Trans	optional_medium	applied	학교에서 듣는 수업이나 강의	수업, 레슨, 과; 교훈, 가르침
973	leki	Korean_Trans	optional_low	applied	혀로 핥다	핥다; (비유) 아첨하다
977	lerta	Korean_Trans	optional_low	applied	솜씨 좋고 능숙한	능숙한, 솜씨 좋은; 민첩한
979	levi	Korean_Trans	optional_low	applied	들어 올려 위로 높이다	들어 올리다; 세우다, 일으키다; (비유) 높이다
980	leĝo	Korean_Trans	optional_low	applied	국가가 정한 강제력 있는 법이나 규범	법률, 법규; 규범, 계율; (과학) 법칙
985	lifto	Korean_Trans	optional_low	applied	사람을 층간에 나르는 승강기	엘리베이터, 승강기; (해양) 돛대 줄(리프트)
986	ligi	Korean_Trans	optional_low	applied	묶다, 연결하다	묶다, 연결하다; 결속시키다; 관련짓다
988	lilio	Korean_Trans	optional_low	applied	백합속식물	백합속 식물
989	limo	Korean_Trans	optional_medium	applied	경계선	경계, 국경; 한계, 한도; 기한
992	lipo	Korean_Trans	optional_low	applied	입술	입술; (식물) 순판
995	litero	Chinese_Trans	optional_medium	applied	字母	文字，字母；（印）活字；字句，文面
998	liveri	Korean_Trans	optional_low	applied	물건을 배달하거나 인도하다	배달하다, 인도하다; 공급하다
1000	logiko	Korean_Trans	optional_low	applied	논리, 사물의 이치	논리; 논리학; 이치, 필연적 귀결
