row_index	column	before	after
1905	Korean_Trans	사냥하다	사냥하다; (비유) 추구하다, 뒤쫓다
1907	Korean_Trans	가장 중요하거나 우두머리	주요·우두머리를 나타내는 접두사
1913	Korean_Trans	물이나 자원을 떠서 얻다	물을 퍼 올리다, 떠내다; (비유) 끌어내다
1931	Chinese_Trans	（花）园	花园，庭园
1932	Chinese_Trans	孪生子（双胞胎）之一	双胞胎，孪生儿
1938	Chinese_Trans	它	它；（不分性别的幼儿）其
1946	Korean_Trans	물건을 팔로 힘껏 던지다	던지다, 내던지다; 흩뿌리다
1950	Chinese_Trans	绵羊	绵羊；（转）像羊一样顺从的人
1953	Chinese_Trans	机会，时机	机会，时机；可能性，胜算
1957	Korean_Trans	액체 위에 생기는 거품	거품; (비유) 덧없는 것
1966	Korean_Trans	바르다, 칠하다	바르다, 칠하다; (비유) 매수하다
1967	Chinese_Trans	绳	绳，绳索；（数）弦
1967	Korean_Trans	밧줄, 끈	밧줄, 끈; (수학) 현
1970	Chinese_Trans	推，推动	推，推动；推移，滑动；推入，塞入
1972	Korean_Trans	액체가 세차게 분출하다	분출하다, 뿜어 나오다; (비유) 갑자기 나타나다
1982	Korean_Trans	계단의 단, 비유적으로는 단계	계단의 단; (탈것의) 발판; (비유) 단계
1987	Chinese_Trans	膨胀，肿胀，充满	膨胀，肿胀；（过度）增大；（河水）上涨
1987	Korean_Trans	부피나 살이 부풀어 붓고 팽창하다	부풀다, 붓다, 팽창하다; (과도하게) 커지다; (강물이) 불어나다
1988	Chinese_Trans	汗	汗；（转）渗出的液体
1988	Korean_Trans	땀	땀; (비유) 배어 나온 것
