row_index	column	before	after
2806	Korean_Trans	가슴, 품	가슴, 품; 내부
2812	Chinese_Trans	鸣响，铿锵声	响声，音色
2812	Korean_Trans	울리는 소리	울림, 울리는 소리; 음색
2821	Korean_Trans	도장, 각인	각인, 낙인; 특징
2831	Korean_Trans	증보, 부록	보충, 증보; 부록
2836	Chinese_Trans	帷幔，裱墙物；挂毯，挂毡	墙纸；挂毯，壁毯
2836	Korean_Trans	장식 벽걸이, 태피스트리	벽지; 태피스트리(장식 벽걸이)
2837	Chinese_Trans	适用的，胜任的，合格的	适当的，有用的，胜任的
2837	Korean_Trans	알맞은	알맞은, 적합한; 쓸모 있는
2844	Korean_Trans	테라스, 평지붕	테라스; 대지형 평탄면
2861	Korean_Trans	허영심 많은	허영심 많은; 헛된, 공허한
2865	Korean_Trans	회초리	채찍; 잔가지
2877	Korean_Trans	독수리	대머리수리류(독수리과 맹금류)
2889	Korean_Trans	통나무, 장작	통나무; (비유) 굼뜬 사람
