row	esperanto	flags	Japanese_Trans	Chinese_Trans	Korean_Trans	score_zh	score_ko
502	forĝi	scope_ko:7	{Ｂ}［他］鍛える, 鍛造する; 《転》鍛錬する, 鍛え上げる	锻打，锻造	쇠를 두들겨 모양을 만들다	0	7
508	frapi	scope_zh:8|scope_ko:8	{Ｂ}［他］たたく, 打つ; たたいて音を出す; はっとさせる, 驚かす	敲打，拍打	세게 치거나 두드려 충격 주다	8	8
512	fremda	scope_ko:8	{Ｂ}異国の, 他国の; 見知らぬ, 見慣れない; 無縁の, よそ事の	外国的；陌生	외국의	0	8
519	fronto	scope_ko:8	{Ｂ}正面, 前面; 【軍】最前線; 戦線; 【気】前線	前线；阵线；前面，正面	정면, 앞부분	0	8
522	frukto	balanced	{Ｂ}【植】果実, 実（み）, >>drupo, >>〜, >>〜; くだもの; 《転》成果, 結果	果实；水果；（转）成果	과일, 열매; (비유) 성과	2	2
524	fulmo	scope_zh:6|scope_ko:6	{Ｂ}【気】雷（かみなり）; 稲妻, 雷光; 《転》ひらめき	闪电	번개	6	6
525	fumo	scope_zh:6|scope_ko:6	{Ｂ}煙, 湯気; 《転》（煙のように）はかないもの	烟	연기	6	6
527	fundo	scope_ko:6	{Ｂ}底; 奥; 背景; 《転》どん底	底，深处，底部	밑바닥, 가장 깊은 곳	0	6
528	funebro	scope_ko:6	{Ｂ}死別の悲しみ, 哀悼; 喪, 喪服, 喪章, 喪中	哀悼；丧，服丧	죽음을 애도하는 슬픔	0	6
530	funkcio	scope_ko:8	{Ｂ}職務, 役目; 機能, 作用; 【数】関数; 【情】関数	职能，职务；作用，功能；函数	기능이나 역할	0	8
536	ganto	style_ko:5|scope_ko:5	{Ｂ}手袋; 【運】（野球の）グローブ	（分指的）手套	손가락끼우는장갑	0	5
539	gaso	balanced	{Ｂ}ガス, 燃料ガス; 【化】気体, >>〜, >>〜; 【軍】毒ガス	气体，可燃气；胃气；毒气	가스, 기체 연료; (화학) 기체; (군사) 독가스	2	2
543	generacio	scope_ko:8	{Ｂ}世代, 同時代の人々; 【生】世代	代，世代，一代人	동시대의 사람들	0	8
544	genio	scope_ko:6	{Ｂ}天才, 天分; 【神】守護神	守护神；天才，天资	천재	0	6
551	glata	scope_ko:5	{Ｂ}なめらかな, すべすべした; 《転》平らな; 《転》人当たりのよい	平滑；平坦；流畅	매끄러운, 평탄한	0	5
553	gliti	scope_zh:6|scope_ko:6	{Ｂ}［自］滑る, 滑走する, つるりと滑る; 《転》忍び込む, ひそかに進行する	滑；溜冰	미끄러지다	6	6
557	gorĝo	scope_zh:8|scope_ko:8	{Ｂ}のど, のど首; 【解】咽喉（いんこう）; 《転》峡谷, 山間の狭い道, 狭い湾口	喉，咽喉	목구멍, 인후	8	8
559	grado	balanced	{Ｂ}程度, 等級, 段階; 【単】（角度・温度などの）度; 【数】次数; 【法】親等	程度，等级；（角度/温度的）度；（数）次数；（法）亲等	정도, 등급, 단계；（각도/온도） 도；（수학） 차수；（법） 친등	1	1
565	graso	scope_zh:6|scope_ko:6	{Ｂ}脂肪; 油脂; 【機】グリース	脂肪	지방	6	6
566	grati	scope_ko:6	{Ｂ}［他］ひっかく, かき削る; かく, >>〜	抓，抓破，抓伤；挠，搔	손톱으로 긁어 상처를 내다	0	6
569	graveda	scope_ko:6	{Ｂ}妊娠した; 《転》はらんだ	怀孕的，妊娠的；孕育着…的，充满…的	임신한	0	6
572	griza	scope_ko:6	{Ｂ}灰色の, ねずみ色の; 白髪まじりの; どんよりした, 陰気な	灰色，花白	회색의	0	6
573	grumbli	style_ko:4	{Ｂ}［自］ぼやく, ぶつぶつ不平を言う, 愚痴をこぼす	嘟哝，低声抱怨	작게투덜거리며불평하다	0	4
575	gruo	balanced	{Ｂ}【鳥】ツル / 【機】クレーン, 起重機	鹤属鸟类；起重机，吊车	두루미과 새；기중기（크레인）	1	1
580	gvidi	scope_ko:6	{Ｂ}［他］案内する, 導く; 指導する, 手引きする	领路；引导	길을 안내하다	0	6
581	haki	scope_zh:6|scope_ko:6	{Ｂ}［他］（斧で）切る, たたき切る; （話などを）切れ切れにする; 傷める	砍	도끼로 찍어 베다	6	6
584	harmonio	word_choice_zh:9	{Ｂ}調和, ハーモニー; 【楽】和声	谐音，和音；和谐，融洽	화음, 조화	9	0
586	haveno	scope_zh:5|scope_ko:5	{Ｂ}港, 港湾; 《転》避難所, 休息所	港口	항구	5	5
588	hazardo	scope_ko:5	{Ｂ}偶然; 運	机遇，巧合；偶然，侥幸	우연한 일	0	5
589	haŭto	scope_zh:5|scope_ko:5	{Ｂ}（動物の）皮, 表皮; （人間の）皮膚, 肌; （果物の）皮; 《転》皮膜状のもの	皮，皮肤	사람이나 동물의 피부, 살갗	5	5
590	hejmo	scope_zh:6|scope_ko:6	{Ｂ}家庭, 自宅, わが家; （自宅に代わる）収容施設, ホーム; 《転》=〜loko	家	집, 가정	6	6
592	hela	balanced	{Ｂ}明るい, 晴れやかな, >>luma, >>brila; （色が）明るい, 薄い, >>〜; （音が）澄んだ	明亮，晴朗；浅，淡	밝은, 환한; (색) 옅은; (소리) 맑은	1	1
597	heredi	scope_ko:8	{Ｂ}［他］相続する; 《転》受け継ぐ; 遺伝として受け継ぐ	继承，承袭；受遗传	재산이나 권리를 상속받다	0	8
599	heroo	balanced	{Ｂ}英雄, 勇士; （物語の）主人公; 【神】（ギリシャ神話の）半神, 神人	英雄；主人公	영웅, 이야기의 주인공	1	1
