row_index	Esperanto	column	before	after
2602	horizontalo	Korean_Trans	수평선	수평선; 수평의 선
2609	instanco	Korean_Trans	법원의 심급 단계	법원의 심급; 결정 기관
2613	jugo	Korean_Trans	멍에, 속박	멍에; (비유) 속박, 압제
2637	kliniko	Korean_Trans	병원, 개인 진료소	진료소, 클리닉; 임상 강의
2645	komplezi	Chinese_Trans	献殷勤，讨好	亲切待人，给人方便；讨好，献殷勤
2645	komplezi	Korean_Trans	환심 사려 친절히 대하다	친절을 베풀다, 편의를 봐주다; 비위를 맞추다
2646	kompromiti	Chinese_Trans	连累，累及	使（名誉等）受损，危及；连累，牵连
2648	koncentri	Korean_Trans	집중시키다	집중시키다; 집결시키다; 농축하다
2650	konkordo	Korean_Trans	화합	일치, 조화, 화합
2657	kresto	Korean_Trans	닭볏, 새 볏	볏; 산마루, 꼭대기; (물결의) 마루
2661	laboratorio	Chinese_Trans	实验室，化验室，检验室	实验室；研究所
2661	laboratorio	Korean_Trans	실험실	실험실; 연구소
2671	laŭbo	Korean_Trans	정자	정자; 덩굴 시렁
2672	lesivo	Chinese_Trans	洗衣粉，洗涤剂	洗衣粉，洗涤剂；碱液，灰汁
2672	lesivo	Korean_Trans	세탁용 세제	세탁용 세제; 잿물(알칼리 용액)
2674	licenco	Korean_Trans	허가, 면허	허가, 면허; (문법·시어의) 파격
2692	melki	Korean_Trans	젖을 짜다	젖을 짜다; (비유) 착취하다, 쥐어짜다
