idx	Esperanto	Column	Old	New	Reason
1401	profito	Chinese_Trans	利益；利润	利益，利润；益处，好处	語義不足（利点）を補完。
1411	prononci	Chinese_Trans	发…的音	发音；读出（词语）	不自然表現を自然化。
1416	protesti	Chinese_Trans	抗议，提出异议，反对	抗议，提出异议，反对；（商）拒付（汇票）	商業義を補完。
1416	protesti	Korean_Trans	항의하거나 반대의 뜻을 나타내다	항의하거나 반대의 뜻을 나타내다; (상업) 어음 지급을 거절하다	商業義を補完。
1419	provinco	Chinese_Trans	省，省份	州，省（省份）；地方（相对首都）	語義不足（州/地方）を補完。
1424	publiko	Korean_Trans	공중, 일반 대중	공중, 일반 대중; 관중, 관객, 청중	語義不足（観客/聴衆）を補完。
1429	pumpi	Korean_Trans	펌프로 액체를 퍼올리다	펌프로 퍼올리거나 밀어 넣다	語義不足（送り込む）を補完。
1431	punkto	Chinese_Trans	点；地点；句点；要点；（数）点	点；地点；句点；要点；（数）点；（印）磅值；（计）点号（.）	印刷・情報義を補完。
1432	pupo	Chinese_Trans	洋娃娃，木偶	人偶，木偶；（虫）蛹；（转）傀儡	語義不足（蛹/転義）を補完。
1433	pura	Chinese_Trans	纯；干净	纯净的，纯粹的；干净的；（道德）纯洁的；（宗）洁净的	語義不足（道徳/宗教）を補完。
1436	puŝi	Korean_Trans	손이나 몸으로 밀어 움직이게 하다	손이나 몸으로 밀어 움직이게 하다; (비유) 어떤 상태·행동으로 몰아가다	転義を補完。
1441	rado	Chinese_Trans	轮子，车轮；齿轮状物	轮子，车轮；齿轮	語義を自然化。
1449	rano	Chinese_Trans	蛙属动物	青蛙；蛙类（总称）	一般義を補完。
1461	redukti	Chinese_Trans	减少，减小，缩小，降低；使成为；使还原	减少，减小，缩小，降低；使陷入（某状态）；（化）还原；（医）复位	語義を明確化。
1461	redukti	Korean_Trans	줄이다, 축소하다	줄이다, 축소하다; (나쁜 상태로) 몰아넣다; (화학) 환원하다; (의학) 정복하다	語義不足を補完。
1463	regi	Chinese_Trans	统治；治理；主宰	统治，支配；控制，抑制；（自）盛行，占优势	語義不足（制御/自動詞義）を補完。
1465	regno	Chinese_Trans	国，国家	国，国家；（生）界（分类）	生物学義を補完。
1465	regno	Korean_Trans	주권을 가진 국가, 나라	주권을 가진 국가, 나라; (생물 분류) 계(界)	生物学義を補完。
1468	rekta	Chinese_Trans	直，直达，直接	直的，笔直的；竖直的；直接的，直达的	語義不足（垂直）を補完。
1471	relo	Korean_Trans	철도 레일, 궤조	철도 레일, 궤조; 난간·울타리의 가로대	語義不足（横棒）を補完。
1473	rendevuo	Chinese_Trans	约会	约会，约定会面；（军）集合，集结	軍事義を補完。
1476	renversi	Korean_Trans	뒤엎다	뒤집다, 전복시키다; (비유) 질서·체제를 뒤엎다	語義不足（転覆/転義）を補完。
1481	resti	Korean_Trans	남다, 머무르다	남다, 머무르다; 그대로이다	語義不足（〜のままである）を補完。
1483	reto	Korean_Trans	그물; 망, 네트워크	그물; 망, 네트워크; (정보) 컴퓨터 네트워크	情報義を明確化。
1492	reĝo	Chinese_Trans	王，国王	王，国王；（转）王者；（牌・棋）王（K）	転義・遊戯義を補完。
1492	reĝo	Korean_Trans	나라를 다스리는 최고 지배자, 국왕	국왕; (비유) 으뜸가는 사람; (카드·체스) 킹	転義・遊戯義を補完。
1493	ricevi	Chinese_Trans	收到，得到，受	收到，得到；接受；遭受，经历；（通信）接收	語義不足（受容/経験/受信）を補完。
1493	ricevi	Korean_Trans	물건·편지·신호 등을 받다	받다, 수령하다; 받아들이다; 겪다; (통신) 수신하다	語義不足（受容/経験/受信）を補完。
1494	ridi	Chinese_Trans	笑	笑；讥笑；（事物）显得欢快	語義不足（あざ笑う/転義）を補完。
1494	ridi	Korean_Trans	웃다	웃다; 비웃다	語義不足（あざ笑う）を補完。
1498	rigida	Chinese_Trans	硬直的，挺的，僵硬的；执拗的，倔强的	僵硬的，生硬的；刻板的，不灵活的	語義を自然化（rigida=融通が利かない）。
