idx	Esperanto	Column	Old	New	Reason
1801	tusi	Chinese_Trans	咳嗽，咳嗽示意	咳嗽；清嗓子（示意）	語義を自然化（咳払い）
1801	tusi	Korean_Trans	기침하다	기침하다; 헛기침하다	語義不足（咳払い）を補完。
1807	universala	Korean_Trans	보편적이고 전 세계에 통용되는	보편적인; 전 세계의; 만능의, 범용의	語義不足（万能/汎用）を補完。
1811	urso	Chinese_Trans	熊属动物	熊；（动）熊属动物	一般義を補完。
1812	urĝi	Chinese_Trans	紧催，敦促；急忙，紧迫	紧催，敦促；（事态）紧迫，急需	不自然訳を自然化。
1812	urĝi	Korean_Trans	재촉하다, 급히 하도록 서두르다	재촉하다; (일이) 급박하다, 시급하다	自他両義を補完。
1821	valoro	Chinese_Trans	价值；值	价值，值；价格；有价值之物；（数）值	語義不足（価格/数学）を補完。
1821	valoro	Korean_Trans	가치, 값어치	가치, 값어치; 가격; (수학) 값	語義不足（価格/数学）を補完。
1831	vazo	Chinese_Trans	容器，花瓶	容器，花瓶；（解剖复合词）脉管	解剖義を補完。
1836	velo	Chinese_Trans	帆	帆；（解）帆（尤指软腭）	解剖義を補完。
1836	velo	Korean_Trans	배나 풍차에 다는 돛	돛; (해부) 연구개(입천장의 막)	解剖義を補完。
1842	vento	Chinese_Trans	风	风；（转）空虚之物	転義を補完。
1842	vento	Korean_Trans	대기 중 움직이는 공기	바람; (비유) 헛된 것	転義を補完。
1860	vico	Chinese_Trans	一列；队列	一列，队列；顺序，次序；轮次；（数）数列	語義不足（順番/数学）を補完。
1860	vico	Korean_Trans	줄, 차례	줄, 열; 순서, 차례; (수학) 수열	語義不足（列/数学）を補完。
1861	vidi	Chinese_Trans	看见	看见；会见；看出，意识到；目击	語義不足（会う/認識/目撃）を補完。
1861	vidi	Korean_Trans	눈으로 보다	보다, 보이다; 만나다; 알아차리다, 깨닫다; 목격하다	語義不足（会う/認識/目撃）を補完。
1872	viro	Chinese_Trans	男人；成年男子	男人，男性；成年男子；（生）雄性	語義不足（雄）を補完。
1872	viro	Korean_Trans	성인 남자	남자, 남성; 성인 남자; (생물) 수컷	語義不足（雄）を補完。
1875	vivi	Chinese_Trans	活着；生活，生存	活着，生存；生活，居住；以…为生；（动植物）生息；（转）留存于记忆	語義不足（住む/生計/生息/転義）を補完。
1875	vivi	Korean_Trans	생명이 있어 존재하며 살다	살다, 생존하다; 생활하다, 거주하다; 생계를 꾸리다; (동물) 서식하다; (비유) 기억에 남다	語義不足（住む/生計/生息/転義）を補完。
1876	vizaĝo	Chinese_Trans	面部，面孔	面部，面孔；脸色，神情；（转）正面，表面	語義不足（顔色/転義）を補完。
1876	vizaĝo	Korean_Trans	사람의 얼굴	얼굴; 안색, 표정; (비유) 정면, 표면	語義不足（顔色/転義）を補完。
1879	vojaĝi	Chinese_Trans	旅行	旅行；出差；（鸟等）迁徙；（俗）迷幻旅行	語義不足（出張/渡り/俗義）を補完。
1879	vojaĝi	Korean_Trans	여행하다	여행하다; 출장 가다; (새 등이) 이동·철새하다; (속어) 환각 상태가 되다	語義不足（出張/渡り/俗義）を補完。
1887	vorto	Chinese_Trans	词，话	词，单词；话语；（转）诺言	語義不足（単語/約束）を補完。
1887	vorto	Korean_Trans	낱말, 단어	낱말, 단어; 말; (비유) 약속	語義不足（言葉/約束）を補完。
1889	voĉo	Chinese_Trans	嗓音，话语，表决	声音，话语；票，表决权；（乐）声部；（语）语态	語義不足（票/楽/文法）を補完。
1889	voĉo	Korean_Trans	사람이 내는 목소리	목소리, 음성; 발언; 표, 의결권; (음악) 성부; (문법) 태	語義不足（票/楽/文法）を補完。
1890	vualo	Chinese_Trans	面纱，头巾	面纱，头巾；遮盖物；（转）掩饰之物	語義不足（覆い/転義）を補完。
1890	vualo	Korean_Trans	면사포, 베일	베일, 면사포; 덮개; (비유) 가리는 것	語義不足（覆い/転義）を補完。
1892	vundo	Chinese_Trans	伤，创伤，伤口	伤，创伤，伤口；（转）心灵创伤	語義不足（心の痛手）を補完。
1892	vundo	Korean_Trans	상처, 부상	상처, 부상; (비유) 마음의 상처	語義不足（心の痛手）を補完。
