row	esperanto	verdict	target_column	suggested_minimal	reason	flags	score_zh	score_ko	Japanese_Trans	Chinese_Trans	Korean_Trans
605	historio	optional_low	Korean_Trans	역사; 역사학; 유래, 경위; 이야기	KO가 역사의 기본義는 맞지만 story/경위 의미가 빠져 폭이 좁다.	scope_ko:6	0	6	{Ｂ}歴史; 歴史学; 沿革, 来歴; 画期的な事件; 物語, 話	历史；故事	역사, 지나온 과정
606	hodiaŭ	optional_low	Chinese_Trans|Korean_Trans	今天；现今，如今 / 오늘; 오늘날, 요즘	JAにある「今日では（現今）」義をZH/KOで最小補完。	scope_zh:6|scope_ko:6	6	6	{Ｂ}［副］きょう; 今日（こんにち）では	今天	오늘
609	honesta	optional_low	Chinese_Trans|Korean_Trans	正直，诚实；正当，公正 / 정직하고 성실한; 정당하고 공정한	ZH/KOとも誠実義はあるが、公正・正当義を補うとJAと整合。	scope_zh:6|scope_ko:6	6	6	{Ｂ}正直な, 誠実な, 実直な; 公正な, 正当な, まともな, いつわりのない	正直，诚实	정직하고 성실한
610	honoro	optional_low	Korean_Trans	명예, 영예; 존경, 경의	KOで「敬意・尊敬」義を最小補完。	scope_ko:5	0	5	{Ｂ}名誉, 面目; 栄誉, 光栄; 敬意, 尊敬	尊敬，荣誉	명예, 영예
613	horizonto	optional_medium	Korean_Trans	지평선, 수평선; (비유) 시야, 견문; (지질·토양) 층위	KOが地平線中心で比喩・専門義が不足。	scope_ko:8	0	8	{Ｂ}地平線, 水平線; 《転》（思考・知識などの）視界, 範囲; 【地質】層準; 土壌の層位	地平线，水平线；眼界，见识	지평선, 수평선
618	humana	optional_medium	Chinese_Trans	人道的，仁慈的；有人情味的	ZHが名詞寄りで品詞が揺れるため、形容詞として自然化。	word_choice_zh:8	8	0	{Ｂ}人間的な, 人情味のある, 人道的な	人道，仁爱，仁慈	인간적이고 인도적인
620	humila	optional_medium	Chinese_Trans	谦虚，谦逊；（文）卑微的	ZH現訳の「自卑」は語感が強すぎ、humilaの中核義とずれやすい。	word_choice_zh:9	9	0	{Ｂ}謙虚な, 控えめな; 卑下した	自卑，谦逊	겸손한, 겸허한
621	humoro	keep	-	-	ZH/KOとも気質・気分の中心義を保持している。	balanced	1	1	{Ｂ}気質; 気分, 機嫌; 《古》（人の性格を左右するとされた）体液（ユーモアを表す別語とは区別）	性情，情绪，气质	사람의 기분이나 감정 상태, 성격적 기질
632	ignori	keep	-	-	ZH/KOとも意図的な無視という核心義を保持。	balanced	1	1	{Ｂ}［他］（意図的に）無視する, 見ないふりをする, 知らないふりをする, >>〜	不理，无视，漠视	일부러 무시하다
634	ilustri	optional_medium	Chinese_Trans	加插图，图解；（举例）说明	ZHが挿絵義に偏り、説明義が落ちる。	scope_zh:8	8	0	{Ｂ}［他］挿絵を入れる, 図解する; （例をあげて）説明する	插图，以图装饰	책 등에 그림을 넣어 설명하다
638	impliki	keep	-	-	ZH/KOとも「巻き込む・複雑化する」の核が表現されている。	balanced	1	1	{Ｂ}［他］もつれさせる, 絡めとる; 込み入らせる, 混乱させる; （事件に）巻き込む	缠住，使卷入，使陷入；制造困难	복잡한 일에 얽히게 하다, 연루시키다
641	impreso	optional_low	Korean_Trans	인상, 감명; (사진) 감광	KOで写真分野の感光義を最小補完。	scope_ko:6	0	6	{Ｂ}印象, 感銘; 感じ, 心地; 【写】感光	印象；感光	인상, 감명
642	imuna	optional_medium	Korean_Trans	면역의; (법) 면책의; (기계) 내성이 있는	KOが医療義のみに狭まり、法/機械義が欠落。	scope_ko:8	0	8	{Ｂ}【医】免疫の; 【法】免除の; 【機】耐性のある	免疫的；免除某项法律责任的；抗…的，防…的	질병에 대한 면역이 있는
644	indiferenta	optional_low	Chinese_Trans	无关紧要的；冷漠的	ZH「引不起兴趣的」は焦点がずれやすく、無関心/どうでもよい義へ寄せる。	word_choice_zh:6	6	0	{Ｂ}どうでもいい, 重要でない; 無関心な, 平然とした	引不起兴趣的；冷漠	무관심하고 아무래도 좋은
647	individuo	optional_low	Korean_Trans	개인; (생물) 개체	KOに生物学の個体義を最小補完。	scope_ko:5	0	5	{Ｂ}個人, 個; 【生】個体	个体，个人	개인
648	indulgi	keep	-	-	ZH/KOとも寛容・容赦の語義を保持。	balanced	1	1	{Ｂ}［他］容赦する, 大目に見る; 寛大に扱う, いたわる; 助命する	宽恕，纵容；不得罪，体谅	관대하게 용서하다, 너그럽게 봐주다
651	infekti	optional_low	Chinese_Trans|Korean_Trans	传染，感染；（转）感染、影响 / 감염시키다, 병을 옮기다; (비유) 영향을 퍼뜨리다	JAの転義（感化する）をZH/KOへ最小補完。	scope_zh:5|scope_ko:5	5	5	{Ｂ}［他］（人に）感染させる, 病気をうつす, >>kontaĝi; 《転》感化する	传染；感染	병을 옮기다, 감염시키다
656	injekti	optional_medium	Chinese_Trans|Korean_Trans	注射；（机械）注入 / 주사하다; (기계) 주입하다	ZH/KOが医療義中心で機械義が落ちる。	scope_zh:8|scope_ko:8	8	8	{Ｂ}［他］【医】注射する; 【機】注入する	注射	주사하다
660	insigno	optional_medium	Chinese_Trans|Korean_Trans	徽章，胸章；（复）纹章 / 휘장, 배지; (복수) 문장(紋章)	ZH/KOが徽章義のみで、紋章義が欠落。	scope_zh:8|scope_ko:8	8	8	{Ｂ}記章, バッジ; （～oj）（都市・家などの）紋章	徽章	휘장
662	inspiri	keep	-	-	ZH/KOとも喚起・霊感付与の主要義を保持。	balanced	1	1	{Ｂ}［他］（思想・感情を）吹き込む, 鼓吹する, 抱かせる; 霊感を与える	引起，激起，唤起；使获得灵感	영감이나 감정을 불러일으키다
663	instali	optional_medium	Chinese_Trans|Korean_Trans	安装，设置；使就任；（信息）安装程序 / 설치하다, 장착하다; 취임시키다; (정보) 인스톨하다	ZH/KOが設備設置義中心で就任/情報義が不足。	scope_zh:8|scope_ko:8	8	8	{Ｂ}［他］（物を）据え付ける, 備え付ける; （場所を）設備を整える; （人を）就任させる, 任命する; 【情】インストールする	设置，安装，建立	기계나 설비를 제자리에 설치하다
665	instinkto	optional_low	Chinese_Trans|Korean_Trans	本能；直觉 / 본능; 직관	JAにある直観義を最小補完。	scope_zh:5|scope_ko:5	5	5	{Ｂ}本能; 直観	本能，生性，天性	본능
667	instrumento	optional_medium	Chinese_Trans|Korean_Trans	器具，仪器；乐器；手段；（法）法律文书 / 도구, 기구; 악기; 수단; (법) 법률 문서	ZH/KOが道具義中心で楽器・手段・法義が不足。	scope_zh:8|scope_ko:8	8	8	{Ｂ}器具, 器械, 道具; 楽器; 手段; 【法】法律文書	用具，仪器	작업이나 연주에 쓰는 도구, 기구
668	insulo	optional_low	Chinese_Trans|Korean_Trans	岛；（转）孤立区域 / 섬; (비유) 고립된 구역	JAの転義を最小補完。	scope_zh:5|scope_ko:5	5	5	{Ｂ}島; 《転》離れ島	岛	섬
673	inter	optional_low	Korean_Trans	…사이에, …사이에서; …가운데 섞여	KOが説明文寄りなので前置詞的用法を自然化。	style_ko:6	0	6	{Ｂ}［前］～の間に, ～の間で; ～の中にまじって	在…之间	둘이나 여럿 사이의 관계
674	interesi	optional_medium	Chinese_Trans|Korean_Trans	使感兴趣；与…有利害关系 / 흥미를 갖게 하다; (법·경제) 이해관계를 갖다	ZH/KOで「利害関係がある」義を補完。	scope_zh:8|scope_ko:8	8	8	{Ｂ}［他］興味をひく, 関心を持たせる; 関係させる, 利害関係がある	使发生兴趣	흥미를 일으키게 하다, 관심을 갖게 하다
675	interna	optional_low	Chinese_Trans|Korean_Trans	内部的，内在的；国内的；内心的 / 내부의, 안의; 국내의; 내면의	ZH/KOが内部義中心で国内・内面的義が薄い。	scope_zh:6|scope_ko:6	6	6	{Ｂ}内部の, 内側の; 国内の; 内心の, 精神的な	内部，内在	안의, 내부의
676	interpreti	optional_medium	Chinese_Trans|Korean_Trans	口译；解释，诠释；（演艺）演绎 / 통역하다; 해석하다; (공연) 해석해 연기하다	ZH/KOで通訳/解釈以外の演技解釈義が不足。	scope_zh:8|scope_ko:8	8	8	{Ｂ}［他］通訳する; 解釈する, 解明する; （演奏・演劇で）自己の解釈に基づいて演じる	口译；说明，解释	해석하다
