row	esperanto	verdict	target_column	suggested_minimal	reason	flags	score_zh	score_ko	Japanese_Trans	Chinese_Trans	Korean_Trans
901	krom	optional_medium	Chinese_Trans|Korean_Trans	除了…以外；此外，还有 / …을 제외하고; …외에도, 게다가	ZH/KOとも「除外」義寄りで「付加」義が弱い。	scope_zh:8|scope_ko:8	8	8	{Ｂ}［前］～のほかは（～を除いて）; ～のほかにも（～を含めて）	除了	어떤 대상을 제외하고
902	krono	optional_low	Korean_Trans	왕관, 화관; 왕권, 왕위; (화폐) 크로네	KOが王冠義中心で王権・花冠義が薄い。	scope_ko:6	0	6	{Ｂ}冠, 王冠; （栄誉の印としての）花冠, 栄冠; 王権, 王位; 冠状のもの / 【貨】クローネ（デンマーク・スウェーデンなどの通貨）	花冠，冕，王冠；冠状物；（货币）克朗	왕관；（화폐） 크로네
903	kroĉi	optional_low	Korean_Trans	걸다, 매달다; 갈고리로 고정하다; 꽉 붙잡다	KOで「強くつかむ」義を補完。	scope_ko:6	0	6	{Ｂ}［他］掛ける, ひっ掛ける; 強くつかむ	（用钩）悬挂；抓住，固定	갈고리로 걸다, 매달다
904	kruco	optional_medium	Korean_Trans	십자가; 십자형의 것; (비유) 고난	KOが宗教義のみで形状・比喩義が欠落。	scope_ko:8	0	8	{Ｂ}【宗】十字架; はりつけ台; 十字形のもの; 《転》苦難	十字架，十字标记、符号、物品	십자가
905	kruda	optional_low	Korean_Trans	날것의, 미가공의; 거친, 조야한	KOで「粗野な」義を補完。	scope_ko:6	0	6	{Ｂ}生の, 未加工の; 粗野な, 荒々しい	生的，天然，未加工的，粗鲁	익히지 않은 날것의, 가공 전의
906	kruela	keep	-	-	ZH/KOとも残酷・無慈悲の中心義を保持。	balanced	1	1	{Ｂ}残酷な, むごい; 厳しい, 悲惨な	残忍，残暴；惨痛，悲惨	잔인한, 무자비한
908	krusto	optional_low	Korean_Trans	딱딱한 껍질, 표면; (상처의) 딱지	KOで「かさぶた」義を補完。	scope_ko:5	0	5	{Ｂ}（パン菓子などの）硬い皮, 外皮; （一般に）物の硬い表面, 殻; （傷の）かさぶた	硬外皮，甲壳，外壳	딱딱하게 굳은 겉껍질, 껍데기
911	kubo	keep	-	-	ZH/KOとも立方体・立方の核心義が成立。	balanced	1	1	{Ｂ}【数】立方体; 【数】立方; サイコロ, =ĵet〜; 立方形の物	立方体；（菜）丁；立方	정육면체 모양의 입체
912	kubuto	keep	-	-	ZH/KOとも解剖・機械義まで保持済み。	balanced	1	1	{Ｂ}【解】ひじ; 《転》曲がり角, 屈曲部; 【機】エルボ（管）, Ｌ字継手	肘；弯头，弯管接头	팔꿈치; 굽은 부분; (기계) 엘보관
921	kulturi	optional_low	Korean_Trans	교양·재능을 기르다; 계몽하다; (=kultivi) 재배하다	KOが教養育成義中心で栽培義が抜ける。	scope_ko:6	0	6	{Ｂ}［他］（才能などを）育てる; （人を）啓発する, 開化する; =kultivi（耕作する・栽培する）	耕种，栽培；培养	사람의 정신과 교양을 높이도록 기르다
