row	esperanto	flags	Japanese_Trans	Chinese_Trans	Korean_Trans	score_zh	score_ko
1001	lojala	scope_zh:5|scope_ko:5	{Ｂ}忠義な, 忠実な; 誠実な, 公正な	忠诚，正直诚实	충성스럽고 성실한	5	5
1002	loko	scope_zh:6|scope_ko:6	{Ｂ}場所, 所; 部分, 個所; 地方, 土地; 《転》地位, 立場	地点，处所	장소, 사람이나 사물이 있는 곳	6	6
1006	ludi	balanced	{Ｂ}［自］遊ぶ, たわむれる, 自由に動く; ［他］（ゲームなどを）する, （必要な）動作をする; 【楽】演奏する; （役割を）演じる	玩，游戏；演奏	놀다, (게임·악기·역할을) 하다	1	1
1008	lukso	word_choice_zh:9	{Ｂ}ぜいたく, 豪華, 華美 / 【理】ルクス（照度の単位）	奢侈；华丽，繁茂；（物理）勒克斯（照度单位）	사치, 호화로움；（물리） 럭스（조도 단위）	9	0
1010	luli	style_ko:4	{Ｂ}［他］（寝かしつけるために）揺する; 揺らす; 《転》なだめる	摇孩子入睡；轻轻摆动（摇动）	아기를재우려고흔들다	0	4
1013	luno	scope_zh:5	{Ｂ}【天】月; 衛星, >>〜	月亮	지구를 도는 유일한 위성	5	0
1015	magazeno	scope_zh:8|scope_ko:8	{Ｂ}（商品などの）倉庫; 大商店, 百貨店; （銃の）弾倉, （カメラの）マガジン	仓库，堆栈；百货公司	상품을 보관하는 창고	8	8
1017	majo	balanced	{Ｂ}５月	五月	5월	1	1
1018	majstro	scope_ko:5	{Ｂ}巨匠, 大家; 【史】（ギルドの）親方; （敬称）大先生	师傅；专家，大师	어떤 분야의 대가, 거장	0	5
1019	maksimumo	scope_ko:5	{Ｂ}最大限, 最大量, 最高度, 最高値, 極限; 【数】最大, 極大, ><〜	最大量，最大数，最大限度	가능한 한도 가운데 가장 큼	0	5
1026	maniero	scope_ko:6	{Ｂ}やり方, 仕方, 様式, 流儀	方法，作风；[~oj]礼貌，风俗	방법, 방식	0	6
1027	maniko	scope_ko:5	{Ｂ}【服】そで（袖）, たもと; 風見用吹流し	袖，袖口	옷의 소매	0	5
1030	mano	scope_zh:8|scope_ko:8	{Ｂ}手; 《転》筆跡; 【遊】（トランプの）持ち札	手	손, 손바닥	8	8
1032	manĝi	scope_zh:6|scope_ko:6	{Ｂ}［他］食べる; （虫が）食う; 常食とする; 《転》腐食する, むしばむ; 《転》むさぼる	吃	음식을 먹다	6	6
1033	mapo	scope_zh:8|scope_ko:8	{Ｂ}地図; 【数】写像	地图	지도	8	8
1035	marko	scope_ko:6	{Ｂ}しるし（印）, 標識, マーク, 目印; コイン, チップ; 【商】商標, ブランド; 【運】スタートライン / 【貨】マルク（ドイツ）, =100 pfenigoj	记号；商标；（货币）马克	표시나 구분을 위해 쓰이는 기호, 표지；（화폐） 마르크	0	6
1039	marĉo	scope_ko:5	{Ｂ}沼, 沼沢; 《転》どろ沼	沼泽，沼地；困境	늪, 소택	0	5
1041	maso	scope_ko:8	{Ｂ}かたまり（塊）; 集積, 総体; 【美】マッス; 【理】質量	一堆，一团，一块；质量	뭉쳐 있는 덩어리나 집단	0	8
1042	masto	scope_ko:5	{Ｂ}【海】マスト, 帆柱; （一般に）支柱, 柱	桅杆，樯，架电线等用的长杆	배의 돛대, 마스트	0	5
1043	mastro	scope_zh:8|scope_ko:8	{Ｂ}主人, 支配人, 雇い主; 持ち主, 所有主; 【生】宿主	主人	집이나 사업체의 주인, 소유자	8	8
1046	materialo	scope_ko:6	{Ｂ}材料, 原料, 資材; 用具, 器具, 機材; 《転》資料, データ, 題材	材料，物资；器材，设备	물건을 만드는 재료, 자재	0	6
1047	materio	balanced	{Ｂ}物質, 物体; 【哲】質料	物质	물질, 질료	1	1
1057	mekaniko	balanced	{Ｂ}力学, 機械学, >>dinamiko, >>statiko; 機械の仕組み/原理	力学；机械学	역학, 기계학; 기계의 구조·원리	1	1
