row_index	Esperanto	column	before	after
401	erari	Korean_Trans	틀리다, 잘못하다	틀리다, 잘못하다; 길을 잃다
410	estingi	Korean_Trans	불이나 빛을 끄다	불이나 빛을 끄다; (비유) 없애다, 소멸시키다
414	evento	Korean_Trans	사건, 일어난 일	행사, 이벤트; (중대한) 사건
420	fabelo	Korean_Trans	동화, 옛이야기	동화, 우화; (비유) 지어낸 이야기
424	fadeno	Korean_Trans	가늘고 긴 실이나 줄, 비유적으로 연속성	실, 선; (비유) 맥락
433	familiara	Korean_Trans	친숙하고 허물없는, 가까운 사이의	친숙하고 허물없는; 격식 없는, 구어체의
443	fasko	Korean_Trans	다발, 묶음	다발, 묶음; (물리) 빔
446	febro	Korean_Trans	고열, 열병	고열, 열병; (비유) 열중, 열광
452	fenomeno	Korean_Trans	현상, 사상	현상, 사상; (비유) 특이하고 놀라운 사건
454	fermi	Korean_Trans	닫다, 폐쇄하다	닫다, 폐쇄하다; (비유) 끝내다
465	fiksi	Korean_Trans	단단히 고정하거나 확정하다	고정하다, 부착하다; (사진) 정착하다; 확정하다
469	fingro	Korean_Trans	손가락	손가락; 손가락 너비(폭)
479	flegi	Korean_Trans	환자를 돌보아 간호하다	간호하다; (비유) 정성껏 돌보다
480	fleksi	Korean_Trans	굽히다, 휘게 하다	굽히다, 휘게 하다; (비유) 굴복시키다
482	flirti	Korean_Trans	펄럭이다, 나풀거리다	펄럭이다, 나풀거리다; (이성과) 희롱하다
483	floro	Korean_Trans	꽃, 식물의 꽃	꽃; (비유) 정화, 가장 뛰어난 부분
486	flui	Korean_Trans	액체가 흘러 움직이다	흐르다; 물 흐르듯 움직이다; (비유) 매끄럽게 이어지다
488	foiro	Korean_Trans	정기적으로 열리는 큰 시장	정기시, 견본시(박람회)
493	for	Chinese_Trans	往远处；在远处；不在，不见	往远处；离开 / （叹）走开！
493	for	Korean_Trans	멀리, 떨어져	멀리, 떨어져; (감) 저리 가라!
494	forgesi	Korean_Trans	잊다, 기억하지 못하다	잊다, 잊어버리다; 소홀히 하다
