idx	Esperanto	Column	Old	New	Reason
2101	festivalo	Chinese_Trans	节日，汇演	（音乐、艺术）节，节庆，祭典	JAの「祭, 祭典」に合わせ、語義を限定し自然化。
2103	fiasko	Chinese_Trans	惨败	惨败，大失败	JAの「大失敗」を補完。
2110	fono	Korean_Trans	배경, 바탕	배경, 바탕; (물리) 폰(음의 크기 단위)	JA/ZHにある物理単位義を補完。
2114	forumo	Chinese_Trans	论坛	论坛；（古罗马）公共广场	JAの史的語義（古代ローマ広場）を補完。
2114	forumo	Korean_Trans	공개 토론을 하는 모임이나 장소	포럼(공개 토론의 장); (고대 로마) 공공 광장	同上。
2116	frakcio	Chinese_Trans	[数] 分数；派别	（数）分数；（化）馏分；（政）派别	JAの化学義（留分）を補完。
2116	frakcio	Korean_Trans	(수학) 분수; (정치) 파벌	(수학) 분수; (화학) 유분(留分); (정치) 파벌	同上。
2123	gimnastiko	Chinese_Trans	体操	体操；体育；竞技体操	JAの「体育・競技体操」義を補完。
2123	gimnastiko	Korean_Trans	체조	체조; 체육; (스포츠) 기계체조	同上。
2134	ho	Chinese_Trans	噢！哇！	噢！哇！；（字母名）H/h 的名称	JAにある文字名の語義を補完。
2134	ho	Korean_Trans	오!, 아아!	오!, 아아!; (문자명) H/h의 이름(ho)	同上。
2139	idioto	Chinese_Trans	白痴	白痴；愚蠢的人	侮蔑語に偏りすぎないよう、説明語を補完。
2141	imponi	Korean_Trans	강한 인상을 주어 위압하다	강한 인상을 주다, 경외심을 일으키다	`imponi` の中心義（強い印象・畏敬）に寄せて修正。
2143	indekso	Chinese_Trans	索引；指数	索引；（天主教）禁书目录	JAの禁書目録義に合わせて修正。
2152	iriti	Chinese_Trans	激怒；刺激	使恼怒；（医）刺激	“激怒”は強すぎるため、通常の irritate 義へ。
2152	iriti	Korean_Trans	몹시 화나게 하다	짜증 나게 하다; (의학) 자극하다	同様に強度を調整し医療義を補完。
2168	katastrofo	Chinese_Trans	灾难	大灾害，大惨事；破局	JAの多義を補完。
2175	klimatizi	Korean_Trans	냉난방 공기조절하다	공기 조절(냉난방)을 하다	韓国語語順を自然化。
2176	kodo	Korean_Trans	부호나 암호 체계	법전; 부호, 암호; (정보) 코드	JAの「法典」義を補完。
2184	kompili	Chinese_Trans	编译，编辑	编纂，汇编，编辑	JAの「編纂」中心に合わせ、誤解しやすい“编译”を除去。
2188	komputi	Korean_Trans	계산하다, 산정하다	산정하다; (정보) 연산·처리하다	JAの情報処理義を補完。
2197	konsulti	Korean_Trans	전문가에게 상담하다	상담하다; (사전 등을) 찾아보다, 참조하다	JAの「辞書などを調べる」義を補完。
