row	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
201	biciklo	{Ｂ}自転車	（两轮）自行车	자전거
202	bieno	{Ｂ}領地, 地所	庄园，田庄	영지, 토지
203	biero	{Ｂ}ビール, >>botela, >>barela	啤酒	맥주
204	bildo	{Ｂ}絵, 図, 挿絵; 像, 光景; 映像, 影; 心象; 似姿; 比喩（ひゆ）; 【理】像; 【情】画像	图；像；影像；情景；意象；比喻形象	그림, 영상, 심상, 광경, 비유
205	bileto	{Ｂ}切符, 券	票，券，帖	표, 티켓
206	bindi	{Ｂ}［他］製本する	装订，精装	제본하다
207	birdo	{Ｂ}鳥; 《転》人（例: 「変なやつ」）	鸟	새
208	blanka	{Ｂ}白い	白色，空白	흰색
209	bleki	{Ｂ}［自］（動物が）鳴く, いななく, ほえる; 《転》（人が）わめく	（兽类）叫，嘶；哭叫	짐승이 울부짖다
210	blinda	{Ｂ}盲目の; 《転》盲目的な（差別的表現なので避けるべき）, =>senkritika, =>malprudenta	瞎，盲	눈이 먼, 시력을 잃은
211	bloko	{Ｂ}塊, ブロック, 台; 街区; （暦・メモ用紙などの）一つづり; 【政】ブロック（国家や政党の連合）	块，大块；砧板；拍纸簿	덩어리, 블록
212	blonda	{Ｂ}ブロンドの（毛髪が金色と栗色の中間）	金黄色，淡黄色	금발 머리의
213	blovi	{Ｂ}［自］（風が）吹く, 息を吐く; ［他］吹く, 吹き鳴らす	风吹，吹	바람이 불다, 입으로 바람을 내다
214	blua	{Ｂ}青い	蓝色	푸른
215	bluzo	{Ｂ}【服】ブラウス; 上っ張り, 仕事着; ジャンパー, ブルゾン	罩衣；工作服	블라우스
216	bo-	{Ｂ}［接頭辞］（姻戚関係を示す）, >>〜patro, >>〜frato	姻亲	혼인관계(인척)를 나타내는 접두사
217	boato	{Ｂ}ボート, 小舟	小船	보트, 작은 배
218	boji	{Ｂ}［自］（犬が）ほえる; 《転》（人が）わめく, がみがみ言う	（狗）吠；叫骂，漫骂	(개가) 짖다
