row_index	Esperanto	column	before	after
2505	deliri	Chinese_Trans	谵妄，说胡话，精神错乱	谵妄，说胡话，精神错乱；（比喻）着迷，陷入狂热
2505	deliri	Korean_Trans	정신 착란으로 헛소리를 하다	정신 착란으로 헛소리를 하다; (비유) 열광하다, 넋을 잃다
2511	dianto	Chinese_Trans	石竹属植物	石竹属植物；康乃馨
2511	dianto	Korean_Trans	카네이션	석죽속 식물; 카네이션
2520	efekto	Korean_Trans	효과, 영향	효과, 효력; 인상
2527	elasta	Chinese_Trans	有弹力的，有弹性的；柔软的	有弹力的，有弹性的；（比喻）灵活的，可变通的
2527	elasta	Korean_Trans	탄력 있고 신축성 있는	탄력 있고 신축성 있는; (비유) 융통성 있는
2529	emajlo	Chinese_Trans	珐琅，搪瓷	珐琅，搪瓷；（解）牙釉质
2529	emajlo	Korean_Trans	법랑, 에나멜	법랑, 에나멜; (해부) 치아의 법랑질
2530	emocio	Korean_Trans	감정	감정, 정서; 감동, 동요
2535	etapo	Korean_Trans	여정의 한 구간; 단계	여정의 한 구간; 단계; (군사) 숙영지
2536	etato	Korean_Trans	명세서, 일람표	명세서, 일람표; 예산표
2538	faco	Korean_Trans	물체의 한쪽 면	면, 표면; (수학) 면
2543	falĉi	Chinese_Trans	（用镰刀）割，收割	（用镰刀）收割，刈割
2550	feo	Chinese_Trans	仙，神灵	妖精
2557	fluido	Korean_Trans	유체, 액체	유체(액체·기체)
2560	fontano	Chinese_Trans	人工喷泉，喷水池	喷泉；泉
2560	fontano	Korean_Trans	분수대	분수; 샘
2563	foso	Korean_Trans	구덩이	구덩이; 도랑, 해자
2577	garni	Korean_Trans	장식하다, 꾸미다	장식하다, 꾸미다; 곁들이다
2591	gust/umi	Korean_Trans	맛보다, 음미하다	맛보다, 음미하다; (비유) 느끼고 즐기다
2596	haringo	Chinese_Trans	大西洋鲱	鲱鱼（类）
2596	haringo	Korean_Trans	청어	청어(청어류)
