row	esperanto	verdict	target_column	suggested_minimal	reason	flags	score_zh	score_ko	Japanese_Trans	Chinese_Trans	Korean_Trans
104	animo	keep	-	-	魂/精神/心の中心義は日中韓で成立。	scope_zh:9|scope_ko:9	9	9	{Ｂ}魂, 心; 生気; 【宗】霊	灵魂，精神	영혼, 마음
111	aparato	keep	-	-	装置・器官・機関の主要義が反映済み。	scope_zh:13|scope_ko:13	13	13	{Ｂ}装置, 機械一式; 【解】器官; 【政】機関; 【情】装置, デバイス	一套装置，仪器；（解）器官；（政）机关	장치, 기계；（해부） 기관；（정치） 기구
126	aranĝi	optional_medium	Chinese_Trans|Korean_Trans	整理，布置；安排；（乐）编曲；（剧）改编 / 정리·배열하다; 준비하다; (음악) 편곡하다; (극) 각색하다	JAの音楽/演劇義がZH/KOで省略。	scope_zh:12|scope_ko:16	12	16	{Ｂ}［他］整える, 整頓する; 手配する; 【楽】編曲する; 【劇】脚色する	整理，布置；安排	정리하고 필요한 준비를 하다
129	arko	keep	-	-	前バッチで補正済み、現状で実用十分。	scope_zh:24|scope_ko:21	24	21	{Ｂ}弓形; 弓, =paf〜; 【数】弧; 【建】アーチ; 【理】電弧, =lum〜; 【解】弓	弧，拱形物；弓；[物] 电弧	활, 활 모양; (수학) 호; (건축) 아치; (물리) 전호
132	artikolo	keep	-	-	記事/条項/冠詞の対応は十分。	scope_zh:13|scope_ko:13	13	13	{Ｂ}記事; 条項; 【法】（法令の）条, >>paragrafo; 【Ｇ】冠詞	冠词；文章；条款	기사; 조항; (문법) 관사
144	atomo	optional_low	Chinese_Trans	原子；（哲）原子（不可分实体）；（转）微粒	JAの哲学・転義を軽補完。	scope_zh:13|scope_ko:12	13	12	{Ｂ}【理】原子; 【哲】アトム; 《転》微小物, 微塵	原子	물질을 이루는 최소 단위, 원자
173	balono	optional_low	Chinese_Trans	气球；风船；（化）球形烧瓶	JAの化学義を最小補完。	scope_zh:11|scope_ko:10	11	10	{Ｂ}気球; 風船, =〜eto; 【化】球形フラスコ	气球	기구, 풍선
183	baro	keep	-	-	障害義＋圧力単位義が反映済み。	scope_zh:10|scope_ko:9	10	9	{Ｂ}障害; =baraĵo / 【理】バール（圧力の単位，bar）, >>paskalo	障碍；（物理）巴（压力单位）	장애물, 방해가 되는 것；（물리） 바（기압 단위）
188	bazo	keep	-	-	多義が十分に保持されている。	scope_zh:31|scope_ko:31	31	31	{Ｂ}土台, 基礎, 礎石; 《転》基盤, 根拠; 【生】基部; 【化】塩基; 【数】基数; 【数】基底; 【数】底辺; 【軍】基地	基础，根基；（化）碱；（数）基数，底边；基地	기초, 토대；（화학） 염기；（수학） 기수, 밑변；기지
193	bendo	optional_low	Korean_Trans	끈·띠·테이프; (통신) 주파수 대역	KOに通信義（周波数帯）を補完可能。	scope_ko:9	2	9	{Ｂ}ひも, テープ, 帯, バンド; 【建】帯飾り（車のタイヤは通常 pneŭo）	带；带子；频带，波段	띠나 끈 모양의 테이프
