idx	Esperanto	Column	Old	New	Reason
1800	turo	Chinese_Trans	塔，钟楼	塔，钟楼；（棋）车（国际象棋），飞车（将棋）	日文注釈にある将棋/チェス義がZHで欠落していたため補完。
1800	turo	Korean_Trans	탑, 누각	탑, 누각; (체스) 룩; (쇼기) 비차	KOも盤上競技義を補完。
1804	ungo	Korean_Trans	손톱	손톱, 발톱	爪は手足両方を含むため補完。
1806	unika	Chinese_Trans	唯一，无比，无可匹敌	独特的，独一无二的；唯一的	“无可匹敌”は価値判断に寄りすぎるため、語義中心へ修正。
1806	unika	Korean_Trans	하나뿐인	유일한, 독특한	“唯一”だけでなく“独特”義を補完。
1809	unu	Chinese_Trans	一	一；一个；某一	数詞義のみで狭いため、形容詞的用法を補完。
1809	unu	Korean_Trans	수사 하나, 숫자 1	하나; 하나의, 어떤; 한 사람, 한 개	数詞＋限定詞/代名詞用法を補完。
1814	uzi	Chinese_Trans	用	使用，利用	一字訳が粗いため自然化。
1814	uzi	Korean_Trans	어떤 것을 사용하거나 이용하다	사용하다, 이용하다	語義は同じで簡潔自然化。
1824	vaporo	Chinese_Trans	汽，气体	蒸汽，水汽	一般“气体”は広すぎるため“蒸気”へ修正。
1825	varii	Chinese_Trans	连续不断地变化	变化，变动；各不相同	“異なる”義を補完。
1825	varii	Korean_Trans	계속 변하다	변하다, 달라지다	同様に“달라지다”を補完。
1826	varma	Korean_Trans	따뜻한	따뜻한, 더운; 열정적인	warm/hotと比喩義を補完。
1839	veneno	Korean_Trans	생명을해치는독, 독약	생명을 해치는 독, 독약	韓国語の語間スペース欠落を修正。
1849	vermo	Chinese_Trans	蠕虫，窝囊废	蠕虫；幼虫；蛆虫	“窝囊废”は語調・語義が逸脱しやすいため除去。
1852	vespero	Chinese_Trans	傍晚；晚会	傍晚，黄昏，夜晚	“晚会”は別語に近く、時間帯義へ修正。
1875	vivi	Chinese_Trans	生活，活	活着；生活，生存	語順・語形の不自然さを修正。
1878	viŝi	Korean_Trans	닦다, 훔치다	닦다, 훔쳐 내다, 지우다	“훔치다(盗む)”との誤読を避けるため明確化。
1896	zorgi	Korean_Trans	걱정하거나 마음을 쓰다	돌보다, 보살피다; 신경 쓰다, 걱정하다	“世話する”義が欠落していたため補完。
1897	zumi	Chinese_Trans	嗡嗡叫，嗡鸣；絮语，唠叨，喃喃；哼唱；嘈杂	嗡嗡作响，发出低沉振动声；（音乐）哼唱	不要な比喩語義を削ぎ、核心義へ整理。
1897	zumi	Korean_Trans	벌·기계 등이 윙윙거리는 소리를 내다	윙윙거리다; (음악) 허밍하다	音楽用法を補完。
