idx	Esperanto	Column	Old	New	Reason
603	hirundo	Chinese_Trans	燕属鸟类	燕子	不自然な分類語尾を自然化。
604	historio	Chinese_Trans	历史；故事	历史；历史学；沿革，来历；划时代事件；故事	主要語義を補完。
606	hoko	Chinese_Trans	钩子，鱼钩	钩，钩子；鱼钩；（拳击）勾拳	競技義を補完。
624	iam	Chinese_Trans	某时，任何时候；曾经	某时，某个时候；曾经（过去某时）	「任何时候」の過剰義を整理。
625	idealo	Korean_Trans	이상, 이상적	이상, 이상향	語性を自然化。
627	ideo	Chinese_Trans	观念，主意，理想	观念，想法，思想；主意；（哲）理念；（乐）乐想	哲学・音楽義を補完。
632	ili	Korean_Trans	삼인칭 복수, 그들	삼인칭 복수 대명사, 그들·그녀들·그것들	三人称複数の範囲を明確化。
639	imposto	Chinese_Trans	税	税，税金	語義を補強。
642	inciti	Chinese_Trans	激怒，逗弄，惹	激怒，惹恼；刺激，使兴奋	意味領域を適正化。
647	indulgi	Chinese_Trans	宽恕，纵容；不得罪，体谅	宽恕，宽待；纵容，姑息	不自然語義を整理。
651	infero	Korean_Trans	죽은 자가 가는 지하 세계, 지옥	지옥; (전) 생지옥, 수라장	転義を補完。
652	influi	Chinese_Trans	影响	影响，感化，左右	「感化する/左右する」義を補完。
668	insulti	Chinese_Trans	骂	侮辱，辱骂，谩骂	「骂」のみを自然化。
679	inventi	Chinese_Trans	发明	发明，创造，想出	「考案する」義を補完。
681	inĝeniero	Korean_Trans	기술전문가	기술자, 엔지니어	自然な一般訳へ。
684	iri	Chinese_Trans	去，走	去，走；进行；（机器）运转	拡張義を補完。
684	iri	Korean_Trans	가다, 이동하다	가다, 향하다; (일이) 진행되다; (기계가) 작동하다	拡張義を補完。
693	je	Korean_Trans	통용 전치사, 특히 시각 표현에 씀	시각 표시나 다른 적절한 전치사가 없을 때 쓰는 통용 전치사	機能説明を明確化。
694	jen	Korean_Trans	상대의 시선을 끌 때 쓰는 감탄사	자, 여기! 자, 저기! (주의를 끌 때)	用法を具体化。
697	jubileo	Chinese_Trans	五十年节；一百、五十或二十五周年纪念	周年纪念庆典（如25、50、100周年）；（天主教）圣年，大赦	宗教義を補完し自然化。
697	jubileo	Korean_Trans	25, 50, 100년 등의 기념축제	25·50·100주년 등의 기념축제; (가톨릭) 성년, 대사	宗教義を補完。
