row_index	column	before	after
20	Korean_Trans	접미:여럿이함께함	집합 수사(…명/…개씩)를 나타내는 접미사
22	Korean_Trans	수동·미래 분사	수동·미래 분사를 나타내는 접미사
39	Korean_Trans	터무니없는	터무니없는, 불합리한; (철학) 부조리한
66	Chinese_Trans	接受，接待	接受，受理；迎接；容许，认可
70	Korean_Trans	의견이나 상태의 일치	일치, 조화; (음악) 화음
83	Korean_Trans	알코올, 술	알코올; 술(주류)
86	Korean_Trans	높은, 키가 큰	높은; 고귀한, 고급의
91	Korean_Trans	큰 무더기	무더기, 대량; 군중
96	Chinese_Trans	朋友	朋友；伙伴，支持者
96	Korean_Trans	친구, 벗	친구; 편, 동지
97	Chinese_Trans	大小，广度，范围	大小，广度；（哲）外延；（统）分布范围
97	Korean_Trans	크기, 넓이, 범위	크기, 넓이; (철학) 외연; (통계) 분포 범위
